crate_c,crate_label,reference_crate_label,mean_absolute_error_6metrics_vs_C100_standard,case_name,q_fit_min,dataset,kinetic_compensation
0.01,C/100,C/100_standard,5.269348553551332,deformation_disabled,0.01,BOL,True
0.1,C/10,C/100_standard,5.409457130485284,deformation_disabled,0.02,BOL,True
0.2,C/5,C/100_standard,4.075951808536427,deformation_disabled,0.02,BOL,True
0.3333333333333333,C/3,C/100_standard,8.482187987051791,deformation_disabled,0.02,BOL,True
0.05,C/20,C/100_standard,4.066024706459493,deformation_disabled,0.02,BOL,True
0.01,C/100,C/100_standard,4.9477592732012114,deformation_disabled,0.02,BOL,True
0.1,C/10,C/100_standard,5.509469470251063,deformation_disabled,0.03,BOL,True
0.2,C/5,C/100_standard,3.976067847775703,deformation_disabled,0.03,BOL,True
0.3333333333333333,C/3,C/100_standard,8.311169967832432,deformation_disabled,0.03,BOL,True
0.05,C/20,C/100_standard,4.112027901262791,deformation_disabled,0.03,BOL,True
0.01,C/100,C/100_standard,4.958197061688551,deformation_disabled,0.03,BOL,True
0.1,C/10,C/100_standard,5.6207344906244865,deformation_disabled,0.04,BOL,True
0.2,C/5,C/100_standard,3.7040056816977014,deformation_disabled,0.04,BOL,True
0.3333333333333333,C/3,C/100_standard,8.060082331446607,deformation_disabled,0.04,BOL,True
0.05,C/20,C/100_standard,4.127958845784701,deformation_disabled,0.04,BOL,True
0.01,C/100,C/100_standard,4.95429502885652,deformation_disabled,0.04,BOL,True
0.1,C/10,C/100_standard,5.636591685510784,deformation_disabled,0.05,BOL,True
0.2,C/5,C/100_standard,3.4571911954818315,deformation_disabled,0.05,BOL,True
0.3333333333333333,C/3,C/100_standard,8.662108584715842,deformation_disabled,0.05,BOL,True
0.05,C/20,C/100_standard,4.123068309368044,deformation_disabled,0.05,BOL,True
0.01,C/100,C/100_standard,4.927071298111481,deformation_disabled,0.05,BOL,True
0.1,C/10,C/100_standard,5.679879915157039,deformation_disabled,0.06,BOL,True
0.2,C/5,C/100_standard,4.645216643163187,deformation_disabled,0.06,BOL,True
