crate_c,crate_label,reference_crate_label,Cn_Si_pct_vs_C100_standard,Cn_Si_abs_pct_vs_C100_standard,Cn_Gr_pct_vs_C100_standard,Cn_Gr_abs_pct_vs_C100_standard,Cn_pct_vs_C100_standard,Cn_abs_pct_vs_C100_standard,Cp_pct_vs_C100_standard,Cp_abs_pct_vs_C100_standard,LLI_pct_vs_C100_standard,LLI_abs_pct_vs_C100_standard,transition_soc_abs_error_pct_soc_vs_standard,case_name,q_fit_min,dataset,kinetic_compensation
0.1,C/10,C/100_standard,-10.404542990054091,10.404542990054091,5.8459536575491615,5.8459536575491615,-2.129503723281199,2.129503723281199,0.5651531091109211,0.5651531091109211,2.4742390035130817,2.4742390035130817,2.626699822905254,deformation_enabled,0.0,BOL,True
0.2,C/5,C/100_standard,-2.3183428946007125,2.3183428946007125,-7.4843068710308,7.4843068710308,-4.948892611368342,4.948892611368342,2.6333142606424187,2.6333142606424187,1.1916012851185054,1.1916012851185054,0.4526525759885325,deformation_enabled,0.0,BOL,True
0.3333333333333333,C/3,C/100_standard,-8.117861585042428,8.117861585042428,-6.221058046711389,6.221058046711389,-7.151943413388366,7.151943413388366,2.6333142606424187,2.6333142606424187,-0.21073313245003333,0.21073313245003333,2.032480777758272,deformation_enabled,0.0,BOL,True
0.05,C/20,C/100_standard,1.228170637607389,1.228170637607389,-2.9055011636746366,2.9055011636746366,-0.8767185651080592,0.8767185651080592,0.4938114924104997,0.4938114924104997,0.35841141676593097,0.35841141676593097,0.7263022706913369,deformation_enabled,0.0,BOL,True
0.01,C/100,C/100_standard,-2.671240597172959e-05,2.671240597172959e-05,-3.0974937780728355e-05,3.0974937780728355e-05,1.0888430479124445e-05,1.0888430479124445e-05,-2.9838231565223126e-06,2.9838231565223126e-06,1.9634571998691314e-05,1.9634571998691314e-05,0.3639870570464221,deformation_enabled,0.0,BOL,True
0.1,C/10,C/100_standard,4.511793476848388,4.511793476848388,-7.811413870857757,7.811413870857757,-1.7633322823223705,1.7633322823223705,1.8002252659576667,1.8002252659576667,3.324182008078014,3.324182008078014,0.9853599958905002,deformation_enabled,0.01,BOL,True
0.2,C/5,C/100_standard,3.601683739237449,3.601683739237449,-9.89178365723975,9.89178365723975,-3.269356855504043,3.269356855504043,2.3321895376685604,2.3321895376685604,1.8429667958893396,1.8429667958893396,1.5418683393465304,deformation_enabled,0.01,BOL,True
0.3333333333333333,C/3,C/100_standard,0.9374882756226739,0.9374882756226739,-11.192066009820145,11.192066009820145,-5.239027777784008,5.239027777784008,2.6333142606424187,2.6333142606424187,0.5573523059690935,0.5573523059690935,2.4536210177770967,deformation_enabled,0.01,BOL,True
0.05,C/20,C/100_standard,0.5896836260269442,0.5896836260269442,-0.1786037082954375,0.1786037082954375,0.1984998668586239,0.1984998668586239,0.4417940058835296,0.4417940058835296,0.37113828520760717,0.37113828520760717,0.9060730662485583,deformation_enabled,0.01,BOL,True
0.01,C/100,C/100_standard,1.0091223653537407,1.0091223653537407,-1.2438961282300507,1.2438961282300507,-0.13810924226509322,0.13810924226509322,-0.12818887687851802,0.12818887687851802,0.05614259094492887,0.05614259094492887,0.5192111567511537,deformation_enabled,0.01,BOL,True
0.1,C/10,C/100_standard,7.534084247454873,7.534084247454873,-8.08547980777291,8.08547980777291,-0.4195960070068658,0.4195960070068658,0.958324904550127,0.958324904550127,3.4897907275662,3.4897907275662,1.3174260060579979,deformation_enabled,0.02,BOL,True
0.2,C/5,C/100_standard,4.714276103256234,4.714276103256234,-9.233721599716814,9.233721599716814,-2.3882178943303045,2.3882178943303045,1.9335807581989188,1.9335807581989188,1.8954277796834178,1.8954277796834178,1.9496141642331488,deformation_enabled,0.02,BOL,True
0.3333333333333333,C/3,C/100_standard,-3.545645169138176,3.545645169138176,12.807735017630481,12.807735017630481,4.781786711120194,4.781786711120194,2.6333142606424187,2.6333142606424187,0.6268214499136769,0.6268214499136769,4.246195640592443,deformation_enabled,0.02,BOL,True
0.05,C/20,C/100_standard,2.209573090852834,2.209573090852834,5.275578288086931,5.275578288086931,3.770870895027614,3.770870895027614,-0.026340660551723172,0.026340660551723172,0.644194578291231,0.644194578291231,2.435854306102836,deformation_enabled,0.02,BOL,True
0.01,C/100,C/100_standard,3.5733145665490342,3.5733145665490342,4.059239840492219,4.059239840492219,3.820796406278016,3.820796406278016,-0.6950965783359068,0.6950965783359068,0.3724164100926543,0.3724164100926543,2.1193899607007682,deformation_enabled,0.02,BOL,True
0.1,C/10,C/100_standard,8.73164666201727,8.73164666201727,-7.157297611019208,7.157297611019208,0.6407943204759625,0.6407943204759625,0.5525969396746938,0.5525969396746938,3.7244165237497677,3.7244165237497677,1.762502105664454,deformation_enabled,0.03,BOL,True
0.2,C/5,C/100_standard,5.163740429756307,5.163740429756307,-9.398507730985378,9.398507730985378,-2.251539199874231,2.251539199874231,1.8320024167559574,1.8320024167559574,2.0129903955109905,2.0129903955109905,1.9376171655715368,deformation_enabled,0.03,BOL,True
0.3333333333333333,C/3,C/100_standard,-2.490506416224217,2.490506416224217,14.714392404912113,14.714392404912113,6.270532310983165,6.270532310983165,2.6333142606424187,2.6333142606424187,0.9665682413698042,0.9665682413698042,4.322353868576823,deformation_enabled,0.03,BOL,True
0.05,C/20,C/100_standard,2.1701200425984988,2.1701200425984988,5.262445624282342,5.262445624282342,3.7448205769599716,3.7448205769599716,-0.01672851179259366,0.01672851179259366,0.6654451972148392,0.6654451972148392,2.4654972508105444,deformation_enabled,0.03,BOL,True
0.01,C/100,C/100_standard,3.692965854667933,3.692965854667933,4.779277279744717,4.779277279744717,4.246173633925362,4.246173633925362,-0.7615521672688818,0.7615521672688818,0.4392732913842137,0.4392732913842137,2.0854786556031235,deformation_enabled,0.03,BOL,True
0.1,C/10,C/100_standard,9.514520192702618,9.514520192702618,-6.789038521556427,6.789038521556427,1.2125400916698863,1.2125400916698863,0.3750983627922617,0.3750983627922617,3.9004179217503383,3.9004179217503383,2.0308401410236376,deformation_enabled,0.04,BOL,True
0.2,C/5,C/100_standard,5.555651973643276,5.555651973643276,-6.97723501740856,6.97723501740856,-0.8262454800581189,0.8262454800581189,1.5356718920065529,1.5356718920065529,2.18006441820666,2.18006441820666,2.3270857603725936,deformation_enabled,0.04,BOL,True
0.3333333333333333,C/3,C/100_standard,-1.3274482914299743,1.3274482914299743,15.238242230163342,15.238242230163342,7.108096169415826,7.108096169415826,2.6333142606424187,2.6333142606424187,1.3022572683500482,1.3022572683500482,4.398012764734416,deformation_enabled,0.04,BOL,True
0.05,C/20,C/100_standard,2.770585816845534,2.770585816845534,6.162414380069595,6.162414380069595,4.497798129465043,4.497798129465043,-0.15186346990028587,0.15186346990028587,0.8218646363723772,0.8218646363723772,2.5348795561472848,deformation_enabled,0.04,BOL,True
0.01,C/100,C/100_standard,4.185249739818342,4.185249739818342,6.087541031507893,6.087541031507893,5.153967253275877,5.153967253275877,-0.8766820608326228,0.8766820608326228,0.5998551527131869,0.5998551527131869,2.3372620207198103,deformation_enabled,0.04,BOL,True
0.1,C/10,C/100_standard,10.423201981783766,10.423201981783766,-6.112985349189006,6.112985349189006,2.002764161123729,2.002764161123729,0.21174053105825794,0.21174053105825794,4.245409782932199,4.245409782932199,2.129254740944242,deformation_enabled,0.05,BOL,True
0.2,C/5,C/100_standard,3.9802359725867777,3.9802359725867777,4.7489623245113535,4.7489623245113535,4.3717246466008275,4.3717246466008275,1.4524351747985365,1.4524351747985365,2.5230791919380775,2.5230791919380775,3.186116801736616,deformation_enabled,0.05,BOL,True
0.3333333333333333,C/3,C/100_standard,1.1343847986065185,1.1343847986065185,18.85936604229682,18.85936604229682,10.160258961769147,10.160258961769147,2.6333142606424187,2.6333142606424187,2.534906337727836,2.534906337727836,4.17723206743722,deformation_enabled,0.05,BOL,True
0.05,C/20,C/100_standard,3.166357685542494,3.166357685542494,6.539826795528921,6.539826795528921,4.884221238696367,4.884221238696367,-0.21318888100522762,0.21318888100522762,0.9260005302988095,0.9260005302988095,2.6385698620528752,deformation_enabled,0.05,BOL,True
0.01,C/100,C/100_standard,4.255894230200299,4.255894230200299,6.149352214956953,6.149352214956953,5.2201137155685275,5.2201137155685275,-0.8883363651148113,0.8883363651148113,0.6339112166108781,0.6339112166108781,2.325104046724691,deformation_enabled,0.05,BOL,True
0.1,C/10,C/100_standard,13.883368143292863,13.883368143292863,-2.7518005514676904,2.7518005514676904,5.412528861094673,5.412528861094673,-0.13921645837972346,0.13921645837972346,5.903947894273164,5.903947894273164,2.2004208654634927,deformation_enabled,0.06,BOL,True
0.2,C/5,C/100_standard,9.317374092119625,9.317374092119625,10.79016866405075,10.79016866405075,10.067387289983733,10.067387289983733,1.1409877996282862,1.1409877996282862,5.068329786945019,5.068329786945019,2.750123172408392,deformation_enabled,0.06,BOL,True
0.3333333333333333,C/3,C/100_standard,13.637022461313087,13.637022461313087,18.333809328060102,18.333809328060102,16.02874399894805,16.02874399894805,2.6333142606065585,2.6333142606065585,7.276372983880849,7.276372983880849,1.938545697771965,deformation_enabled,0.06,BOL,True
0.05,C/20,C/100_standard,3.5838744841471546,3.5838744841471546,7.37755567766951,7.37755567766951,5.515716680040372,5.515716680040372,-0.2922754195050203,0.2922754195050203,1.1256638959504421,1.1256638959504421,2.8052924155130388,deformation_enabled,0.06,BOL,True
0.01,C/100,C/100_standard,4.322213809427608,4.322213809427608,6.216014821697746,6.216014821697746,5.286607996074748,5.286607996074748,-0.8906010124217452,0.8906010124217452,0.6890307462973511,0.6890307462973511,2.319087071573467,deformation_enabled,0.06,BOL,True
0.1,C/10,C/100_standard,17.54653087631905,17.54653087631905,-3.8615548402227513,3.8615548402227513,6.645250058795097,6.645250058795097,0.0018242141900726185,0.0018242141900726185,7.457918119982003,7.457918119982003,1.145580552751324,deformation_enabled,0.07,BOL,True
0.2,C/5,C/100_standard,15.392473435540818,15.392473435540818,7.340631702548625,7.340631702548625,11.292397280713365,11.292397280713365,1.2991471404151276,1.2991471404151276,7.288275152590231,7.288275152590231,1.1751966997308516,deformation_enabled,0.07,BOL,True
0.3333333333333333,C/3,C/100_standard,19.49021913270905,19.49021913270905,13.88316452792944,13.88316452792944,16.635067935654497,16.635067935654497,2.6333142606424187,2.6333142606424187,9.071260787647246,9.071260787647246,0.7107705085517835,deformation_enabled,0.07,BOL,True
0.05,C/20,C/100_standard,4.7391436024361795,4.7391436024361795,8.545709177136416,8.545709177136416,6.677547183494055,6.677547183494055,-0.37226554361725006,0.37226554361725006,1.7817487719524157,1.7817487719524157,2.51200099745581,deformation_enabled,0.07,BOL,True
0.01,C/100,C/100_standard,4.584628664837191,4.584628664837191,6.424721224742583,6.424721224742583,5.521673783200411,5.521673783200411,-0.8980957934034386,0.8980957934034386,0.8931521133949374,0.8931521133949374,2.1021104095684695,deformation_enabled,0.07,BOL,True
0.1,C/10,C/100_standard,19.09174552225375,19.09174552225375,-4.693000683062816,4.693000683062816,6.980233127216907,6.980233127216907,0.06995661940674104,0.06995661940674104,8.041873753075658,8.041873753075658,0.5936176270462723,deformation_enabled,0.08,BOL,True
0.2,C/5,C/100_standard,17.76469235541089,17.76469235541089,5.461381132681962,5.461381132681962,11.499703280932613,11.499703280932613,1.3522887679168927,1.3522887679168927,8.055771382640565,8.055771382640565,0.6007780195323109,deformation_enabled,0.08,BOL,True
0.3333333333333333,C/3,C/100_standard,20.217952058384313,20.217952058384313,13.358826381213879,13.358826381213879,16.725227241604312,16.725227241604312,2.6333142606424187,2.6333142606424187,9.3034672538559,9.3034672538559,0.4766661786236859,deformation_enabled,0.08,BOL,True
0.05,C/20,C/100_standard,6.326427423315333,6.326427423315333,8.310082259156431,8.310082259156431,7.336577360446942,7.336577360446942,-0.33673673767093704,0.33673673767093704,2.550434446391935,2.550434446391935,2.1390077026851917,deformation_enabled,0.08,BOL,True
0.01,C/100,C/100_standard,5.101695335946544,5.101695335946544,6.613843180640129,6.613843180640129,5.871746150876657,5.871746150876657,-0.8919895326428404,0.8919895326428404,1.2035210240082017,1.2035210240082017,2.0463325212423666,deformation_enabled,0.08,BOL,True
0.1,C/10,C/100_standard,18.25613124839218,18.25613124839218,-3.9965349403701445,3.9965349403701445,6.924777304999706,6.924777304999706,0.02379485749126042,0.02379485749126042,7.804486116764442,7.804486116764442,0.8832466008796058,deformation_enabled,0.09,BOL,True
0.2,C/5,C/100_standard,16.813741754364198,16.813741754364198,6.575657863541194,6.575657863541194,11.600397924944966,11.600397924944966,1.3347643394418456,1.3347643394418456,7.825962687108796,7.825962687108796,0.8581979760934777,deformation_enabled,0.09,BOL,True
0.3333333333333333,C/3,C/100_standard,18.456566064889664,18.456566064889664,14.962141069949322,14.962141069949322,16.677198051329306,16.677198051329306,2.6333142606418978,2.6333142606418978,8.865074158570053,8.865074158570053,0.7942565222679443,deformation_enabled,0.09,BOL,True
0.05,C/20,C/100_standard,7.227965254984451,7.227965254984451,7.965627023401329,7.965627023401329,7.603636655426086,7.603636655426086,-0.3157521889239822,0.3157521889239822,2.929055529243893,2.929055529243893,1.8456776853212231,deformation_enabled,0.09,BOL,True
0.01,C/100,C/100_standard,5.389554122596649,5.389554122596649,6.559903488812112,6.559903488812112,5.985555992919752,5.985555992919752,-0.8902640639117838,0.8902640639117838,1.346494758787264,1.346494758787264,1.8223984149151384,deformation_enabled,0.09,BOL,True
0.1,C/10,C/100_standard,16.158398475273625,16.158398475273625,-2.462173535027202,2.462173535027202,6.676562095416141,6.676562095416141,-0.07735634111116485,0.07735634111116485,7.1565593542507795,7.1565593542507795,1.3899674216110047,deformation_enabled,0.1,BOL,True
0.2,C/5,C/100_standard,14.253933548832167,14.253933548832167,8.703426501307243,8.703426501307243,11.42757515790034,11.42757515790034,1.2379879434597043,1.2379879434597043,7.1210515872432865,7.1210515872432865,1.3053679295019216,deformation_enabled,0.1,BOL,True
0.3333333333333333,C/3,C/100_standard,15.669719772669286,15.669719772669286,17.61537243613175,17.61537243613175,16.660522133220816,16.660522133220816,2.6333142606424187,2.6333142606424187,8.178526521427816,8.178526521427816,1.3789674432478582,deformation_enabled,0.1,BOL,True
0.05,C/20,C/100_standard,6.920937940930504,6.920937940930504,8.201320598318901,8.201320598318901,7.5729710699533435,7.5729710699533435,-0.33149799307680666,0.33149799307680666,2.8412491989985655,2.8412491989985655,1.8822380744036193,deformation_enabled,0.1,BOL,True
0.01,C/100,C/100_standard,5.1295008125559525,5.1295008125559525,6.728125374543575,6.728125374543575,5.943586917301497,5.943586917301497,-0.9023170375092362,0.9023170375092362,1.260691606637333,1.260691606637333,2.0468714158330292,deformation_enabled,0.1,BOL,True
0.1,C/10,C/100_standard,9.153610060404482,9.153610060404482,-17.99850352939338,17.99850352939338,-4.6726217168475355,4.6726217168475355,2.6333142606424187,2.6333142606424187,3.4524383264065714,3.4524383264065714,4.678678262755143,deformation_disabled,0.0,BOL,True
0.2,C/5,C/100_standard,0.6878562218441506,0.6878562218441506,-12.54667509558694,12.54667509558694,-6.051331285008288,6.051331285008288,2.6333142606424187,2.6333142606424187,2.133832948077409,2.133832948077409,6.860570696770857,deformation_disabled,0.0,BOL,True
0.3333333333333333,C/3,C/100_standard,-9.315499693561165,9.315499693561165,-3.983615891810032,3.983615891810032,-6.600386125798587,6.600386125798587,2.6333142606424187,2.6333142606424187,1.4700876445451037,1.4700876445451037,9.976241187645451,deformation_disabled,0.0,BOL,True
0.05,C/20,C/100_standard,14.55133492715803,14.55133492715803,-22.815241134836537,22.815241134836537,-4.476256600380149,4.476256600380149,0.5994558268500296,0.5994558268500296,0.8032978315677071,0.8032978315677071,21.81918206924801,deformation_disabled,0.0,BOL,True
0.01,C/100,C/100_standard,12.419454129629152,12.419454129629152,-19.103413890453982,19.103413890453982,-3.6324319441258712,3.6324319441258712,-2.2684415749992954,2.2684415749992954,-0.01405328904715374,0.01405328904715374,2.044217486418276,deformation_disabled,0.0,BOL,True
