sto_common,p_si_original,p_si_reconstructed_deformed,si_scale_a,si_shift_b,dUdx_si_original,dUdx_si_reconstructed_deformed,x_anode_common,p_anode_reconstructed,dUdx_anode_reconstructed
0.0,1.0,1.0,0.91,0.029,-177.67052081056616,-235.43628603169995,1.0489448597683673e-06,1.0000000000000002,-125.10011298204324
0.001001001001001001,0.8221516308202541,0.7643280420103103,0.91,0.029,-103.3559775420618,-129.75084008963637,0.0010020488958659148,0.8747747930341115,-118.36017228112343
0.002002002002002002,0.7930811260419184,0.7402385583791063,0.91,0.029,-25.849677990515602,-21.6764692720281,0.0020030488468720615,0.763042946691033,-69.1867420341672
0.003003003003003003,0.7704005237321347,0.7209317071313752,0.91,0.029,-20.680644351403828,-17.67874753565269,0.003004048797878208,0.7362629422611591,-24.111311601430543
0.004004004004004004,0.7516784346477164,0.7048456704198417,0.91,0.029,-17.360018854395946,-14.98020992901263,0.0040050487488843545,0.7147721032275812,-19.619575130361454
0.005005005005005005,0.7356457312308416,0.6909412968630816,0.91,0.029,-15.045854006761715,-13.12026929456664,0.0050060486998905005,0.6969845547726525,-16.439552253602074
0.006006006006006006,0.7215566048043497,0.678578865025314,0.91,0.029,-13.34220781636185,-11.750970118646933,0.006007048650896647,0.6818601212267439,-14.322341477105681
0.007007007007007007,0.7089346044713585,0.6674158311600847,0.91,0.029,-12.037599881106985,-10.642154112488754,0.007008048601902794,0.6683112285389003,-12.836360296800706
0.008008008008008008,0.6974573057430744,0.6572732511864976,0.91,0.029,-11.008472629544826,-9.762176201856335,0.00800904855290894,0.6561617291703543,-11.67155578624562
0.009009009009009009,0.6868956202280254,0.6478719348600721,0.91,0.029,-10.178196972223645,-9.083900365993884,0.009010048503915086,0.6449447749985057,-10.84070350856689
0.01001001001001001,0.677080535027912,0.6390872644677911,0.91,0.029,-9.496070479061075,-8.506250179231188,0.010011048454921232,0.6344586418084591,-10.15509290353856
0.011011011011011011,0.6678844681177931,0.6308424049717214,0.91,0.029,-8.927552196822944,-8.012148775244725,0.01101204840592738,0.624614280000696,-9.574254336900538
0.012012012012012012,0.6592075576568951,0.6230469265794133,0.91,0.029,-8.447749079156267,-7.60564452748946,0.012013048356933526,0.6152909855641434,-9.06435176217093
0.013013013013013013,0.6509720575489116,0.615615889401172,0.91,0.029,-8.03919098528604,-7.266082576837334,0.013014048307939672,0.6064674486610248,-8.623496742052737
0.014014014014014014,0.643113081209876,0.608500214713873,0.91,0.029,-7.689034459625191,-6.960364753890019,0.01401504825894582,0.5980267459315506,-8.279538538539327
