Q_exp,V_fit,dqdv_fit,dvdq_fit,V_fit_anode,dqdv_fit_anode,dvdq_fit_anode,V_fit_cathode,dqdv_fit_cathode,dvdq_fit_cathode,dqdv_fit_si,dqdv_fit_gr,SoCs,Q_si,Q_gr,x_si,x_gr
5.49944382647386,,,,,,,,,,,,2.2091152815013406,,,,
5.492769744160178,,,,,,,,,,,,2.2064343163538873,,,,
5.486095661846496,,,,,,,,,,,,2.2037533512064345,,,,
5.479421579532815,,,,,,,,,,,,2.2010723860589816,,,,
5.4727474972191335,,,,,,,,,,,,2.1983914209115283,,,,
5.466073414905451,,,,,,,,,,,,2.195710455764075,,,,
5.459399332591769,,,,,,,,,,,,2.1930294906166217,,,,
5.452725250278087,,,,,,,,,,,,2.190348525469169,,,,
5.446051167964406,,,,,,,,,,,,2.187667560321716,,,,
5.439377085650723,,,,,,,,,,,,2.1849865951742626,,,,
5.432703003337042,,,,,,,,,,,,2.1823056300268098,,,,
5.426028921023359,,,,,,,,,,,,2.1796246648793565,,,,
5.419354838709678,,,,,,,,,,,,2.1769436997319036,,,,
5.412680756395996,,,,,,,,,,,,2.1742627345844507,,,,
5.406006674082314,,,,,,,,,,,,2.1715817694369974,,,,
5.399332591768632,,,,,,,,,,,,2.168900804289544,,,,
5.39265850945495,,,,,,,,,,,,2.1662198391420913,,,,
5.385984427141269,,,,,,,,,,,,2.1635388739946384,,,,
5.379310344827587,,,,,,,,,,,,2.160857908847185,,,,
5.372636262513905,,,,,,,,,,,,2.158176943699732,,,,
5.365962180200222,,,,,,,,,,,,2.1554959785522785,,,,
5.359288097886541,,,,,,,,,,,,2.1528150134048256,,,,
5.352614015572859,,,,,,,,,,,,2.1501340482573728,,,,
5.345939933259178,,,,,,,,,,,,2.14745308310992,,,,
5.3392658509454956,,,,,,,,,,,,2.1447721179624666,,,,
5.332591768631813,,,,,,,,,,,,2.1420911528150133,,,,
5.325917686318132,,,,,,,,,,,,2.1394101876675604,,,,
5.31924360400445,,,,,,,,,,,,2.1367292225201076,,,,
5.312569521690768,,,,,,,,,,,,2.1340482573726542,,,,
5.305895439377086,,,,,,,,,,,,2.1313672922252014,,,,
5.299221357063404,,,,,,,,,,,,2.128686327077748,,,,
5.292547274749722,,,,,,,,,,,,2.1260053619302948,,,,
5.285873192436041,,,,,,,,,,,,2.123324396782842,,,,
5.2791991101223585,,,,,,,,,,,,2.1206434316353886,,,,
5.272525027808676,,,,,,,,,,,,2.1179624664879353,,,,
5.265850945494995,,,,,,,,,,,,2.1152815013404824,,,,
5.259176863181313,,,,,,,,,,,,2.1126005361930296,,,,
5.252502780867632,,,,,,,,,,,,2.1099195710455767,,,,
5.245828698553949,,,,,,,,,,,,2.1072386058981234,,,,
5.239154616240267,,,,,,,,,,,,2.10455764075067,,,,
5.232480533926585,,,,,,,,,,,,2.1018766756032172,,,,
5.225806451612904,,,,,,,,,,,,2.0991957104557644,,,,
5.219132369299222,,,,,,,,,,,,2.0965147453083115,,,,
5.21245828698554,,,,,,,,,,,,2.093833780160858,,,,
5.205784204671858,,,,,,,,,,,,2.091152815013405,,,,
5.199110122358176,,,,,,,,,,,,2.0884718498659516,,,,
5.192436040044495,,,,,,,,,,,,2.0857908847184987,,,,
5.185761957730812,,,,,,,,,,,,2.0831099195710454,,,,
5.179087875417131,,,,,,,,,,,,2.0804289544235925,,,,
5.172413793103448,,,,,,,,,,,,2.0777479892761392,,,,
5.165739710789767,,,,,,,,,,,,2.0750670241286864,,,,
5.159065628476085,,,,,,,,,,,,2.0723860589812335,,,,
5.152391546162403,,,,,,,,,,,,2.06970509383378,,,,
5.145717463848721,,,,,,,,,,,,2.067024128686327,,,,
5.139043381535039,,,,,,,,,,,,2.064343163538874,,,,
5.132369299221358,,,,,,,,,,,,2.061662198391421,,,,
5.125695216907676,,,,,,,,,,,,2.0589812332439683,,,,
5.119021134593994,,,,,,,,,,,,2.056300268096515,,,,
5.112347052280311,,,,,,,,,,,,2.0536193029490617,,,,
5.10567296996663,,,,,,,,,,,,2.0509383378016084,,,,
5.098998887652948,,,,,,,,,,,,2.0482573726541555,,,,
5.092324805339267,,,,,,,,,,,,2.0455764075067027,,,,
5.0856507230255845,,,,,,,,,,,,2.0428954423592494,,,,
5.078976640711902,,,,,,,,,,,,2.040214477211796,,,,
5.072302558398221,,,,,,,,,,,,2.037533512064343,,,,
5.065628476084539,,,,,,,,,,,,2.0348525469168903,,,,
5.058954393770857,,,,,,,,,,,,2.032171581769437,,,,
5.052280311457175,,,,,,,,,,,,2.029490616621984,,,,
5.045606229143493,,,,,,,,,,,,2.026809651474531,,,,
5.038932146829811,,,,,,,,,,,,2.024128686327078,,,,
5.03225806451613,,,,,,,,,,,,2.0214477211796247,,,,
5.0255839822024475,,,,,,,,,,,,2.018766756032172,,,,
5.018909899888765,,,,,,,,,,,,2.0160857908847185,,,,
5.012235817575084,,,,,,,,,,,,2.013404825737265,,,,
5.005561735261402,,,,,,,,,,,,2.0107238605898123,,,,
4.998887652947721,,,,,,,,,,,,2.0080428954423595,,,,
4.992213570634038,,,,,,,,,,,,2.005361930294906,,,,
4.985539488320356,,,,,,,,,,,,2.002680965147453,,,,
4.978865406006674,,,,,,,,,,,,2.0,,,,
4.972191323692993,,,,,,,,,,,,1.9973190348525471,,,,
4.965517241379311,,,,,,,,,,,,1.994638069705094,,,,
4.958843159065629,,,,,,,,,,,,1.9919571045576407,,,,
4.952169076751947,,,,,,,,,,,,1.9892761394101877,,,,
4.945494994438265,,,,,,,,,,,,1.9865951742627346,,,,
4.938820912124584,,,,,,,,,,,,1.9839142091152817,,,,
4.932146829810901,,,,,,,,,,,,1.9812332439678284,,,,
4.92547274749722,,,,,,,,,,,,1.9785522788203755,,,,
4.918798665183537,,,,,,,,,,,,1.9758713136729222,,,,
4.912124582869856,,,,,,,,,,,,1.9731903485254692,,,,
4.905450500556174,,,,,,,,,,,,1.9705093833780163,,,,
4.898776418242492,,,,,,,,,,,,1.967828418230563,,,,
4.8921023359288105,,,,,,,,,,,,1.9651474530831101,,,,
4.885428253615128,,,,,,,,,,,,1.9624664879356568,,,,
4.878754171301447,,,,,,,,,,,,1.959785522788204,,,,
4.872080088987765,,,,,,,,,,,,1.9571045576407509,,,,
4.865406006674083,,,,,,,,,,,,1.9544235924932976,,,,
4.8587319243604,,,,,,,,,,,,1.9517426273458442,,,,
4.852057842046719,,,,,,,,,,,,1.9490616621983914,,,,
4.845383759733037,,,,,,,,,,,,1.9463806970509385,,,,
4.838709677419356,,,,,,,,,,,,1.9436997319034857,,,,
4.8320355951056735,,,,,,,,,,,,1.9410187667560324,,,,
4.825361512791991,,,,,,,,,,,,1.938337801608579,,,,
4.81868743047831,,,,,,,,,,,,1.935656836461126,,,,
4.812013348164628,,,,,,,,,,,,1.932975871313673,,,,
4.805339265850946,,,,,,,,,,,,1.9302949061662198,,,,
4.798665183537264,,,,,,,,,,,,1.927613941018767,,,,
4.791991101223582,,,,,,,,,,,,1.9249329758713136,,,,
4.7853170189099,,,,,,,,,,,,1.9222520107238608,,,,
4.778642936596219,,,,,,,,,,,,1.9195710455764077,,,,
4.7719688542825365,,,,,,,,,,,,1.9168900804289544,,,,
4.765294771968855,,,,,,,,,,,,1.9142091152815015,,,,
4.758620689655173,,,,,,,,,,,,1.9115281501340482,,,,
4.751946607341491,,,,,,,,,,,,1.9088471849865953,,,,
4.74527252502781,,,,,,,,,,,,1.9061662198391423,,,,
4.738598442714127,,,,,,,,,,,,1.9034852546916892,,,,
4.731924360400445,,,,,,,,,,,,1.9008042895442359,,,,
4.725250278086763,,,,,,,,,,,,1.8981233243967828,,,,
4.718576195773082,,,,,,,,,,,,1.89544235924933,,,,
4.7119021134594,,,,,,,,,,,,1.892761394101877,,,,
4.705228031145718,,,,,,,,,,,,1.8900804289544237,,,,
4.698553948832036,,,,,,,,,,,,1.8873994638069704,,,,
4.691879866518354,,,,,,,,,,,,1.8847184986595176,,,,
4.685205784204673,,,,,,,,,,,,1.8820375335120645,,,,
4.67853170189099,,,,,,,,,,,,1.8793565683646112,,,,
4.671857619577309,,,,,,,,,,,,1.8766756032171583,,,,
4.665183537263626,,,,,,,,,,,,1.873994638069705,,,,
4.658509454949945,,,,,,,,,,,,1.8713136729222521,,,,
4.651835372636263,,,,,,,,,,,,1.868632707774799,,,,
4.645161290322581,,,,,,,,,,,,1.8659517426273458,,,,
4.6384872080088995,,,,,,,,,,,,1.863270777479893,,,,
4.631813125695217,,,,,,,,,,,,1.8605898123324396,,,,
4.625139043381536,,,,,,,,,,,,1.8579088471849867,,,,
4.618464961067854,,,,,,,,,,,,1.8552278820375339,,,,
4.611790878754172,,,,,,,,,,,,1.8525469168900806,,,,
4.605116796440489,,,,,,,,,,,,1.8498659517426272,,,,
4.598442714126808,,,,,,,,,,,,1.8471849865951742,,,,
4.591768631813126,,,,,,,,,,,,1.8445040214477213,,,,
4.585094549499445,,,,,,,,,,,,1.8418230563002684,,,,
4.5784204671857625,,,,,,,,,,,,1.8391420911528151,,,,
4.57174638487208,,,,,,,,,,,,1.8364611260053618,,,,
4.565072302558399,,,,,,,,,,,,1.833780160857909,,,,
4.558398220244717,,,,,,,,,,,,1.8310991957104559,,,,
4.551724137931035,,,,,,,,,,,,1.8284182305630026,,,,
4.545050055617353,,,,,,,,,,,,1.8257372654155497,,,,
4.538375973303671,,,,,,,,,,,,1.8230563002680964,,,,
4.531701890989989,,,,,,,,,,,,1.8203753351206435,,,,
4.525027808676308,,,,,,,,,,,,1.8176943699731907,,,,
4.5183537263626254,,,,,,,,,,,,1.8150134048257374,,,,
4.511679644048944,,,,,,,,,,,,1.8123324396782843,,,,
4.505005561735262,,,,,,,,,,,,1.809651474530831,,,,
4.49833147942158,,,,,,,,,,,,1.806970509383378,,,,
4.491657397107899,,,,,,,,,,,,1.8042895442359252,,,,
4.484983314794216,,,,,,,,,,,,1.801608579088472,,,,
4.478309232480534,,,,,,,,,,,,1.7989276139410186,,,,
4.471635150166852,,,,,,,,,,,,1.7962466487935658,,,,
4.464961067853171,,,,,,,,,,,,1.7935656836461127,,,,
4.458286985539488,,,,,,,,,,,,1.7908847184986594,,,,
4.451612903225807,,,,,,,,,,,,1.7882037533512065,,,,
4.4449388209121246,,,,,,,,,,,,1.7855227882037532,,,,
4.438264738598443,,,,,,,,,,,,1.7828418230563003,,,,
4.431590656284762,,,,,,,,,,,,1.7801608579088473,,,,
4.424916573971079,,,,,,,,,,,,1.7774798927613942,,,,
4.418242491657398,,,,,,,,,,,,1.774798927613941,,,,
4.411568409343715,,,,,,,,,,,,1.7721179624664878,,,,
4.404894327030034,,,,,,,,,,,,1.769436997319035,,,,
4.398220244716352,,,,,,,,,,,,1.766756032171582,,,,
4.39154616240267,,,,,,,,,,,,1.7640750670241288,,,,
4.384872080088988,,,,,,,,,,,,1.7613941018766757,,,,
4.378197997775306,,,,,,,,,,,,1.7587131367292226,,,,
4.3715239154616246,,,,,,,,,,,,1.7560321715817695,,,,
4.364849833147943,,,,,,,,,,,,1.7533512064343166,,,,
4.358175750834261,,,,,,,,,,,,1.7506702412868633,,,,
4.351501668520578,,,,,,,,,,,,1.74798927613941,,,,
4.344827586206897,,,,,,,,,,,,1.7453083109919572,,,,
4.338153503893215,,,,,,,,,,,,1.742627345844504,,,,
4.331479421579533,,,,,,,,,,,,1.739946380697051,,,,
4.324805339265851,,,,,,,,,,,,1.737265415549598,,,,
4.318131256952169,,,,,,,,,,,,1.7345844504021446,,,,
4.3114571746384875,,,,,,,,,,,,1.7319034852546917,,,,
4.304783092324806,,,,,,,,,,,,1.7292225201072389,,,,
4.298109010011124,,,,,,,,,,,,1.7265415549597856,,,,
4.291434927697442,,,,,,,,,,,,1.7238605898123325,,,,
4.28476084538376,,,,,,,,,,,,1.7211796246648792,,,,
4.278086763070078,,,,,,,,,,,,1.7184986595174263,,,,
4.271412680756397,,,,,,,,,,,,1.7158176943699734,,,,
4.264738598442714,,,,,,,,,,,,1.7131367292225201,,,,
4.258064516129033,,,,,,,,,,,,1.7104557640750673,,,,
4.2513904338153505,,,,,,,,,,,,1.707774798927614,,,,
4.244716351501669,,,,,,,,,,,,1.7050938337801609,,,,
4.2380422691879875,,,,,,,,,,,,1.702412868632708,,,,
4.231368186874305,,,,,,,,,,,,1.6997319034852547,,,,
4.224694104560623,,,,,,,,,,,,1.6970509383378014,,,,
4.218020022246941,,,,,,,,,,,,1.6943699731903485,,,,
4.21134593993326,,,,,,,,,,,,1.6916890080428957,,,,
4.204671857619577,,,,,,,,,,,,1.6890080428954424,,,,
4.197997775305896,,,,,,,,,,,,1.6863270777479893,,,,
4.1913236929922135,,,,,,,,,,,,1.683646112600536,,,,
4.184649610678532,,,,,,,,,,,,1.6809651474530831,,,,
4.1779755283648505,,,,,,,,,,,,1.6782841823056303,,,,
4.171301446051168,,,,,,,,,,,,1.675603217158177,,,,
4.164627363737487,,,,,,,,,,,,1.672922252010724,,,,
4.157953281423804,,,,,,,,,,,,1.6702412868632708,,,,
4.151279199110123,,,,,,,,,,,,1.6675603217158177,,,,
4.144605116796441,,,,,,,,,,,,1.6648793565683648,,,,
4.137931034482759,,,,,,,,,,,,1.6621983914209115,,,,
4.131256952169077,,,,,,,,,,,,1.6595174262734587,,,,
4.124582869855395,,,,,,,,,,,,1.6568364611260054,,,,
4.1179087875417135,,,,,,,,,,,,1.6541554959785525,,,,
4.111234705228032,,,,,,,,,,,,1.6514745308310994,,,,
4.10456062291435,,,,,,,,,,,,1.648793565683646,,,,
4.097886540600667,,,,,,,,,,,,1.6461126005361928,,,,
4.091212458286986,,,,,,,,,,,,1.64343163538874,,,,
4.084538375973304,,,,,,,,,,,,1.640750670241287,,,,
4.077864293659622,,,,,,,,,,,,1.6380697050938338,,,,
4.07119021134594,,,,,,,,,,,,1.6353887399463807,,,,
4.064516129032258,,,,,,,,,,,,1.6327077747989276,,,,
