sto_original_raw,p_original_raw,sto_reconstructed_raw,p_reconstructed_raw
1.0,0.0373,0.0,1.0
0.9994906156366183,0.037781590795397696,0.001001001001001001,0.7749979578140903
0.9989812312732366,0.0382631815907954,0.002002002002002002,0.7507585987494706
0.9984535414127563,0.038744772386193095,0.0030030030030030025,0.7313585483303388
0.9979243362170085,0.0392263631815908,0.004004004004004004,0.7151505875811509
0.9973777880817909,0.039707953976988494,0.005005005005005005,0.7011995682039068
0.996828109498149,0.04018954477238619,0.006006006006006005,0.6887974984327295
0.996262142887844,0.04067113556778389,0.007007007007007006,0.677596968321077
0.9956913287289645,0.04115272636318159,0.008008008008008008,0.6673841186470043
0.9951053740146073,0.04163431715857929,0.009009009009009009,0.6579550351860933
0.9945127495717858,0.04211590795397699,0.01001001001001001,0.6491426083033329
0.9939062289623811,0.042597498749374685,0.011011011011011011,0.6408481692144579
0.9932911094135067,0.04307908954477239,0.01201201201201201,0.6330170695997193
0.9926634386276137,0.043560680340170084,0.013013013013013011,0.6255593755889912
0.9920251314451225,0.04404227113556779,0.014014014014014012,0.6184158944913059
0.9913757191438219,0.04452386193096548,0.015015015015015013,0.6115449874059156
0.9907135216867433,0.04500545272636318,0.016016016016016016,0.6049289740055344
0.9900417702336168,0.04548704352176088,0.017017017017017015,0.5985144089612682
0.9893549736003001,0.04596863431715858,0.018018018018018018,0.59227647987844
0.9886602806843922,0.04645022511255628,0.019019019019019017,0.586195281224763
0.9879481701940971,0.04693181590795398,0.02002002002002002,0.5802564293208261
0.9872299290508254,0.047413406703351674,0.02102102102102102,0.5744325594357483
0.9864917842437219,0.04789499749874937,0.022022022022022022,0.5687085724517646
0.985749159327764,0.04837658829414707,0.023023023023023025,0.5630747536325141
0.9849828433854927,0.048858179089544776,0.02402402402402402,0.5575182017637826
0.9842141971665833,0.04933976988494247,0.025025025025025023,0.5520246170804198
0.9834196628932466,0.04982136068034017,0.026026026026026022,0.5465850692322067
0.9826249551351175,0.050302951475737864,0.027027027027027025,0.5411944238186966
0.9818021134364182,0.05078454227113557,0.028028028028028024,0.5358440934067302
0.9809792717377188,0.05126613306653326,0.029029029029029027,0.5305282184453028
0.9801294416923462,0.051747723861930967,0.030030030030030023,0.5252435335247572
