x_gr,p_gr,dUdx_gr,x_nmc,p_nmc,dUdx_nmc,p_gr_1mV,x_gr_1mV,dxdU_gr_1mV,p_nmc_1mV,x_nmc_1mV,dxdU_nmc_1mV
3.2655830539958612e-06,1.0000000000000002,-62.27324820511404,0.0,4.298644599402112,-4.741595492233573,0.037299999999999986,1.0,-1.0730470202735534,3.4197271313886373,1.0,-0.023745320210546823
1.099909317717776e-05,0.9995184092046026,-62.273248205114214,0.001001001001001,4.293898257568045,-4.114837391202855,0.03829999999999999,0.9989269529797264,-1.0728688229285126,3.420727131388637,0.9999762546797895,-0.02374532021048026
1.8732603300357875e-05,0.9990368184092049,-62.27324820512149,0.002002002002002,4.290406686707012,-2.9849291754158003,0.03929999999999999,0.997854262354143,-1.0698790922118064,3.421727131388637,0.999952509359579,-0.02374532021048026
2.646611342353799e-05,0.9985552276138072,-62.27324820512149,0.003003003003003,4.287922423383028,-2.1022369321790393,0.04029999999999999,0.9967871947953029,-1.0585713830017767,3.422727131388637,0.9999287640393685,-0.023745320210537102
3.419962354671989e-05,0.9980736368184095,-62.27324820512149,0.004004004004004,4.2861980041601075,-1.46676066148666,0.04129999999999999,0.9957371195881394,-1.0797075098613504,3.423727131388637,0.9999050187191579,-0.02374532021048026
4.1933133669900005e-05,0.9975920460230119,-62.273248205128766,0.005005005005005,4.284985965602274,-1.0271605681905385,0.04229999999999999,0.9946277797755801,-1.2271434435509718,3.4247271313886367,0.9998812733989475,-0.023745320210537102
4.966664379308012e-05,0.9971104552276142,-62.273248205128766,0.006006006006006,4.284141626646212,-1.1165464267205607,0.04329999999999999,0.9932828327010375,-1.5282037702210687,3.4257271313886366,0.999857528078737,-0.023745320210593945
5.7400153916260236e-05,0.9966288644322165,-62.273248205128766,0.007007007007007,4.282750637420651,-1.4172615906691135,0.04429999999999999,0.991571372235138,-1.5718378893678278,3.4267271313886365,0.9998337827585264,-0.02374532021048026
6.513366403944214e-05,0.9961472736368189,-62.273248205114214,0.008008008008008,4.281304266104333,-1.4325234986918076,0.04529999999999999,0.9901391569223018,-1.3935512844628875,3.4277271313886364,0.999810037438316,-0.02374532021048026
7.286717416262225e-05,0.9956656828414212,-62.273248205128766,0.009009009009009,4.279882722508355,-1.3974966570385732,0.046299999999999994,0.9887842696662122,-1.4049953888015807,3.4287271313886363,0.9997862921181054,-0.023745320210537102
8.060068428580237e-05,0.9951840920460235,-62.273248205128766,0.01001001001001,4.27850647499915,-1.3937254523452793,0.047299999999999995,0.9873291661446987,-1.4413183796734188,3.429727131388636,0.9997625467978949,-0.02374532021048026
8.833419440898248e-05,0.9947025012506259,-62.27324820512149,0.011011011011011,4.277092481362519,-1.414980011395528,0.048299999999999996,0.9859016329068654,-1.3759867411093865,3.430727131388636,0.9997388014776845,-0.02374532021048026
9.606770453216438e-05,0.9942209104552283,-62.27324820510694,0.012012012012012,4.275673682183543,-1.4182415790041887,0.0493,0.9845771926624799,-1.4611236029444399,3.431727131388636,0.9997150561574739,-0.023745320210537102
0.0001038012146553445,0.9937393196598306,-62.273248205128766,0.013013013013013,4.27425315888203,-1.420284288730727,0.0503,0.9829793857009765,-1.9443539595281436,3.432727131388636,0.9996913108372634,-0.02374532021048026
0.00011153472477852461,0.993257728864433,-62.273248205128766,0.014014014014014,4.272830270194091,-1.409371592675143,0.0513,0.9806884847434236,-2.2183125031325517,3.4337271313886357,0.9996675655170529,-0.02374532021048026
0.00011926823490170651,0.9927761380690353,-62.27324820510694,0.015015015015015,4.27143159413193,-1.379287849494176,0.0523,0.9785427606947114,-2.1453139918518787,3.4347271313886356,0.9996438201968424,-0.023745320210537102
0.00012700174502488663,0.9922945472736376,-62.273248205128766,0.016016016016016,4.270068933158067,-1.3550684705523963,0.0533,0.9763978567597198,-2.135396425915701,3.4357271313886355,0.9996200748766318,-0.023745320210537102
0.00013473525514806674,0.99181295647824,-62.27324820512149,0.017017017017017,4.268718744341033,-1.3906009835109217,0.0543,0.9742719678428801,-2.301411655204447,3.4367271313886354,0.9995963295564214,-0.023745320210537102
0.00014246876527124685,0.9913313656828424,-62.27324820512149,0.018018018018018,4.267284947205092,-1.4122146195127243,0.0553,0.971795033449311,-3.062728255973468,3.4377271313886353,0.9995725842362109,-0.023745320210537102
0.00015020227539442875,0.9908497748874447,-62.27324820512149,0.019019019019019,4.265891487845512,-1.3737793036366384,0.0563,0.9681465113309331,-3.2245253520752613,3.438727131388635,0.9995488389160003,-0.02374532021048026
0.00015793578551760888,0.9903681840920471,-62.27324820513604,0.02002002002002,4.264534638288903,-1.3618107710049117,0.057300000000000004,0.9653459827451604,-3.3809412103959176,3.439727131388635,0.9995250935957899,-0.02374532021048026
0.000165669295640789,0.9898865932966494,-62.273248205128766,0.021021021021021,4.263165139955612,-1.3598358552617356,0.058300000000000005,0.9613846289101412,-4.131297438032789,3.440727131388635,0.9995013482755793,-0.023745320210537102
0.0001734028057639691,0.9894050025012517,-62.27324820513604,0.022022022022022,4.2618122441842745,-1.3725860202525837,0.059300000000000005,0.9570833878690949,-4.126314274157721,3.441727131388635,0.9994776029553688,-0.02374532021048026
0.000181136315887151,0.9889234117058541,-62.27324820512149,0.023023023023023,4.260417219995147,-1.3864895132242054,0.060300000000000006,0.9531320003618258,-3.431896358145991,3.4427271313886347,0.9994538576351584,-0.02374532021048026
0.00018886982601033114,0.9884418209104564,-62.27324821265938,0.024024024024024,4.259036489403045,-1.3771002392904848,0.06130000000000001,0.9502195951528029,-4.460168556550343,3.4437271313886346,0.9994301123149478,-0.023745320210537102
0.00019660333613351124,0.9879602301149424,-62.273248212652106,0.025025025025025,4.25766026255913,-1.3622203996133067,0.06230000000000001,0.9442116632487251,-6.222793961906291,3.4447271313886345,0.9994063669947373,-0.02374532021048026
0.00020433684625669314,0.9874786393195447,-62.273248205114214,0.026026026026026,4.256309321435851,-1.35885511979086,0.06330000000000001,0.9377740072289902,-6.437366512933352,3.4457271313886344,0.9993826216745268,-0.023745320210537102
0.00021207035637987325,0.986997048524147,-62.273248205114214,0.027027027027027,4.254939831888879,-1.3710773162483747,0.06430000000000001,0.9313369302228584,-6.520916857766679,3.4467271313886343,0.9993588763543163,-0.023745320210593945
0.00021980386650305336,0.9865154577287496,-62.27324820509966,0.028028028028028,4.253564421903823,-1.3641357710039301,0.06530000000000001,0.9247321735134568,-7.600956894642877,3.447727131388634,0.9993351310341058,-0.02374532021048026
0.0002275373766262335,0.986033866933352,-62.273248205114214,0.029029029029029,4.252208829344327,-1.3483161975000257,0.06630000000000001,0.9161350164335725,-9.572012336434454,3.448727131388634,0.9993113857138953,-0.02374532021048026
0.0002352708867494154,0.9855522761379544,-62.27324820512149,0.03003003003003,4.250865090177096,-1.3316914617362272,0.06730000000000001,0.9055881488405879,-10.75468101663597,3.449727131388634,0.9992876403936848,-0.023745320210537102
0.0002430043968725955,0.9850706853425566,-62.27324820513604,0.031031031031031,4.249542780371882,-1.319098356369068,0.06830000000000001,0.8946256544003006,-12.182636051658221,3.450727131388634,0.9992638950734742,-0.02374532021048026
0.00025073790699577564,0.9845890945471588,-62.27324820512149,0.032032032032032,4.248224252626808,-1.338429596707556,0.06930000000000001,0.8812228767372714,-16.233789798837392,3.4517271313886337,0.9992401497532638,-0.02374532021048026
0.0002584714171189575,0.9841075037517614,-62.27324820510694,0.033033033033033,4.246863241639734,-1.3535662953113388,0.07030000000000002,0.8621580748026259,-23.30933795428672,3.4527271313886336,0.9992164044330533,-0.023745320210537102
0.00026620492724213765,0.9836259129563636,-62.27324820514332,0.034034034034034,4.245514410193753,-1.3495023983546162,0.07130000000000002,0.834604200828698,-48.76950062879729,3.4537271313886335,0.9991926591128427,-0.02374532021048026
0.00027393843736531773,0.9831443221609659,-62.27324820513604,0.035035035035035,4.244161535136522,-1.3461167270297665,0.07230000000000002,0.7646190735450311,-111.28318549169819,3.4547271313886334,0.9991689137926323,-0.02374532021048026
0.00028167194748849786,0.9826627313655681,-62.273248205114214,0.036036036036036,4.242819481811311,-1.3192725674966823,0.07330000000000002,0.6120378298453013,-97.74131449513692,3.4557271313886333,0.9991451684724217,-0.023745320210537102
0.00028940545761167974,0.9821811405701708,-62.27324820509966,0.037037037037037,4.241520348815207,-1.3125461188965346,0.07430000000000002,0.5691364445547571,-33.08048924486559,3.456727131388633,0.9991214231522112,-0.023745320210537102
0.00029713896773485987,0.981699549774773,-62.27324820514332,0.038038038038038,4.24019176185356,-1.333204770604425,0.07530000000000002,0.5458768513555701,-16.179515917887215,3.457727131388633,0.9990976778320008,-0.023745320210537102
0.00030487247785804,0.9812179589793752,-62.273248205128766,0.039039039039039,4.238851270195378,-1.3444303085502725,0.07630000000000002,0.5367774127189826,-6.823792818827997,3.458727131388633,0.9990739325117902,-0.023745320210537102
0.0003126059879812201,0.9807363681839777,-62.273248205114214,0.04004004004004,4.23750020968429,-1.3466763399319461,0.07730000000000002,0.5322292657179141,-4.2858081425108026,3.459727131388633,0.9990501871915797,-0.02374532021048026
0.000320339498104402,0.98025477738858,-62.27324820510694,0.041041041041041,4.236155221466786,-1.322942894435073,0.07830000000000002,0.528205796433961,-3.2299556146566033,3.4607271313886327,0.9990264418713692,-0.02374532021048026
