Q_exp,V_fit,dqdv_fit,dvdq_fit,V_fit_anode,dqdv_fit_anode,dvdq_fit_anode,V_fit_cathode,dqdv_fit_cathode,dvdq_fit_cathode,dqdv_fit_si,dqdv_fit_gr,SoCs,Q_si,x_si,x_gr
5.479131886477463,,,,,,,,,,,,2.2235772357723573,,,
5.469115191986645,,,,,,,,,,,,2.219512195121951,,,
5.459098497495827,,,,,,,,,,,,2.2154471544715446,,,
5.449081803005009,,,,,,,,,,,,2.2113821138211383,,,
5.439065108514191,,,,,,,,,,,,2.2073170731707314,,,
5.429048414023373,,,,,,,,,,,,2.203252032520325,,,
5.419031719532555,,,,,,,,,,,,2.1991869918699187,,,
5.409015025041736,,,,,,,,,,,,2.195121951219512,,,
5.398998330550919,,,,,,,,,,,,2.1910569105691056,,,
5.3889816360601,,,,,,,,,,,,2.1869918699186988,,,
5.378964941569283,,,,,,,,,,,,2.182926829268293,,,
5.368948247078464,,,,,,,,,,,,2.1788617886178856,,,
5.358931552587647,,,,,,,,,,,,2.1747967479674797,,,
5.348914858096828,,,,,,,,,,,,2.170731707317073,,,
5.338898163606011,,,,,,,,,,,,2.1666666666666665,,,
5.328881469115192,,,,,,,,,,,,2.1626016260162597,,,
5.318864774624375,,,,,,,,,,,,2.158536585365854,,,
5.308848080133556,,,,,,,,,,,,2.154471544715447,,,
5.298831385642738,,,,,,,,,,,,2.15040650406504,,,
5.28881469115192,,,,,,,,,,,,2.146341463414634,,,
5.278797996661102,,,,,,,,,,,,2.1422764227642275,,,
5.268781302170284,,,,,,,,,,,,2.138211382113821,,,
5.258764607679466,,,,,,,,,,,,2.1341463414634143,,,
5.248747913188648,,,,,,,,,,,,2.130081300813008,,,
5.23873121869783,,,,,,,,,,,,2.1260162601626016,,,
5.228714524207012,,,,,,,,,,,,2.121951219512195,,,
5.218697829716194,,,,,,,,,,,,2.1178861788617884,,,
5.208681135225376,,,,,,,,,,,,2.113821138211382,,,
5.198664440734558,,,,,,,,,,,,2.1097560975609757,,,
5.18864774624374,,,,,,,,,,,,2.105691056910569,,,
5.178631051752921,,,,,,,,,,,,2.101626016260162,,,
5.168614357262104,,,,,,,,,,,,2.097560975609756,,,
5.158597662771285,,,,,,,,,,,,2.0934959349593494,,,
5.148580968280468,,,,,,,,,,,,2.089430894308943,,,
5.138564273789649,,,,,,,,,,,,2.085365853658536,,,
5.128547579298832,,,,,,,,,,,,2.0813008130081303,,,
5.118530884808013,,,,,,,,,,,,2.077235772357723,,,
5.108514190317196,,,,,,,,,,,,2.073170731707317,,,
5.098497495826377,,,,,,,,,,,,2.0691056910569103,,,
5.088480801335559,,,,,,,,,,,,2.065040650406504,,,
5.078464106844741,,,,,,,,,,,,2.060975609756097,,,
5.068447412353923,,,,,,,,,,,,2.056910569105691,,,
5.058430717863105,,,,,,,,,,,,2.0528455284552845,,,
5.048414023372287,,,,,,,,,,,,2.0487804878048776,,,
5.038397328881469,,,,,,,,,,,,2.0447154471544713,,,
5.028380634390651,,,,,,,,,,,,2.040650406504065,,,
