sto_common,p_si_original,p_si_reconstructed_deformed,si_scale_a,si_shift_b,dUdx_si_original,dUdx_si_reconstructed_deformed,x_anode_common,p_anode_reconstructed,dUdx_anode_reconstructed
0.0,1.0,1.0,0.9,0.034,-177.67052081056616,-238.6521619062755,2.527570524813313e-05,0.9698394914941362,-65.13649561742692
0.001001001001001001,0.8221516308202541,0.7611089470407653,0.9,0.034,-103.3559775420618,-131.26189088473689,0.0010262514052428798,0.9046394421982775,-57.886425766292064
0.002002002002002002,0.7930811260419184,0.7372134316621884,0.9,0.034,-25.849677990515602,-21.495503387153178,0.0020272271052376267,0.8539536803909199,-48.8504508559875
0.003003003003003003,0.7704005237321347,0.7180749062256437,0.9,0.034,-20.680644351403828,-17.534246655777167,0.0030282028052323736,0.8068432137170154,-45.34462823675932
0.004004004004004004,0.7516784346477164,0.7021098347537256,0.9,0.034,-17.360018854395946,-14.85445038194473,0.00402917850522712,0.7631759384103364,-37.38938335634634
0.005005005005005005,0.7356457312308416,0.688336266822351,0.9,0.034,-15.045854006761715,-12.996350348068177,0.005030154205221867,0.731991485362034,-29.11649205460685
0.006006006006006006,0.7215566048043497,0.6760911153381737,0.9,0.034,-13.34220781636185,-11.640319057754994,0.006031129905216614,0.7048861363788332,-25.483173583587927
0.007007007007007007,0.7089346044713585,0.6650323247647835,0.9,0.034,-12.037599881106985,-10.5499163279232,0.0070321056052113605,0.6809754103301948,-22.660751768335558
0.008008008008008008,0.6974573057430744,0.6549701617287178,0.9,0.034,-11.008472629544826,-9.676844913195794,0.008033081305206106,0.6595204126513994,-20.357796291512614
0.009009009009009009,0.6868956202280254,0.6456592618755026,0.9,0.034,-10.178196972223645,-8.996925276203797,0.009034057005200853,0.6402200915437002,-18.409758011159795
0.01001001001001001,0.677080535027912,0.6369582993138955,0.9,0.034,-9.496070479061075,-8.432744659711773,0.010035032705195599,0.6226649718274901,-16.90828905489417
0.011011011011011011,0.6678844681177931,0.628776890184388,0.9,0.034,-8.927552196822944,-7.9435299021272385,0.011036008405190346,0.6063705185988277,-15.732295812527127
0.012012012012012012,0.6592075576568951,0.621055336546874,0.9,0.034,-8.447749079156267,-7.53403974288176,0.012036984105185094,0.5911696802005526,-14.655722281892793
0.013013013013013013,0.6509720575489116,0.613693727535976,0.9,0.034,-8.03919098528604,-7.198702520984455,0.01303795980517984,0.5770304748587353,-13.793033277735844
0.014014014014014014,0.643113081209876,0.6066435196880462,0.9,0.034,-7.689034459625191,-6.902123237640637,0.014038935505174587,0.5635566979200876,-13.15913925767552
0.015015015015015015,0.6355785951672797,0.5998756629961549,0.9,0.034,-7.386462975835684,-6.641160143369973,0.015039911205169332,0.550686517599175,-12.495989742515405
0.016016016016016016,0.6283253675445393,0.5933479037854036,0.9,0.034,-7.123856292648156,-6.421456304456854,0.01604088690516408,0.5385403337608045,-11.92027539604203
0.017017017017017015,0.6213166206074235,0.587019894618864,0.9,0.034,-6.895661674795576,-6.233926941570644,0.017041862605158827,0.5268227055818083,-11.501185169854807
0.018018018018018018,0.61452023906647,0.5808675695680448,0.9,0.034,-6.696290372244391,-6.063893341987239,0.018042838305153575,0.5155155200084752,-11.010152679262148
0.01901901901901902,0.6079106338762036,0.5748799680082789,0.9,0.034,-6.522129266989566,-5.915635686007249,0.01904381400514832,0.5047809150114613,-10.497678904012815
0.02002002002002002,0.6014629232166411,0.5690244550815439,0.9,0.034,-6.370086976115601,-5.792364500348128,0.020044789705143066,0.4944996770299466,-10.053363755325648
0.02102102102102102,0.5951577069970932,0.5632836426822566,0.9,0.034,-6.237137326262086,-5.683962347744796,0.021045765405137813,0.48465456936688345,-9.5972369338933
0.022022022022022022,0.588976161802703,0.5576451510820547,0.9,0.034,-6.121420285579973,-5.587212435570052,0.02204674110513256,0.47528647511410804,-9.05651862371505
0.023023023023023025,0.5829026113302664,0.5520980322006348,0.9,0.034,-6.020687185833083,-5.505017407675837,0.023047716805127308,0.4665238592291062,-8.480832118133634
0.024024024024024024,0.5769227340032375,0.546624095210832,0.9,0.034,-5.933489528848895,-5.436798996091625,0.024048692505122055,0.45830826138213454,-7.84431063836908
0.025025025025025023,0.5710237534146531,0.5412135497259769,0.9,0.034,-5.858207243163463,-5.376544952991935,0.0250496682051168,0.4508199305646707,-7.155025616044156
0.026026026026026026,0.5651945913742814,0.5358602414510882,0.9,0.034,-5.793501068572027,-5.324392573099772,0.026050643905111547,0.4439842478331343,-6.668062516295862
0.02702702702702703,0.5594251526767712,0.5305541051351865,0.9,0.034,-5.7378969965983515,-5.281230910724105,0.027051619605106294,0.4374707934749547,-6.3977116451780205
0.028028028028028028,0.5537073100998103,0.5252872065947838,0.9,0.034,-5.690228699169211,-5.244287104185901,0.02805259530510104,0.43117634004834104,-6.245117121466961
0.029029029029029027,0.5480333034291852,0.5200550318535331,0.9,0.034,-5.649122550844083,-5.210211924187945,0.02905357100509579,0.42496837251053554,-6.1441114762774305
0.03003003003003003,0.5423977554434658,0.5148563518917048,0.9,0.034,-5.612915127438782,-5.178778303619225,0.030054546705090533,0.41887612747671593,-6.037916701218705
0.031031031031031032,0.5367962361069855,0.5096871073217628,0.9,0.034,-5.580091601899937,-5.149260216896039,0.03105552240508528,0.4128807567175109,-5.913996193416438
0.03203203203203203,0.5312264008851076,0.5045475226286497,0.9,0.034,-5.548716446682192,-5.117384209204658,0.03205649810508003,0.40703659451777335,-5.766870889034607
0.03303303303303303,0.5256876946721863,0.49944209388992167,0.9,0.034,-5.51669316144671,-5.0801704079573256,0.033057473805074775,0.4013357614676494,-5.628580113038453
0.03403403403403403,0.5201819701314606,0.49437701130140776,0.9,0.034,-5.481595559670893,-5.036435094948359,0.034058449505069525,0.39576845068052297,-5.498180996830541
0.035035035035035036,0.5147135293875599,0.4893591407468819,0.9,0.034,-5.440926083743818,-4.984344950564065,0.03505942520506427,0.3903286703236488,-5.396765098503636
0.036036036036036036,0.5092892252190606,0.4843983427317099,0.9,0.034,-5.391714240910005,-4.917416026138653,0.03606040090505902,0.3849643892361592,-5.309026161475231
0.037037037037037035,0.5039193066830354,0.4795144640178756,0.9,0.034,-5.3313093492196515,-4.834262406705136,0.037061376605053764,0.37970025796710266,-5.215560227633716
0.03803803803803804,0.49861593322863085,0.4747201397152832,0.9,0.034,-5.257418992656341,-4.737750504984348,0.03806235230504851,0.3745230911367184,-5.132788893709034
0.03903903903903904,0.493393943334374,0.470029478021911,0.9,0.034,-5.167542988252535,-4.625418948342087,0.03906332800504326,0.36942466405549135,-5.033439432616063
0.04004004004004004,0.48827050182071785,0.4654600417206044,0.9,0.034,-5.060840598765395,-4.491684584485057,0.040064303705038,0.36444639001783036,-4.904157211194018
0.04104104104104104,0.48326213032383264,0.4610371164914104,0.9,0.034,-4.937387302874384,-4.345186507488592,0.041065279405032754,0.35960677966077287,-4.760565884423812
0.04204204204204204,0.4783858425557041,0.4567609696335401,0.9,0.034,-4.7974130376966855,-4.19428819591397,0.0420662551050275,0.3549159684807659,-4.5812249364063575
0.043043043043043044,0.4736576998179334,0.45264014312621725,0.9,0.034,-4.644787221365533,-4.032143067692033,0.04306723080502224,0.3504353899856674,-4.3828799941159104
0.044044044044044044,0.4690869692396569,0.44868861113966213,0.9,0.034,-4.482217182416008,-3.86478266260238,0.04406820650501699,0.3461416557405596,-4.186744623862211
0.04504504504504504,0.46468429204532874,0.4449028404983847,0.9,0.034,-4.312923122679223,-3.7029287453038364,0.045069182205011736,0.342053730724528,-3.9725604771692247
0.04604604604604605,0.4604524885135724,0.4412753403782931,0.9,0.034,-4.143076977482849,-3.5484175109398564,0.04607015790500649,0.33818878273174774,-3.7661510373459635
0.04704704704704705,0.4563898436419596,0.43779890153754414,0.9,0.034,-3.9735999770027206,-3.3959745494257163,0.04707113360500123,0.33451407938274136,-3.561971266548227
0.04804804804804805,0.45249733340445786,0.434476592531595,0.9,0.034,-3.80838617208272,-3.2518770403852386,0.04807210930499598,0.3310578893679591,-3.3649411958664928
0.04904904904904905,0.4487654469010533,0.43128863719242855,0.9,0.034,-3.6531331877765467,-3.123208106341451,0.049073085004990726,0.32777763064479415,-3.1818820076920247
0.050050050050050046,0.4451837534489493,0.4282239236500305,0.9,0.034,-3.505326740035315,-3.004577388195088,0.05007406070498547,0.3246879162280587,-3.0100188967557813
0.05105105105105105,0.4417477757498315,0.42527346724609205,0.9,0.034,-3.367643020500566,-2.8935314859702714,0.05107503640498022,0.3217517191004391,-2.8501149198190205
0.05205205205205205,0.4384417253798791,0.4224310678222622,0.9,0.034,-3.242423307486945,-2.794518803167506,0.052076012104974964,0.31898212467419607,-2.701429649579012
0.05305305305305305,0.43525643779690465,0.41967883500751846,0.9,0.034,-3.127793456227664,-2.7087312343184067,0.053076987804969715,0.3163435882314913,-2.5676309009838576
0.05405405405405406,0.43217987661866253,0.41700818246827137,0.9,0.034,-3.023371909005533,-2.630304505439881,0.05407796350496446,0.31384185239731516,-2.442337984222661
0.055055055055055056,0.42920364118227894,0.41441296012175294,0.9,0.034,-2.929209695833663,-2.5600179108151053,0.0550789392049592,0.3114541462847292,-2.3293898144429193
0.056056056056056056,0.42631559294331983,0.41188302148565853,0.9,0.034,-2.8461714922644035,-2.4998653615711817,0.056079914904953954,0.3091785271971699,-2.2215411946293386
0.057057057057057055,0.42350560015672456,0.409408224663152,0.9,0.034,-2.772059085946296,-2.4485972450490294,0.0570808906049487,0.3070067287800066,-2.1260218119089984
0.058058058058058054,0.4207659251035875,0.4069809248989738,0.9,0.034,-2.7063492879956073,-2.402346572601317,0.05808186630494345,0.30492233485441045,-2.0379099606242335
0.05905905905905906,0.4180874834640406,0.40459872201530156,0.9,0.034,-2.6491088682913073,-2.362592361348703,0.05908284200493819,0.3029269320812824,-1.9552445641855343
