sto_original_raw,p_original_raw,sto_reconstructed_raw,p_reconstructed_raw
1.0,0.0373,0.0,1.0
0.9994906156366183,0.037781590795397696,0.001001001001001001,0.3874680078276507
0.9989812312732366,0.0382631815907954,0.002002002002002002,0.3765028730958114
0.9984535414127563,0.038744772386193095,0.003003003003003003,0.36780110461084464
0.9979243362170085,0.0392263631815908,0.004004004004004004,0.36054041373828877
0.9973777880817909,0.039707953976988494,0.005005005005005005,0.354291330033859
0.996828109498149,0.04018954477238619,0.006006006006006006,0.3487798501793956
0.996262142887844,0.04067113556778389,0.007007007007007007,0.3438073033436147
0.9956913287289645,0.04115272636318159,0.008008008008008008,0.3392603932730562
0.9951053740146073,0.04163431715857929,0.009009009009009009,0.33505656477575113
0.9945127495717858,0.04211590795397699,0.01001001001001001,0.33113858512417693
0.9939062289623811,0.042597498749374685,0.011011011011011011,0.32746033646698636
0.9932911094135067,0.04307908954477239,0.012012012012012012,0.3239748561463504
0.9926634386276137,0.043560680340170084,0.013013013013013013,0.320653364277786
0.9920251314451225,0.04404227113556779,0.014014014014014016,0.31747242483992955
0.9913757191438219,0.04452386193096548,0.015015015015015015,0.31441399565919825
0.9907135216867433,0.04500545272636318,0.016016016016016016,0.311463281425146
0.9900417702336168,0.04548704352176088,0.01701701701701702,0.30860136469801586
0.9893549736003001,0.04596863431715858,0.018018018018018018,0.3058163929347216
0.9886602806843922,0.04645022511255628,0.01901901901901902,0.30309839625801216
0.9879481701940971,0.04693181590795398,0.02002002002002002,0.3004390011696083
0.9872299290508254,0.047413406703351674,0.021021021021021023,0.29783131856071804
0.9864917842437219,0.04789499749874937,0.022022022022022022,0.2952660020057753
0.985749159327764,0.04837658829414707,0.02302302302302302,0.2927369243037934
0.9849828433854927,0.048858179089544776,0.024024024024024024,0.29023884507610437
0.9842141971665833,0.04933976988494247,0.025025025025025027,0.28776731119861965
0.9834196628932466,0.04982136068034017,0.026026026026026026,0.28531904885594944
0.9826249551351175,0.050302951475737864,0.02702702702702703,0.2828895561769346
0.9818021134364182,0.05078454227113557,0.02802802802802803,0.28047650100525967
0.9809792717377188,0.05126613306653326,0.029029029029029034,0.2780782836829168
0.9801294416923462,0.051747723861930967,0.03003003003003003,0.27569455954156885
0.979277570182091,0.05222931465732866,0.03103103103103103,0.2733265067546113
0.978400317042021,0.05271090545272636,0.03203203203203203,0.27097541635092803
0.9775186976683342,0.05319249624812406,0.03303303303303304,0.26864462081918156
0.9766134184114057,0.053674087043521765,0.03403403403403404,0.2663389160502434
0.9757013398646823,0.05415567783891946,0.035035035035035036,0.2640645857579557
0.9747674383509755,0.05463726863431716,0.036036036036036036,0.26183138806217937
0.9738241984718359,0.05511885942971485,0.037037037037037035,0.25964596306087645
0.9728610859134567,0.055600450225112556,0.03803803803803804,0.2575163707662558
0.9718859921743371,0.05608204102051025,0.03903903903903904,0.25545064487696933
0.9708930906333166,0.056563631815907955,0.04004004004004004,0.2534553498751424
0.9698854663991495,0.05704522261130565,0.04104104104104104,0.25153943364298825
0.9688622099581791,0.05752681340670335,0.042042042042042045,0.24970225490654016
0.9678213940048024,0.05800840420210105,0.043043043043043044,0.24794297759994552
0.9667672301428715,0.05848999499749875,0.044044044044044044,0.24626126403147255
0.9656925805097549,0.05897158579289645,0.04504504504504505,0.24465377083150766
0.9646066629004503,0.059453176588294146,0.04604604604604604,0.2431198932070906
0.9634965864852426,0.05993476738369184,0.04704704704704705,0.24165119447609437
0.9623776285665833,0.060416358179089545,0.04804804804804805,0.24024215989358372
0.9612307928075539,0.06089794897448724,0.049049049049049054,0.23888675504288706
0.9600780633106554,0.061379539769884944,0.05005005005005005,0.23758046255523146
0.9588955426368685,0.06186113056528264,0.05105105105105105,0.23631980637799108
0.9577098098294148,0.06234272136068034,0.05205205205205205,0.23509761654665443
0.9564910793069035,0.06282431215607803,0.05305305305305305,0.23390886761101057
0.9552718989617809,0.06330590295147573,0.05405405405405406,0.23274976976165043
0.9540164697758879,0.06378749374687344,0.055055055055055056,0.23161639128364378
0.952761040589995,0.06426908454227113,0.05605605605605606,0.2305058138623864
0.9514708490126064,0.06475067533766883,0.057057057057057055,0.2294138070429222
0.9501782728023012,0.06523226613306653,0.05805805805805807,0.22833747206083632
0.9488534256841421,0.06571385692846424,0.05905905905905906,0.22727391320343962
0.9475232969499751,0.06619544772386193,0.06006006006006006,0.22622087070528527
0.9461634884976489,0.06667703851925963,0.061061061061061066,0.22517673001214936
0.9447954498992496,0.06715862931465733,0.06206206206206206,0.22413928884965487
0.9434004134742371,0.06764022011005502,0.06306306306306307,0.2231069443504188
