Q_exp,V_fit,dqdv_fit,dvdq_fit,V_fit_anode,dqdv_fit_anode,dvdq_fit_anode,V_fit_cathode,dqdv_fit_cathode,dvdq_fit_cathode,dqdv_fit_si,dqdv_fit_gr,SoCs,Q_si,x_si,x_gr
4.227045075125209,,,,,,,,,,,,3.459016393442623,,,
4.217028380634391,,,,,,,,,,,,3.4508196721311477,,,
4.207011686143573,,,,,,,,,,,,3.4426229508196724,,,
4.196994991652755,,,,,,,,,,,,3.4344262295081966,,,
4.186978297161937,,,,,,,,,,,,3.4262295081967213,,,
4.176961602671119,,,,,,,,,,,,3.418032786885246,,,
4.1669449081803,,,,,,,,,,,,3.40983606557377,,,
4.156928213689483,,,,,,,,,,,,3.4016393442622954,,,
4.146911519198664,,,,,,,,,,,,3.393442622950819,,,
4.136894824707847,,,,,,,,,,,,3.3852459016393444,,,
4.126878130217028,,,,,,,,,,,,3.3770491803278686,,,
4.116861435726211,,,,,,,,,,,,3.3688524590163937,,,
4.106844741235392,,,,,,,,,,,,3.3606557377049175,,,
4.096828046744575,,,,,,,,,,,,3.352459016393443,,,
4.086811352253756,,,,,,,,,,,,3.344262295081967,,,
4.076794657762939,,,,,,,,,,,,3.336065573770492,,,
4.06677796327212,,,,,,,,,,,,3.3278688524590163,,,
4.056761268781302,,,,,,,,,,,,3.319672131147541,,,
4.046744574290484,,,,,,,,,,,,3.3114754098360653,,,
4.036727879799666,,,,,,,,,,,,3.30327868852459,,,
4.026711185308848,,,,,,,,,,,,3.2950819672131146,,,
4.01669449081803,,,,,,,,,,,,3.2868852459016393,,,
4.006677796327212,,,,,,,,,,,,3.278688524590164,,,
3.996661101836394,,,,,,,,,,,,3.2704918032786887,,,
3.986644407345576,,,,,,,,,,,,3.262295081967213,,,
3.976627712854758,,,,,,,,,,,,3.2540983606557377,,,
3.96661101836394,,,,,,,,,,,,3.2459016393442623,,,
3.956594323873122,,,,,,,,,,,,3.237704918032787,,,
3.946577629382304,,,,,,,,,,,,3.2295081967213117,,,
3.9365609348914856,,,,,,,,,,,,3.221311475409836,,,
3.9265442404006676,,,,,,,,,,,,3.2131147540983607,,,
3.9165275459098496,,,,,,,,,,,,3.2049180327868854,,,
3.9065108514190316,,,,,,,,,,,,3.1967213114754096,,,
3.8964941569282137,,,,,,,,,,,,3.1885245901639343,,,
3.8864774624373957,,,,,,,,,,,,3.180327868852459,,,
3.8764607679465777,,,,,,,,,,,,3.1721311475409837,,,
3.8664440734557597,,,,,,,,,,,,3.1639344262295084,,,
3.8564273789649417,,,,,,,,,,,,3.155737704918033,,,
3.8464106844741237,,,,,,,,,,,,3.1475409836065573,,,
