Q_exp,V_fit,dqdv_fit,dvdq_fit,V_fit_anode,dqdv_fit_anode,dvdq_fit_anode,V_fit_cathode,dqdv_fit_cathode,dvdq_fit_cathode,dqdv_fit_si,dqdv_fit_gr,SoCs,Q_si,x_si,x_gr
5.489148580968281,,,,,,,,,,,,2.2096774193548385,,,
5.479131886477463,,,,,,,,,,,,2.2056451612903225,,,
5.469115191986645,,,,,,,,,,,,2.2016129032258065,,,
5.459098497495827,,,,,,,,,,,,2.19758064516129,,,
5.449081803005009,,,,,,,,,,,,2.193548387096774,,,
5.439065108514191,,,,,,,,,,,,2.189516129032258,,,
5.429048414023372,,,,,,,,,,,,2.1854838709677415,,,
5.419031719532555,,,,,,,,,,,,2.181451612903226,,,
5.409015025041736,,,,,,,,,,,,2.1774193548387095,,,
5.398998330550919,,,,,,,,,,,,2.1733870967741935,,,
5.3889816360601,,,,,,,,,,,,2.169354838709677,,,
5.378964941569283,,,,,,,,,,,,2.1653225806451615,,,
5.368948247078464,,,,,,,,,,,,2.161290322580645,,,
5.358931552587647,,,,,,,,,,,,2.157258064516129,,,
5.348914858096828,,,,,,,,,,,,2.1532258064516125,,,
5.338898163606011,,,,,,,,,,,,2.149193548387097,,,
5.328881469115192,,,,,,,,,,,,2.1451612903225805,,,
5.318864774624374,,,,,,,,,,,,2.1411290322580645,,,
5.308848080133556,,,,,,,,,,,,2.137096774193548,,,
5.298831385642738,,,,,,,,,,,,2.133064516129032,,,
5.28881469115192,,,,,,,,,,,,2.129032258064516,,,
5.278797996661102,,,,,,,,,,,,2.125,,,
5.268781302170284,,,,,,,,,,,,2.1209677419354835,,,
5.258764607679466,,,,,,,,,,,,2.1169354838709675,,,
5.248747913188648,,,,,,,,,,,,2.1129032258064515,,,
5.23873121869783,,,,,,,,,,,,2.1088709677419355,,,
5.228714524207012,,,,,,,,,,,,2.1048387096774195,,,
5.218697829716194,,,,,,,,,,,,2.100806451612903,,,
5.208681135225376,,,,,,,,,,,,2.096774193548387,,,
5.198664440734557,,,,,,,,,,,,2.0927419354838706,,,
5.18864774624374,,,,,,,,,,,,2.088709677419355,,,
5.178631051752921,,,,,,,,,,,,2.0846774193548385,,,
5.168614357262104,,,,,,,,,,,,2.0806451612903225,,,
5.158597662771285,,,,,,,,,,,,2.076612903225806,,,
5.148580968280468,,,,,,,,,,,,2.0725806451612905,,,
5.138564273789649,,,,,,,,,,,,2.068548387096774,,,
5.128547579298832,,,,,,,,,,,,2.064516129032258,,,
5.118530884808013,,,,,,,,,,,,2.0604838709677415,,,
5.108514190317196,,,,,,,,,,,,2.056451612903226,,,
