Q_Ah,V_full_meas,V_full_recon,V_anode_meas,V_anode_recon,V_cathode_meas,V_cathode_recon,rpt
0.0,2.8557787,2.8609158790434024,0.7799601005271812,0.7915591009391384,3.6357388005271813,3.6524749799825407,2
0.002659512397880333,2.9280813118098226,2.9013830821978437,0.709494249708009,0.7516135393240863,3.637575561517832,3.65299662152193,2
0.005319024795760666,2.96640198556615,2.941850285352285,0.6722668529997698,0.711667977709034,3.63866883856592,3.653518263061319,2
0.007978537193641,2.994417,2.9823174885067263,0.6455348688307178,0.6717224160939819,3.6399518688307175,3.654039904600708,2
0.010638049591521332,3.0175844796786637,3.011273111359227,0.6234483481285346,0.6434460688814059,3.6410328278071984,3.6547191802406327,2
0.013297561989401664,3.0373897076094263,3.0294217594240807,0.6038145297426298,0.626124682024529,3.6412042373520563,3.6555464414486094,2
0.015957074387282,3.0552943,3.047570407488934,0.586369187545818,0.608803295167652,3.641663487545818,3.656373702656586,2
0.018616586785162332,3.0713658,3.0657190555537874,0.5707357241591874,0.591481908310775,3.6421015241591874,3.6572009638645624,2
0.021276099183042664,3.0861886129515743,3.0797124605432655,0.5565318645230749,0.5782088657074077,3.6427204774746493,3.657921326250673,2
0.023935611580922996,3.0997753,3.0923319528024638,0.543599334119237,0.5662743902120425,3.6433746341192372,3.6586063430145064,2
0.02659512397880333,3.1126001,3.1049514450616624,0.5315352065969849,0.5543399147166774,3.644135306596985,3.6592913597783396,2
0.029254636376683664,3.1246133,3.1175709373208607,0.5200959487977036,0.5424054392213121,3.6447092487977035,3.659976376542173,2
0.031914148774564,3.135977,3.127836746459097,0.5095902818855004,0.5327867900593103,3.6455672818855005,3.660623536518407,2
0.03457366117244433,3.1467605074794704,3.138072145635794,0.4993088622702286,0.5231980617431105,3.646069369749699,3.6612702073789043,2
0.037233173570324664,3.1570811,3.148307544812491,0.4897090342312378,0.5136093334269105,3.646790134231238,3.6619168782394014,2
0.03989268596820499,3.1668217,3.158272752748878,0.48067480000000007,0.5043024381374455,3.6474965,3.662575190886323,2
0.04255219836608533,3.1759126,3.167296392714421,0.47229251670624367,0.49597768035471484,3.6482051167062437,3.6632740730691356,2
0.045211710763965664,3.1848414,3.1763200326799637,0.46393443139492335,0.48765292257198417,3.6487758313949232,3.6639729552519475,2
0.04787122316184599,3.1934452,3.1853436726455064,0.4559528451048521,0.4793281647892536,3.6493980451048524,3.66467183743476,2
0.05053073555972633,3.2015807565629384,3.1938926522334175,0.44844854321128413,0.47149453957790444,3.6500292997742227,3.665387191811322,2
0.05319024795760666,3.2093546,3.2018815066143542,0.44111230769129106,0.46424047766309484,3.6504669076912912,3.6661219842774493,2
0.05584976035548699,3.2168221,3.209870360995291,0.43440563141256994,0.45698641574828525,3.65122773141257,3.6668567767435762,2
0.05850927275336733,3.2241275,3.2178592153762278,0.4275614685283856,0.44973235383347565,3.6516889685283855,3.667591569209703,2
0.06116878515124766,3.2311082,3.225152329724349,0.42128830000000006,0.4431782364333094,3.6523965,3.6683305661576586,2
0.063828297549128,3.2379265,3.2321393031168197,0.4151226000000001,0.4369321100535084,3.6530491,3.6690714131703284,2
0.06648780994700833,3.244185383568571,3.2391262765092903,0.4081202516359131,0.4306859836737075,3.652305635204484,3.6698122601829977,2
0.06914732234488866,3.2504265,3.246113249901761,0.40288412278902835,0.42443985729390654,3.6533106227890286,3.6705531071956674,2
0.07180683474276899,3.2564089419830973,3.252350115852138,0.39759860000000025,0.41879809482174446,3.6540075419830975,3.6711482106738824,2
0.07446634714064933,3.2622319411952208,3.258530663906724,0.3925687,0.4132017078540236,3.6548006411952207,3.671732371760748,2
0.07712585953852966,3.2679591,3.2647112119613104,0.38737639999999995,0.40760532088630275,3.6553355,3.672316532847613,2
0.07978537193640999,3.2736411,3.270743562809516,0.3830412745952715,0.40216523258220505,3.6566823745952712,3.672908795391721,2
0.08244488433429033,3.278888123612535,3.2760307821711354,0.37834963726320636,0.3975110096693726,3.6572377608757414,3.673541791840508,2
0.08510439673217066,3.2841933,3.2813180015327545,0.3740565428666923,0.3928567867565401,3.6582498428666925,3.6741747882892946,2
0.08776390913005098,3.2890635,3.2866052208943737,0.3695279,0.38820256384370766,3.6585914,3.6748077847380816,2
0.09042342152793133,3.2939762762202154,3.291669515372241,0.36533307262940307,0.38376943661081864,3.6593093488496184,3.6754389519830597,2
