,0.13,0.241111,0.352222,0.463333,0.574444,0.685556,0.796667,0.907778,1.018889,1.13
0.55,0.0,20.638153620297114,24.924557026421297,28.675168045915395,31.969600018134596,34.93604469379928,37.59283262743846,40.01838235953589,42.220993983546514,83.76997307880103
0.595711,0.0,18.84726000883268,23.07777420729861,26.650929312760308,29.406758642309526,32.41167557447795,35.09817953804313,37.08301585489523,74.90142596167935,77.45974842754147
0.641422,0.0,17.826323016232433,21.4598938997706,24.716835753477824,28.156666697222853,30.45544102036386,32.509260020876134,66.96979241232471,69.61687575765517,72.04326069346878
0.687133,0.0,16.79347483052367,20.646128877330497,23.373454360967145,26.137271367555435,28.744870793630124,30.632715375450896,63.391156552983276,65.38519671412172,67.34567615274806
0.732844,0.0,15.897935542850353,19.182872610360587,22.039753042744373,24.532666586451665,26.771054639279164,28.7800627388479,59.86268519115158,61.801784724265914,63.90030177794738
0.778556,0.0,15.110312384176483,17.89963826868094,20.85226210184684,23.43772251003386,25.28888244203434,53.88559856693256,56.16163940120099,58.43351533509323,60.31945517925056
0.824267,0.0,13.790841450028529,17.303869768372294,19.796005148262648,22.003549001978154,23.968986789060242,50.82444014379299,53.084099686220924,55.126400687835144,57.002023601319664
0.869978,0.0,13.189687235195407,16.235924499860225,18.370570511749527,20.711251017882653,22.787421491228866,48.07152287191509,50.327122906938506,52.13431599127571,54.02945851039026
0.915689,0.0,12.73697135836403,15.377351765502429,17.652409436438436,19.655191971362346,43.30438663037043,45.5724636291928,47.84833696839019,49.67953093027989,51.35340326615805
0.9614,0.0,12.329927652058423,14.588555814682216,16.998121683226135,19.102145524394544,41.70513499502187,43.986355913856244,45.778834537689406,47.654703950041394,49.12810718039965
