crate_label,case_name,n_rows,primary_mean,primary_std,rmse_v_mean,rmse_dvdq_mean,case_display
C/10,deformation_enabled,11,4.78476551375434,1.1893523990497972,0.020911068005015337,0.6549213464056716,Enable Si OCP deformation
C/10,deformation_disabled,11,5.393105634677853,0.8383773053994708,0.011860586325012372,0.5458593074150655,Disable Si OCP deformation
C/100,deformation_enabled,11,2.707565477318875,1.2617264511470851,0.011132755647784454,0.5334473699206191,Enable Si OCP deformation
C/100,deformation_disabled,11,4.811083728397719,0.8086918463638205,0.016344375826218664,0.5298982123592328,Disable Si OCP deformation
C/20,deformation_enabled,11,3.049026319709734,1.4110988069306516,0.014241937191321236,0.582239283301876,Enable Si OCP deformation
C/20,deformation_disabled,11,4.390063041708748,2.2254183684450264,0.012287651417622857,0.47307439891385544,Disable Si OCP deformation
C/3,deformation_enabled,11,7.430883212448453,2.8452234299738084,0.02576818325706701,0.9649601069047716,Enable Si OCP deformation
C/3,deformation_disabled,11,7.966258883197054,0.8313417484774053,0.024524763423409927,1.004833993643494,Disable Si OCP deformation
C/5,deformation_enabled,11,5.190907213407658,1.9719631039065522,0.022414400210535854,0.7970984131081885,Enable Si OCP deformation
C/5,deformation_disabled,11,4.18722670339464,0.7477300234141244,0.016444780222103147,0.7601550117840524,Disable Si OCP deformation
