metric,count,mean,std,min,25%,50%,75%,max
mean_absolute_error_6metrics_vs_C100_standard,110.0,4.991088572801507,2.1867597905331047,0.0606797085359681,3.642011497632067,4.483682295835616,5.675707636534561,10.844128065006744
rmse_v_global,110.0,0.017593050152609088,0.01141040605208012,0.0030527886703789,0.008769063655856325,0.01340953730950905,0.026316332787922125,0.0529882007903562
rmse_dvdq_global,110.0,0.6846487443756828,0.29857548244872184,0.0470967594015045,0.5298154880202792,0.6699471068137556,0.8641763720016369,1.6268764601893644
