sto_raw,U_raw,U_target
0.0,0.8633,0.8212330121059075
1.96773e-05,0.8623,0.8203165683577373
3.95574e-05,0.8613,0.819400124609567
5.96422e-05,0.8603,0.8184836808613967
7.99337e-05,0.8593,0.8175672371132264
0.000100434,0.8583,0.8166507933650562
0.000121145,0.8573,0.815734349616886
0.000142068,0.8563,0.8148179058687156
0.000163206,0.8553,0.8139014621205454
0.000184561,0.8543,0.8129850183723751
0.000206135,0.8533,0.8120685746242048
0.000227929,0.8523,0.8111521308760345
0.000249958,0.8513,0.8102356871278643
0.000272218,0.8503,0.809319243379694
0.000294705,0.8493,0.8084027996315238
0.000317421,0.8483,0.8074863558833536
0.00034037,0.8473,0.8065699121351833
0.000363552,0.8463,0.805653468387013
0.00038697,0.8453,0.8047370246388428
0.000410627,0.8443,0.8038205808906725
0.000434524,0.8433,0.8029041371425022
0.000458664,0.8423,0.801987693394332
0.000483048,0.8413,0.8010712496461617
0.000507687,0.8403,0.8001548058979914
0.000532588,0.8393,0.7992383621498211
0.00055774,0.8383,0.7983219184016509
0.000583147,0.8373,0.7974054746534806
0.000608811,0.8363,0.7964890309053103
0.000634735,0.8353,0.7955725871571401
0.000660919,0.8343,0.7946561434089698
0.000687368,0.8333,0.7937396996607995
0.000714083,0.8323,0.7928232559126293
0.000741066,0.8313,0.791906812164459
0.000768321,0.8303,0.7909903684162887
0.000795851,0.8293,0.7900739246681184
0.000823676,0.8283,0.7891574809199482
0.00085178,0.8273,0.788241037171778
0.000880166,0.8263,0.7873245934236076
0.000908836,0.8253,0.7864081496754374
0.000937793,0.8243,0.7854917059272671
0.000967038,0.8233,0.7845752621790968
0.000996575,0.8223,0.7836588184309266
0.001026406,0.8213,0.7827423746827563
0.001056535,0.8203,0.781825930934586
0.001086962,0.8193,0.7809094871864157
0.001117692,0.8183,0.7799930434382455
0.001148744,0.8173,0.7790765996900753
0.001180109,0.8163,0.7781601559419049
0.001211785,0.8153,0.7772437121937347
0.001243774,0.8143,0.7763272684455644
0.001276079,0.8133,0.7754108246973941
0.001308703,0.8123,0.7744943809492238
0.001341649,0.8113,0.7735779372010536
0.001374918,0.8103,0.7726614934528833
0.001408515,0.8093,0.771745049704713
0.001442441,0.8083,0.7708286059565428
0.0014767,0.8073,0.7699121622083726
0.001511305,0.8063,0.7689957184602022
0.001546264,0.8053,0.768079274712032
0.001581564,0.8043,0.7671628309638617
0.001617209,0.8033,0.7662463872156914
0.001653201,0.8023,0.7653299434675211
0.001689543,0.8013,0.7644134997193509
0.001726239,0.8003,0.7634970559711806
0.001763291,0.7993,0.7625806122230103
0.001800702,0.7983,0.7616641684748401
0.001838475,0.7973,0.7607477247266698
0.001876613,0.7963,0.7598312809784995
0.001915123,0.7953,0.7589148372303293
0.001954029,0.7943,0.757998393482159
0.001993309,0.7933,0.7570819497339887
0.002032968,0.7923,0.7561655059858184
0.002073007,0.7913,0.7552490622376482
