Q_meas,V_meas,Q_model,V_model
0.0,2.7263,0.0,2.763548621376925
0.0029428805249620987,2.8559065039526095,0.0029428805249620987,2.832710376548486
0.005885761049924197,2.899661785718911,0.005885761049924197,2.8948402289255464
0.008828641574886296,2.929971861904922,0.008828641574886296,2.91941761931877
0.011771522099848395,2.9538689936450213,0.011771522099848395,2.943995009711994
0.014714402624810493,2.974241812498363,0.014714402624810493,2.9685724001052174
0.017657283149772593,2.9922250539231112,0.017657283149772593,2.985940020818743
0.02060016367473469,3.008510822544529,0.02060016367473469,3.000979546269702
0.02354304419969679,3.0237640347585955,0.02354304419969679,3.0160190717206614
0.02648592472465889,3.037841923074224,0.02648592472465889,3.030037707431955
0.029428805249620986,3.05077716076643,0.029428805249620986,3.042194171355712
0.03237168577458308,3.0631505808035047,0.03237168577458308,3.0543506352794694
0.035314566299545186,3.074895411507293,0.035314566299545186,3.066507099203227
0.03825744682450728,3.0859,0.03825744682450728,3.077238838316432
0.04120032734946938,3.0966,0.04120032734946938,3.0878991953922337
0.04414320787443148,3.10653060866791,0.04414320787443148,3.0985595524680356
0.04708608839939358,3.1162,0.04708608839939358,3.108783658979628
0.050028968924355675,3.125312744351982,0.050028968924355675,3.1186515206625662
0.05297184944931778,3.1341,0.05297184944931778,3.128519382345504
0.055914729974279875,3.1427,0.055914729974279875,3.1383088229698735
0.05885761049924197,3.1512,0.05885761049924197,3.147649186570609
0.061800491024204075,3.1592,0.061800491024204075,3.1569895501713443
0.06474337154916616,3.1671571986508726,0.06474337154916616,3.16632991377208
0.06768625207412828,3.174956872772063,0.06768625207412828,3.1750032879611227
0.07062913259909037,3.1825,0.07062913259909037,3.183450587443266
0.07357201312405247,3.1899865302682002,0.07357201312405247,3.1918978869254095
0.07651489364901456,3.1970913832838006,0.07651489364901456,3.199887571364629
0.07945777417397666,3.2039384030535256,0.07945777417397666,3.2070086194495393
0.08240065469893876,3.2108480074547328,0.08240065469893876,3.2141296675344497
0.08534353522390087,3.2174262821525508,0.08534353522390087,3.22125071561936
