sto_raw,U_raw,U_target
0.0,0.8633,0.7215777709306412
1.96773e-05,0.8623,0.7208114421882241
3.95574e-05,0.8613,0.7200451134458069
5.96422e-05,0.8603,0.7192787847033898
7.99337e-05,0.8593,0.7185124559609726
0.000100434,0.8583,0.7177461272185555
0.000121145,0.8573,0.7169797984761384
0.000142068,0.8563,0.7162134697337211
0.000163206,0.8553,0.715447140991304
0.000184561,0.8543,0.7146808122488869
0.000206135,0.8533,0.7139144835064697
0.000227929,0.8523,0.7131481547640526
0.000249958,0.8513,0.7123818260216355
0.000272218,0.8503,0.7116154972792182
0.000294705,0.8493,0.7108491685368012
0.000317421,0.8483,0.710082839794384
0.00034037,0.8473,0.7093165110519669
0.000363552,0.8463,0.7085501823095498
0.00038697,0.8453,0.7077838535671326
0.000410627,0.8443,0.7070175248247155
0.000434524,0.8433,0.7062511960822984
0.000458664,0.8423,0.7054848673398811
0.000483048,0.8413,0.704718538597464
0.000507687,0.8403,0.7039522098550469
0.000532588,0.8393,0.7031858811126297
0.00055774,0.8383,0.7024195523702126
0.000583147,0.8373,0.7016532236277955
0.000608811,0.8363,0.7008868948853783
0.000634735,0.8353,0.7001205661429611
0.000660919,0.8343,0.699354237400544
0.000687368,0.8333,0.6985879086581268
0.000714083,0.8323,0.6978215799157097
0.000741066,0.8313,0.6970552511732926
0.000768321,0.8303,0.6962889224308754
0.000795851,0.8293,0.6955225936884583
0.000823676,0.8283,0.6947562649460411
0.00085178,0.8273,0.6939899362036239
0.000880166,0.8263,0.6932236074612068
0.000908836,0.8253,0.6924572787187896
0.000937793,0.8243,0.6916909499763725
0.000967038,0.8233,0.6909246212339554
0.000996575,0.8223,0.6901582924915382
0.001026406,0.8213,0.689391963749121
0.001056535,0.8203,0.6886256350067039
0.001086962,0.8193,0.6878593062642867
0.001117692,0.8183,0.6870929775218696
0.001148744,0.8173,0.6863266487794525
0.001180109,0.8163,0.6855603200370353
0.001211785,0.8153,0.6847939912946182
0.001243774,0.8143,0.684027662552201
0.001276079,0.8133,0.6832613338097838
0.001308703,0.8123,0.6824950050673667
0.001341649,0.8113,0.6817286763249496
0.001374918,0.8103,0.6809623475825324
0.001408515,0.8093,0.6801960188401153
0.001442441,0.8083,0.6794296900976982
0.0014767,0.8073,0.6786633613552809
0.001511305,0.8063,0.6778970326128638
0.001546264,0.8053,0.6771307038704467
0.001581564,0.8043,0.6763643751280295
0.001617209,0.8033,0.6755980463856124
0.001653201,0.8023,0.6748317176431952
0.001689543,0.8013,0.674065388900778
0.001726239,0.8003,0.6732990601583609
0.001763291,0.7993,0.6725327314159437
0.001800702,0.7983,0.6717664026735266
0.001838475,0.7973,0.6710000739311095
0.001876613,0.7963,0.6702337451886923
0.001915123,0.7953,0.6694674164462752
0.001954029,0.7943,0.668701087703858
0.001993309,0.7933,0.6679347589614408
0.002032968,0.7923,0.6671684302190237
0.002073007,0.7913,0.6664021014766066
0.00211343,0.7903,0.6656357727341894
0.002154239,0.7893,0.6648694439917723
0.002195439,0.7883,0.6641031152493552
0.002237032,0.7873,0.663336786506938
0.002279022,0.7863,0.6625704577645208
0.002321411,0.7853,0.6618041290221037
0.002364202,0.7843,0.6610378002796865
0.002407424,0.7833,0.6602714715372694
0.002451061,0.7823,0.6595051427948523
0.002495111,0.7813,0.6587388140524351
0.002539577,0.7803,0.657972485310018
0.002584462,0.7793,0.6572061565676007
0.00262977,0.7783,0.6564398278251836
0.002675502,0.7773,0.6556734990827665
