sto_norm,U_norm
0.0,1.0
0.001001001001001001,0.6082844341554051
0.002002002002002002,0.5900987952195236
0.003003003003003003,0.5756155691672328
0.004004004004004004,0.5635070610905231
0.005005005005005005,0.553075898333566
0.006006006006006006,0.543868666907485
0.007007007007007005,0.53555596721761
0.008008008008008008,0.5279512171265515
0.009009009009009009,0.5209179980940526
0.01001001001001001,0.5143699317626511
0.011011011011011011,0.5082136804496771
0.012012012012012012,0.5023795290921182
0.013013013013013013,0.49681963058740913
0.014014014014014012,0.4914950360131295
0.015015015015015017,0.486382782984107
0.016016016016016016,0.4814437144280531
0.017017017017017015,0.4766536722516501
0.018018018018018018,0.47199302528872367
0.019019019019019017,0.4674460872857562
0.02002002002002002,0.4630010006056763
0.02102102102102102,0.4586387295469326
0.022022022022022022,0.45434807332751204
0.023023023023023025,0.4501188702379593
0.024024024024024024,0.4459434843120063
0.025025025025025023,0.44181386745020945
0.026026026026026026,0.4377217074709685
0.027027027027027025,0.43366148978907726
0.028028028028028024,0.42962917008659224
0.029029029029029027,0.4256227270057023
0.030030030030030033,0.4216406635462665
0.031031031031031032,0.4176829090084029
0.03203203203203203,0.4137523820354828
0.03303303303303303,0.4098536968803949
0.03403403403403403,0.4059973099061248
0.035035035035035036,0.4021913003834551
0.036036036036036036,0.39844723166026697
0.037037037037037035,0.3947784010066319
0.038038038038038034,0.3911990303598435
0.039039039039039033,0.3877284422309421
0.04004004004004004,0.3843726930323147
0.04104104104104104,0.38113913624104717
0.04204204204204204,0.37803490793267513
0.043043043043043044,0.37506332882534493
0.044044044044044044,0.37222555541891494
0.04504504504504504,0.3695123837584861
0.04604604604604605,0.3669160055541288
0.04704704704704705,0.3644297806936876
0.04804804804804805,0.3620502150345222
0.04904904904904905,0.3597638990623061
0.050050050050050046,0.35756063220143486
0.05105105105105105,0.3554318526913992
0.05205205205205205,0.3533697345124827
0.05305305305305305,0.35136861367999445
0.05405405405405405,0.34941911674617465
0.05505505505505505,0.3475140005589033
0.05605605605605605,0.34564661170860933
0.057057057057057055,0.3438125486638577
0.058058058058058054,0.342007631923308
0.05905905905905906,0.34022534044457414
0.060060060060060066,0.3384617199105124
0.061061061061061066,0.3367132865982231
0.062062062062062065,0.33497731893870925
0.06306306306306306,0.3332511937721181
0.06406406406406406,0.3315323427784033
0.06506506506506506,0.32981935374111304
0.06606606606606606,0.3281113645157449
0.06706706706706707,0.32640838021171503
0.06806806806806806,0.3247106754312251
0.06906906906906907,0.32301920002656714
0.07007007007007007,0.3213355842339157
0.07107107107107108,0.3196622252129369
0.07207207207207207,0.31800294706383425
0.07307307307307308,0.31636033032427613
0.07407407407407407,0.3147374141388003
0.07507507507507508,0.3131379201480189
0.07607607607607607,0.31156605497798195
0.07707707707707707,0.3100263641510904
0.07807807807807807,0.30852005949901246
0.07907907907907907,0.3070493705373084
0.08008008008008008,0.3056159403980014
0.08108108108108109,0.30422368746553413
0.08208208208208208,0.30287359561733257
0.08308308308308308,0.3015633516408514
0.08408408408408408,0.30029314518251965
0.08508508508508508,0.2990630684841521
0.08608608608608609,0.29787409985307506
0.08708708708708708,0.2967251106475676
0.08808808808808809,0.29561324571144243
0.08908908908908908,0.2945370309520817
0.09009009009009009,0.2934950125277261
0.09109109109109109,0.29248750604188856
0.0920920920920921,0.29151303557335084
0.09309309309309309,0.29056791313094166
0.0940940940940941,0.28965281801178366
0.09509509509509509,0.2887654550868131
0.0960960960960961,0.28790593410440996
0.09709709709709709,0.2870706322795982
0.0980980980980981,0.28625956920550305
0.09909909909909909,0.2854703945069466
0.10010010010010009,0.28470426000411797
0.1011011011011011,0.2839583632329389
0.1021021021021021,0.28323193956332643
0.10310310310310311,0.28252506889015866
0.1041041041041041,0.28183594101941106
0.10510510510510511,0.2811641436875064
0.1061061061061061,0.2805091056829263
0.10710710710710711,0.27986913799727003
0.1081081081081081,0.27924372790521607
0.1091091091091091,0.27863236607359043
0.1101101101101101,0.2780348381355603
0.1111111111111111,0.27744991512639267
0.1121121121121121,0.27687731867044796
0.11311311311311312,0.27631665338106337
0.11411411411411411,0.27576748939391554
0.11511511511511512,0.27523010848970125
0.11611611611611611,0.2747031100543557
0.1171171171171171,0.274185959924043
0.11811811811811812,0.2736782076661088
0.11911911911911913,0.273180632247461
0.12012012012012013,0.2726917877372935
0.12112112112112113,0.272211007981037
0.12212212212212213,0.271738756874848
0.12312312312312312,0.27127439262555747
0.12412412412412413,0.2708170848564212
0.12512512512512514,0.2703682933894874
0.12612612612612611,0.26992629786351846
0.12712712712712712,0.2694900372142016
0.12812812812812813,0.2690619949422867
0.12912912912912913,0.26864009058423033
0.1301301301301301,0.2682237530949082
0.13113113113113112,0.2678143789282602
0.13213213213213212,0.2674105976646327
0.13313313313313313,0.2670121927670985
0.13413413413413414,0.26662076978809585
0.13513513513513511,0.26623342635315184
0.13613613613613612,0.265851679575849
0.13713713713713713,0.2654747310469504
0.13813813813813813,0.265102360020162
0.13913913913913914,0.26473506639658606
0.14014014014014015,0.26437226229101585
0.14114114114114115,0.26401349686681796
0.14214214214214216,0.26365931670485926
0.14314314314314314,0.26330932161248793
0.14414414414414414,0.26296325595031156
0.14514514514514515,0.2626211413739506
0.14614614614614616,0.26228278748180994
0.14714714714714713,0.2619483473006424
0.14814814814814814,0.2616171697533205
0.14914914914914915,0.2612900210087388
0.15015015015015015,0.2609656923762686
0.15115115115115113,0.2606454174827185
0.15215215215215214,0.2603276856563692
0.15315315315315314,0.26001408951626337
0.15415415415415415,0.25970336351432083
0.15515515515515516,0.2593958366132902
0.15615615615615613,0.25909147723753334
0.15715715715715714,0.2587895069361474
0.15815815815815815,0.2584910254795271
0.15915915915915915,0.25819432164753836
0.16016016016016016,0.25790134814284205
0.16116116116116116,0.2576096171369903
0.16216216216216217,0.2573219886106522
0.16316316316316318,0.2570358162083341
0.16416416416416416,0.25675272674741395
0.16516516516516516,0.2564716721377957
0.16616616616616617,0.2561928964388066
0.16716716716716717,0.25591653265290965
0.16816816816816815,0.2556422108506386
0.16916916916916916,0.2553701390684512
0.17017017017017017,0.2551002526524254
0.17117117117117117,0.25483227317830986
0.17217217217217218,0.25456656798083344
0.17317317317317316,0.25430270434599145
0.17417417417417416,0.2540404943773442
0.17517517517517517,0.25378089066999926
0.17617617617617617,0.2535224315257489
0.17717717717717715,0.2532664457156449
0.17817817817817816,0.25301200299257903
0.17917917917917917,0.2527587231991767
0.18018018018018017,0.252508633036134
0.18118118118118115,0.25225905963464323
0.18218218218218218,0.2520118013711358
0.1831831831831832,0.25176637224995885
0.1841841841841842,0.25152142643666986
0.18518518518518517,0.25127958017071583
0.18618618618618618,0.2510383641712416
0.1871871871871872,0.25079830530847014
0.1881881881881882,0.2505609475767959
0.1891891891891892,0.25032381004472076
0.19019019019019018,0.250088622040557
0.19119119119119118,0.24985513108793306
0.1921921921921922,0.24962200840854726
0.1931931931931932,0.24939123018136602
0.19419419419419418,0.2491614464476292
0.19519519519519518,0.24893216174437463
0.1961961961961962,0.2487054045736515
0.1971971971971972,0.2484792960817065
0.19819819819819817,0.24825396599340815
0.19919919919919918,0.24803058890366303
0.20020020020020018,0.2478080369996561
0.2012012012012012,0.24758643871180058
0.2022022022022022,0.24736623102837133
0.2032032032032032,0.24714708416144118
0.2042042042042042,0.24692881757678264
0.20520520520520522,0.24671168906718868
0.20620620620620622,0.24649588273029666
0.2072072072072072,0.24628080201091085
0.2082082082082082,0.24606671300538796
0.2092092092092092,0.24585390718578634
0.21021021021021022,0.24564186444849948
0.2112112112112112,0.24543056002752192
0.2122122122122122,0.24522074811626504
0.2132132132132132,0.24501160384389817
0.21421421421421422,0.24480308553522973
0.2152152152152152,0.24459611567109266
0.2162162162162162,0.2443898820314218
0.2172172172172172,0.24418404917334618
0.2182182182182182,0.24397953796661892
0.21921921921921922,0.243775939094362
0.2202202202202202,0.24357262683085937
0.2212212212212212,0.24337030982705418
0.2222222222222222,0.2431693074394596
0.22322322322322322,0.242968391883719
