crate_c,crate_label,reference_crate_c,reference_crate_label,mean_absolute_error_percentage_5params_vs_C100
0.3333333333333333,C/3,0.01,C/100,3.96227451543258
0.2,C/5,0.01,C/100,4.804192775583212
0.1,C/10,0.01,C/100,4.870045926797677
0.05,C/20,0.01,C/100,0.695575441450771
0.01,C/100,0.01,C/100,0.0
