sto_full,U_full
-0.08,8942.736227562289
-0.07939969984992497,8875.640280224523
-0.07879939969984992,8808.54432712099
-0.07819909954977489,8741.448368251695
-0.07759879939969985,8674.352403616635
-0.07699849924962482,8607.256433215809
-0.07639819909954977,8540.160457049218
-0.07579789894947474,8473.064475116866
-0.0751975987993997,8405.96848741875
-0.07459729864932467,8338.872493954868
-0.07399699849924962,8271.77649472522
-0.07339669834917459,8204.680489729808
-0.07279639819909955,8137.584478968635
-0.0721960980490245,8070.4884624416945
-0.07159579789894947,8003.392440148991
-0.07099549774887444,7936.2964120905235
-0.0703951975987994,7869.200378266292
-0.06979489744872436,7802.104338676294
-0.06919459729864932,7735.008293320533
-0.06859429714857429,7667.912242199009
-0.06799399699849926,7600.816185311719
-0.06739369684842421,7533.720122658664
-0.06679339669834918,7466.624054239846
-0.06619309654827414,7399.5279800552635
-0.0655927963981991,7332.431900104915
-0.06499249624812406,7265.335814388805
-0.06439219609804903,7198.239722906929
-0.06379189594797399,7131.143625659291
-0.06319159579789894,7064.047522645885
-0.06259129564782391,6996.951413866716
-0.06199099549774888,6929.8552993217845
-0.061390695347673836,6862.759179011087
-0.060790395197598796,6795.663052934625
-0.06019009504752376,6728.5669210924
-0.05958979489744873,6661.470783484409
-0.05898949474737369,6594.374640110655
-0.058389194597298646,6527.278490971135
-0.05778889444722361,6460.182336065853
-0.05718859429714857,6393.086175394805
-0.05658829414707353,6325.990008957993
-0.0559879939969985,6258.8938367554165
-0.055387693846923464,6191.797658787077
-0.05478739369684842,6124.7014750529725
-0.05418709354677338,6057.6052855531025
-0.05358679339669835,5990.50909028747
-0.052986493246623315,5923.412889256072
-0.052386193096548274,5856.31668245891
-0.05178589294647323,5789.220469895983
-0.0511855927963982,5722.124251567292
-0.05058529264632316,5655.0280274728375
-0.04998499249624812,5587.931797612618
-0.049384692346173084,5520.835561986634
-0.04878439219609805,5453.7393205948865
-0.04818409204602301,5386.643073437374
-0.04758379189594797,5319.546820514097
-0.046983491745872935,5252.450561825057
-0.046383191595797894,5185.3542973702515
-0.04578289144572286,5118.258027149682
-0.04518259129564782,5051.161751163348
-0.044582291145572786,4984.065469411249
-0.043981990995497745,4916.969181893387
-0.04338169084542271,4849.872888609761
-0.04278139069534767,4782.776589560368
-0.04218109054527264,4715.680284745214
-0.041580790395197596,4648.583974164294
-0.040980490245122556,4581.487657817608
-0.04038019009504752,4514.391335705161
-0.03977988994497248,4447.295007826948
-0.03917958979489745,4380.1986741829705
-0.038579289644822407,4313.102334773229
-0.03797898949474737,4246.005989597723
-0.03737868934467233,4178.909638656452
-0.0367783891945973,4111.813281949419
-0.03617808904452226,4044.7169194766198
-0.035577788894447224,3977.620551238057
-0.03497748874437218,3910.524177233729
-0.03437718859429714,3843.4277974636375
-0.03377688844422211,3776.3314119277816
-0.03317658829414707,3709.235020626161
-0.032576288144072034,3642.1386235587765
-0.03197598799399699,3575.0422207256274
-0.03137568784392196,3507.9458121267144
-0.03077538769384692,3440.849397762036
-0.030175087543771885,3373.7529776315946
-0.029574787393696844,3306.656551735388
-0.02897448724362181,3239.5601200734177
-0.02837418709354677,3172.463682645682
-0.02777388694347173,3105.3672394521827
-0.027173586793396695,3038.2707904929193
-0.026573286643321654,2971.174335767891
-0.02597298649324662,2904.0778752770993
-0.02537268634317158,2836.9814090205423
-0.024772386193096546,2769.8849369982217
-0.024172086043021505,2702.788459210136
-0.02357178589294647,2635.691975656287
-0.02297148574287143,2568.595486336673
-0.022371185592796397,2501.498991251295
-0.021770885442721356,2434.402490400152
-0.021170585292646316,2367.305983783245
-0.020570285142571282,2300.2094714005743
-0.01996998499249624,2233.112953252138
-0.019369684842421207,2166.016429337939
-0.018769384692346167,2098.9198996579744
-0.018169084542271133,2031.8233642122464
-0.017568784392196092,1964.7268230007533
-0.01696848424212105,1897.6302760234958
-0.016368184092046018,1830.5337232804748
-0.015767883941970984,1763.4371647716894
-0.015167583791895936,1696.340600497138
-0.014567283641820902,1629.2440304568242
-0.013966983491745869,1562.1474546507459
-0.013366683341670835,1495.0508730789031
-0.012766383191595787,1427.9542857412946
-0.012166083041520753,1360.8576926379235
-0.01156578289144572,1293.7610937687878
-0.010965482741370686,1226.6644891338879
-0.010365182591295638,1159.5678787332222
-0.009764882441220604,1092.4712625667935
-0.00916458229114557,1025.3746406346006
-0.008564282141070523,958.2780129366419
-0.007963981990995489,891.1813794729202
-0.007363681840920455,824.0847402434345
-0.006763381690845421,756.9880952481842
-0.006163081540770374,689.8914444871682
-0.00556278139069534,622.7947879603893
-0.004962481240620306,555.6981256678462
-0.004362181090545272,488.6014576095388
-0.0037618809404702247,421.5047837854654
-0.003161580790395191,354.4081041956293
-0.002561280640320157,287.31141884002886
-0.0019609804902451095,220.21472771866257
-0.0013606803401700757,153.11803083153347
-0.0007603801900950419,86.02132817864005
-0.00016008004002000809,18.924619759982317
0.0004402201100550396,0.8717955618816996
0.0010405202601300734,0.8490766285918289
0.0016408204102051072,0.8304913394168991
0.002241120560280141,0.8147127337673583
0.0028414207103551886,0.8009649157924128
0.0034417208604302224,0.7887534955794694
0.004042021010505256,0.7777445235857761
0.004642321160580304,0.7677020153795056
0.005242621310655338,0.7584517869846833
0.0058429214607303714,0.7498635106786206
0.006443221610805405,0.7418342020487968
0.007043521760880453,0.734285965298099
0.007643821910955487,0.7271521385067239
0.00824412206103052,0.7203812215383326
0.008844422211105554,0.7139297616177048
0.009444722361180602,0.7077601120541374
0.010045022511255636,0.7018434850454093
0.01064532266133067,0.6961509360888696
0.011245622811405717,0.6906626159202216
0.011845922961480751,0.6853562113078834
0.012446223111555785,0.680216882562573
0.013046523261630819,0.6752278348015408
0.013646823411705866,0.6703765100479238
0.0142471235617809,0.6656509591985231
0.014847423711855934,0.6610403669555769
0.015447723861930968,0.6565359904183813
0.016048024012006015,0.652127946766973
0.01664832416208105,0.6478096440127367
0.017248624312156083,0.6435736388027868
0.01784892446223113,0.639412894870769
0.018449224612306164,0.6353224084868775
0.019049524762381198,0.6312963746792976
0.019649824912456232,0.6273293822707736
0.02025012506253128,0.6234176197477677
0.020850425212606313,0.6195563515056928
0.021450725362681347,0.6157413745639301
0.02205102551275638,0.6119697086820033
0.02265132566283143,0.6082372802549664
0.023251625812906462,0.6045409521262317
0.023851925962981496,0.6008782439814421
0.024452226113056544,0.5972458341818027
0.025052526263131578,0.5936414003609269
0.02565282641320661,0.5900624261488584
0.026253126563281645,0.58650683260773
0.026853426713356693,0.5829721983237866
0.027453726863431727,0.5794570998235253
0.02805402701350676,0.5759596734584393
0.028654327163581794,0.5724782309187895
0.029254627313656842,0.5690116157388508
