crate_c,crate_label,n_segments,Cn_Si,Cn_Gr,Cn,Cp,LLI,rmse_v_global,rmse_dvdq_global,si_scale_a,si_shift_b
0.3333333333333333,C/3,1,1.3338437846613078,1.4928730886592916,2.826716873320599,2.789190608987871,2.504448794153648,0.031057630278875634,1.089427539586319,1.0,0.0
0.2,C/5,1,1.3626408018806697,1.1957454731509636,2.5583862750316335,2.72132997423722,2.4753615298556113,0.02037963280312312,0.8079494512945701,1.0,0.0
0.1,C/10,1,1.3541880749752324,1.1843033814796937,2.538491456454926,2.686940232379586,2.4670930739010988,0.008475047497110767,0.5403713951585081,1.0,0.0
0.05,C/20,1,1.3033501047260525,1.2069482325614593,2.510298337287512,2.6740191736002714,2.3852358757503906,0.026159246410414266,0.45128599643980916,1.0,0.0
0.01,C/100,1,1.3068125946219118,1.1701507365584023,2.476963331180314,2.6520155355316812,2.362745170591758,0.03995595357037531,1.0017923168741945,1.0,0.0
