segment_global_id,file,segment_id,crate_label,I_mean_A,R_used_ohm,Ah_throughput,Cn_Si,Cn_Gr,x100,Cp,y100,Cn,LLI,x0,y0,alpha,R,Un0,Un100,x0_si,x0_gr,x100_si,x100_gr,lli_theta,si_scale_a,si_shift_b,success,cost,nfev,message,Qcc_max_meas,rmse_v_global,rmse_v_weighted,rmse_dvdq_global,rmse_dvdq_weighted,flag_bad_qmax,flag_peak_missing,flag_fit_suspect,feature_definition,dvdq_sg_window_used,dvdq_sg_poly_used,crate_c,transition_soc,transition_reason,transition_n_candidates,transition_n_valid,case_name,q_fit_min,dataset,kinetic_compensation,mean_absolute_error_6metrics_vs_C100_standard
0,GMFEB23S_CELL076_C10C5C3Expansion_1_P25C_15P0PSI_20260206_R0_36_1_2_2818579691.xlsx,0,C/10,0.2499477913054036,0.02,2.3852601047223616,1.3235892813259678,1.2109296976714576,0.9441197790640268,2.6897535837437303,0.0224730206925333,2.5345189789974256,2.4533363864299207,0.0030101939758557,0.9092680487346338,0.522225042421871,,0.7824010196553314,0.063931097620257,0.0024466528053003,0.0036261645432367,0.9536421177418044,0.933711523794296,2.4533363864299207,1.0,0.0,True,0.0436785735229892,8,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.3852601047223616,0.0118568560882618,0.0027216220421353,0.3929459812445822,0.035913557889839,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.1,0.5093071229732411,success,3,2,deformation_disabled,0.1,BOL,True,3.673703272343863
1,GMFEB23S_CELL076_C10C5C3Expansion_1_P25C_15P0PSI_20260206_R0_36_1_2_2818579691.xlsx,1,C/5,0.4999265060575556,0.02,2.337221397222276,1.3196470423520816,1.2664713182431837,0.9232027073311148,2.7219717115420403,0.0263324175571406,2.5861183605952656,2.459187567667303,0.0194461612910871,0.8849825597726902,0.5102809919528698,,0.5653926844045999,0.0676242968147808,0.0259918381853282,0.0126256490305646,0.9434465388925924,0.9021088917340624,2.459187567667303,1.0,0.0,True,0.0477743688548708,8,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.337221397222276,0.0152534127779975,0.0028473567951898,0.7541190631987523,0.0327359919026667,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.2,0.5098220376302713,success,3,2,deformation_disabled,0.1,BOL,True,3.0747525903490693
2,GMFEB23S_CELL076_C10C5C3Expansion_1_P25C_15P0PSI_20260206_R0_36_1_2_2818579691.xlsx,2,C/3,0.8328128435291489,0.02,2.2903260186111103,1.297235229448028,1.5360075076433202,0.8487971337045418,2.789550607424192,0.0305926387260689,2.833242737091348,2.4901880282733617,0.0404209262489125,0.851630268412933,0.4578623682557429,,0.4176729349379603,0.0721394772529466,0.0592159827026893,0.0245475602334611,0.9295022568040348,0.7806376173215573,2.4901880282733617,1.0,0.0,True,0.0521294128691915,15,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.2903260186111103,0.0285593302554752,0.0028654870500708,1.078055179493815,0.0349096860685129,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.3333333333333333,0.5133040196855878,success,3,2,deformation_disabled,0.1,BOL,True,8.051945676954222
3,GMFEB23S_CELL076_C20Expansion_1_P25C_15P0PSI_20260124_R0_36_1_2_2818579686.xlsx,0,C/20,0.1249443744045486,0.0,2.3513615394447167,1.2754790503204845,1.2415439348852333,0.924320929097325,2.6790722889883205,0.0174631376244605,2.5170229852057178,2.3733220323331534,-0.0098626493861819,0.8951406639493082,0.5067411214825434,,1.0,0.0674372295472924,0.0,3.2655830539958612e-06,0.943988421450498,0.9041158652538702,2.3733220323331534,1.0,0.0,True,0.0460759771603884,8,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.3513615394447167,0.0401162377755847,0.0029357623054221,0.9329049263111586,0.0373557839268841,False,False,True,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.05,0.5137892317179061,success,3,2,deformation_disabled,0.1,BOL,True,2.286893079040654
4,GMFEB23S_CELL076_C100Expansion_1_P25C_15P0PSI_20260124_R0_36_1_2_2818579684.xlsx,0,C/100,0.0249907556966445,0.0,2.34403792206734,1.2799970749906069,1.2009053642821534,0.9289555125922676,2.659474205897073,0.0172488675995017,2.48090243927276,2.350520915627842,-0.0158772567102046,0.8986403535066446,0.5159401090217071,,1.0,0.0667975243248215,0.0,3.2655830539958612e-06,0.9458212285663066,0.9109790193926582,2.350520915627842,1.0,0.0,True,0.0562032419811124,9,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.34403792206734,0.0529882007903562,0.0032581889181446,1.6268764601893644,0.042776394835309,False,False,True,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.01,0.5176942012760792,success,3,2,deformation_disabled,0.1,BOL,True,3.2942886493151975
