cell,rpt_seq,rpt_key,Ah_throughput,Cn_Si,Cn_Gr,x100,Cp,y100,Cn,LLI,x0,y0,alpha,R,Un0,Un100,x0_si,x0_gr,x100_si,x100_gr,lli_theta,si_scale_a,si_shift_b,success,cost,nfev,message,Qcc_max_meas,rmse_v_global,rmse_v_weighted,rmse_dvdq_global,rmse_dvdq_weighted,flag_bad_qmax,flag_peak_missing,flag_fit_suspect,feature_definition,dvdq_sg_window_used,dvdq_sg_poly_used,transition_soc,transition_reason,transition_n_candidates,transition_n_valid,is_calendar,day,source_file,q_at_vmax,q_at_vmin,C_est,model_v_min,model_v_max,v_window_inside_model,Vmax_meas,Vmin_meas
11,0,0,33.018858260236776,1.0674644325767502,1.5356743003046425,0.9783077189095578,2.6826830995053133,0.0250878022472424,2.6031387328813924,2.6139733388627207,0.001225846746215,0.973198172455964,0.4100682069277125,,0.8900346252824433,0.0537329755475528,0.0004645342127948,0.0017550436282229,0.9823846289314676,0.9754738291929836,2.6139733388627207,0.9026942196292704,0.0337515115107308,True,0.0685216515442939,21,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.543479666624662,0.0031483118657636,0.0031483118657636,0.0583785109968721,0.0583785109968721,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.4663862605020097,success,2,1,False,,,-0.0010579743665346,2.5439771584661597,2.5450351328326946,2.620897776153768,4.24882258612774,True,4.2004385,2.7372708
11,1,1,43.40722689249433,1.1115943013223104,1.4751491289505387,0.962573225542088,2.697453345811941,0.0194132386973726,2.586743430272849,2.5422962730048155,0.0010660935058753,0.9414578259806852,0.4297273120763506,,0.9028661305601297,0.0602562954090366,0.0004202492541801,0.0015527675482733,0.9749149852244108,0.953273178486295,2.5422962730048155,0.9152132233410516,0.0291045653804188,True,0.0465674746311146,22,DE -> LSQ polish | `xtol` termination condition is satisfied.,2.487172256955162,0.0025823352332043,0.0025823352332043,0.0520228031920833,0.0520228031920833,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.4800027029964727,success,2,1,False,,,0.0024694577163706,2.4876537835052592,2.4851843257888886,2.6331383461908247,4.24280281813703,True,4.2001238,2.7360389
11,2,2,304.4687654436502,1.2018353707729543,1.3528501017759476,0.9580461123789102,2.690428521650064,0.01885492523778,2.554685472548902,2.498234313959658,0.0003926453851545,0.9281908842412828,0.470443576591775,,0.9636886448098606,0.0621240321140059,0.0001745867592951,0.0005863627593973,0.9723415955734868,0.9453463924890432,2.498234313959658,0.9550927364956944,0.0198148871772914,True,0.0350421972069607,22,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.446503399865037,0.002234711491448,0.002234711491448,0.0536259616344986,0.0536259616344986,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.499273649207389,success,3,2,False,,,0.0027517382526575,2.4469034380862755,2.444151699833618,2.6379073470418937,4.240303617865681,True,4.2001238,2.6652143
11,3,3,544.5460331744067,1.2124762975531844,1.3086047456615273,0.9542648686079712,2.6974250128474844,0.0190112587837823,2.5210810432147115,2.457060515422425,0.0003553805432193,0.9105589814632084,0.4809350737916449,,0.9667312175343482,0.0632522924836084,0.0001588174763229,0.0005375043360425,0.971732755909294,0.9380811087159978,2.457060515422425,0.9488521060193184,0.0234705183599067,True,0.037951443325678,24,DE -> LSQ polish | Both `ftol` and `xtol` termination conditions are satisfied.,2.4048831273026963,0.0023451756061074,0.0023451756061074,0.0554512861553853,0.0554512861553853,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.51446020730882,success,3,2,False,,,-0.000140352644621,2.405274467636805,2.4054148202814263,2.64395958882272,4.2381913270437925,True,4.2001238,2.6676509
11,4,4,804.4642173127119,1.2275652056167798,1.2765251937104545,0.9510897778525688,2.7023844314621006,0.019056915966623,2.504090399327234,2.433113894638773,0.0003269104746386,0.9000552448941618,0.4902239974829127,,0.9691922133302228,0.0641936114321933,0.000149012816766,0.0004979850261171,0.9709206990323366,0.932021677427234,2.433113894638773,0.950846675786266,0.0246332599676558,True,0.0433351554916889,21,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.3807961682379073,0.002530210687228,0.002530210687228,0.0578397662316738,0.0578397662316738,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.5247712299342906,success,3,2,False,,,-0.0017002251407622,2.381176328854991,2.3828765539957533,2.647776741512376,4.236666739258419,True,4.2001238,2.6689506
11,5,5,1063.4532941874884,1.2344940661687165,1.2451211271151996,0.9493005985647924,2.710230189471208,0.0193028723079484,2.479615193283916,2.406215414467284,0.0002765994964123,0.8875738907708306,0.4978571148912002,,0.9737777119559372,0.0647924779101752,0.0001275771954705,0.0004243498977453,0.970619472572038,0.928163680327513,2.406215414467284,0.9497743588154146,0.0267719138494684,True,0.0524919045718068,39,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.353214326881016,0.0028195029795374,0.0028195029795374,0.0615658360751699,0.0615658360751699,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.5355391811659108,success,3,2,False,,,-0.0033750881540481,2.35353195072353,2.356907038877578,2.652387846813745,4.23594489309755,True,4.2001238,2.6707375
11,6,6,1323.1795963592742,1.2478499275578034,1.2210241405025395,0.9492701466057208,2.712437081220558,0.0193398525655088,2.4688740680603427,2.3960865817827286,0.0002719812074029,0.8831228237577661,0.5054327977684864,,0.974052538714046,0.0649071883932632,0.0001272064446522,0.000419936658256,0.9706573838500128,0.9274130337439168,2.3960865817827286,0.950781990511508,0.0275462282383386,True,0.0589707862989485,57,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.3429569611887473,0.0030126173497309,0.0030126173497309,0.0635712091571597,0.0635712091571597,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.5430936134276725,success,4,3,False,,,-0.0038074067531415,2.343272322233027,2.3470797289861687,2.6539649101902705,4.2357664335266545,True,4.2001238,2.6720369
11,7,7,1583.6723792401467,1.2554174568663363,1.2039215509607648,0.94750528459495,2.7177859442538557,0.019557194166088,2.4593390078271016,2.3833889739403173,0.0002465569721449,0.8767366730256755,0.510469460644035,,0.9763957260764444,0.0654162611300237,0.000116373209189,0.0003823091467653,0.9702561129890116,0.9237819439477364,2.3833889739403173,0.9507782582053254,0.0287338680798998,True,0.0650672492052228,24,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.329630339347432,0.0031886721027176,0.0031886721027176,0.064890524743715,0.064890524743715,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.5513863001466298,success,4,3,False,,,-0.0054319161164417,2.329928394572415,2.3353603106888565,2.656551580810846,4.234813137141339,True,4.2001238,2.6725242
11,8,8,1843.3072145685476,1.260840612021192,1.1946408369139483,0.9442130967907982,2.722720821726356,0.019457574894925,2.4554814489351404,2.3714752873181175,0.0002324827331986,0.8707849924827274,0.5134799990315448,,0.9776859780893488,0.066165870931655,0.0001101542281301,0.0003615899446988,0.9695608493444332,0.9174607785443224,2.3714752873181175,0.949425726156787,0.0301300863629437,True,0.0717852623517103,48,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.317926885972838,0.0033705910539909,0.0033705910539909,0.0662904397048186,0.0662904397048186,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.564355137832596,success,3,2,False,,,-0.0061910594285545,2.3182120425067185,2.324403101935273,2.6587188479693884,4.234079355215273,True,4.2001238,2.6734989
11,9,9,2102.90368861023,1.262298515990944,1.1869502283946496,0.9400770509651758,2.729143582611037,0.0198128200784614,2.449248744385594,2.3565545674727293,0.0002196426546366,0.8632805628066623,0.5153819181838951,,0.9788864896788048,0.0669380673102189,0.0001042957780986,0.000342311817669,0.9688560699793304,0.9094711870872566,2.3565545674727293,0.9476126478286406,0.0317751180013268,True,0.079566185793825,48,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.3019445772060863,0.0035711879031658,0.0035711879031658,0.067736503772172,0.067736503772172,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.5631497730530491,success,3,2,False,,,-0.0084683153269369,2.3022210086183548,2.310689323945292,2.6617564951166175,4.2329942844075985,True,4.2001238,2.6754482
