segment_global_id,file,segment_id,crate_label,I_mean_A,R_used_ohm,Ah_throughput,Cn_Si,Cn_Gr,x100,Cp,y100,Cn,LLI,x0,y0,alpha,R,Un0,Un100,x0_si,x0_gr,x100_si,x100_gr,lli_theta,si_scale_a,si_shift_b,success,cost,nfev,message,Qcc_max_meas,rmse_v_global,rmse_v_weighted,rmse_dvdq_global,rmse_dvdq_weighted,flag_bad_qmax,flag_peak_missing,flag_fit_suspect,feature_definition,dvdq_sg_window_used,dvdq_sg_poly_used
0,GMFEB23S_CELL076_C10C5C3Expansion_1_P25C_15P0PSI_20260206_R0_36_1_2_2818579691.xlsx,0,C/10,0.24994779130540365,0.02,2.3852601047223616,1.3514256063559793,1.193432137946941,0.9530407985109662,2.7383922797433695,0.02416663475195182,2.54485774430292,2.491530982759394,0.015754574924537468,0.8952106127702867,0.5310417092591388,,0.6039848444512457,0.06349714838967552,0.02047869579855856,0.010405047528990874,0.9676437389114029,0.936504929290258,2.491530982759394,0.9970312332415587,0.011365727500254766,True,0.04784727749167028,24,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.3852601047223616,0.013517131608794822,0.002697490560155155,0.5962824895138817,0.04242936472259607,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3
1,GMFEB23S_CELL076_C10C5C3Expansion_1_P25C_15P0PSI_20260206_R0_36_1_2_2818579691.xlsx,1,C/5,0.4999265060575556,0.02,2.337221397222276,1.3025725787025542,1.1910225528205083,0.9508228419860378,2.770054570932247,0.02863110137355662,2.4935951315230627,2.4502769229479515,0.013532995821346039,0.872376716260738,0.5223673090454568,,0.6005316754988184,0.06415280350130885,0.016221731587474485,0.010592435651396405,0.9677762532621125,0.9322843650673388,2.4502769229479515,0.9355760802473985,0.01875722624901846,True,0.0735324344850774,26,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.337221397222276,0.012314486834898736,0.003342457704696221,0.7318697287818834,0.05041316364641704,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3
2,GMFEB23S_CELL076_C10C5C3Expansion_1_P25C_15P0PSI_20260206_R0_36_1_2_2818579691.xlsx,2,C/3,0.8328128435291489,0.02,2.2903260186111103,1.2176340889665105,1.4754597486884302,0.8699507667414759,2.7999999999999994,0.030845738320643717,2.6930938376549407,2.4292271162724615,0.019506572563135482,0.8488193163960405,0.45213206905065995,,0.5240120470026965,0.07188131042385297,0.024547109625594296,0.015346832008095095,0.9512018715230917,0.802898089595916,2.4292271162724615,0.8832476709869393,0.02199209479237504,True,0.10474815790151859,20,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.2903260186111103,0.01705218360531391,0.0038358201226698654,0.905159436524439,0.06459185971848223,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3
3,GMFEB23S_CELL076_C20Expansion_1_P25C_15P0PSI_20260124_R0_36_1_2_2818579686.xlsx,0,C/20,0.12494437440454863,0.0,2.3513615394447167,1.2682044445677465,1.3592568422600841,0.9014362958201892,2.724015923078203,0.01806829965109675,2.6274612868278306,2.4177073057615632,0.006518623300055926,0.8812649937392951,0.48267293258538047,,0.7231114229501603,0.07063242041561248,0.008120303005406192,0.0050242351476875126,0.9513919526350122,0.8548275642996519,2.4177073057615632,1.0369663323180198,0.006581729967935643,True,0.024153899662397338,18,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.3513615394447167,0.009166862269719975,0.001979445297413569,0.6161675641454247,0.03516062048035059,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3
4,GMFEB23S_CELL076_C100Expansion_1_P25C_15P0PSI_20260124_R0_36_1_2_2818579684.xlsx,0,C/100,0.024990755696644534,0.0,2.34403792206734,1.2856616095768194,1.3582981968493733,0.8943608663818197,2.704241719456009,0.017649804403976947,2.6439598064261927,2.4123835205635107,0.00779749413610209,0.8844502480192287,0.48626367407401405,,0.7200133968527161,0.07101665223872648,0.010614261024942864,0.005131357156380166,0.9457957465202415,0.8456765952370443,2.4123835205635107,1.078873859092201,1.853564491534156e-12,True,0.021882806285687728,18,DE -> LSQ polish | `ftol` termination condition is satisfied.,2.34403792206734,0.010242057897710818,0.0018931917436578684,0.6088977588630501,0.0339607127844222,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3
