cell,rpt_key,Qcc_max_meas,q_at_vmax,q_at_vmin,C_est,model_v_min,model_v_max,v_window_inside_model,Vmax_meas,Vmin_meas
11,0,2.543479666624662,-0.0010579743665346,2.5439771584661597,2.5450351328326946,2.620897776153768,4.24882258612774,True,4.2004385,2.7372708
11,1,2.487172256955162,0.0024694577163706,2.4876537835052592,2.4851843257888886,2.6331383461908247,4.24280281813703,True,4.2001238,2.7360389
11,2,2.446503399865037,0.0027517382526575,2.4469034380862755,2.444151699833618,2.6379073470418937,4.240303617865681,True,4.2001238,2.6652143
11,3,2.4048831273026963,-0.000140352644621,2.405274467636805,2.4054148202814263,2.64395958882272,4.2381913270437925,True,4.2001238,2.6676509
11,4,2.3807961682379073,-0.0017002251407622,2.381176328854991,2.3828765539957533,2.647776741512376,4.236666739258419,True,4.2001238,2.6689506
11,5,2.353214326881016,-0.0033750881540481,2.35353195072353,2.356907038877578,2.652387846813745,4.23594489309755,True,4.2001238,2.6707375
11,6,2.3429569611887473,-0.0038074067531415,2.343272322233027,2.3470797289861687,2.6539649101902705,4.2357664335266545,True,4.2001238,2.6720369
11,7,2.329630339347432,-0.0054319161164417,2.329928394572415,2.3353603106888565,2.656551580810846,4.234813137141339,True,4.2001238,2.6725242
11,8,2.317926885972838,-0.0061910594285545,2.3182120425067185,2.324403101935273,2.6587188479693884,4.234079355215273,True,4.2001238,2.6734989
11,9,2.3019445772060863,-0.0084683153269369,2.3022210086183548,2.310689323945292,2.6617564951166175,4.2329942844075985,True,4.2001238,2.6754482
11,10,2.277344359291874,-0.0114434402315835,2.277624627994629,2.289068068226213,2.666688903028139,4.229834851229929,True,4.2001238,2.6778848
11,11,2.220786193364347,-0.0141981732962376,2.221170084463321,2.235368257759559,2.678295049186524,4.227516486442364,True,4.2001238,2.7462726
11,12,2.214549943627844,-0.0142064173232241,2.214931214054308,2.229137631377532,2.6796788748605387,4.227384539625513,True,4.2001238,2.7454605
11,13,2.2240405569873474,-0.0139936822427642,2.2244236114773535,2.2384172937201177,2.67789222963574,4.2279137923654995,True,4.2001238,2.7423742
11,14,2.2106228047123295,-0.0142924445978727,2.2109676150034625,2.225260059601335,2.680326451616001,4.2277008423374065,True,4.2001238,2.7433488
11,15,2.1729158485968583,,,,,,False,,
11,16,2.161409554644706,,,,,,False,,
55,0,2.53791365953424,-0.0020493119412632,2.5384898363369124,2.540539148278176,2.621152061449523,4.24156923647084,True,4.2000246,2.7418475
55,1,2.4962714324582365,0.0011576162753427,2.4967282727272666,2.495570656451924,2.631857732227327,4.246440110807715,True,4.2000923,2.7341852
55,2,2.45487194758266,0.0025946452015419,2.455307894412627,2.4527132492110852,2.6367578305395383,4.241129329449802,True,4.2000923,2.6642017
55,3,2.414084159477625,-7.801893863216224e-05,2.414463919527156,2.4145419384657885,2.642810950123819,4.238995437703764,True,4.2000923,2.6663175
55,4,2.388871857267418,-0.0014856289541334,2.3892110372998516,2.390696666253985,2.646572270290604,4.23709673189973,True,4.2000923,2.668596
55,5,2.3715441767292305,-0.0021482257884321,2.3718972751396157,2.3740455009280477,2.649705729873152,4.236623651441031,True,4.2000923,2.6695726
55,6,2.345142265990944,-0.004034465637185,2.3454749663164693,2.3495094319536545,2.653857040251146,4.2354206181154295,True,4.2000923,2.6715257
55,7,2.332194594001976,-0.0054755298859819,2.3325059497544367,2.3379814796404186,2.656318106889609,4.235028341453669,True,4.2000923,2.6729903
55,8,2.3171582253942233,-0.0065549705468114,2.317448232135935,2.3240032026827464,2.6586616376697245,4.23390273474771,True,4.2000923,2.6741297
55,9,2.2966850696329857,-0.0092136294001534,2.2969736847588886,2.3061873141590423,2.6629221082387557,4.231819868049139,True,4.2000923,2.6760826
55,10,2.236542180323795,-0.0128123468628351,2.2369106903580547,2.24972303722089,2.674231711685335,4.228754499880123,True,4.2000923,2.7455778
55,11,2.2281911476256937,-0.0134935198630303,2.2285655838479324,2.2420591037109627,2.676093756522767,4.228355242182534,True,4.2000923,2.745415
55,12,2.236787009941054,-0.0131987888350175,2.2371748007439503,2.2503735895789676,2.6748040260595736,4.229098319331425,True,4.2000923,2.7424855
55,13,2.222688139294405,-0.0139743847322704,2.223071972916772,2.2370463576490422,2.678015793063932,4.228089360861324,True,4.2002549,2.7436247
55,14,2.181308131660444,,,,,,False,,
