segment_global_id,file,segment_id,crate_label,I_mean_A,R_used_ohm,Ah_throughput,Cn_Si,Cn_Gr,x100,Cp,y100,Cn,LLI,x0,y0,alpha,R,Un0,Un100,x0_si,x0_gr,x100_si,x100_gr,lli_theta,si_scale_a,si_shift_b,success,cost,nfev,message,Qcc_max_meas,rmse_v_global,rmse_v_weighted,rmse_dvdq_global,rmse_dvdq_weighted,flag_bad_qmax,flag_peak_missing,flag_fit_suspect,feature_definition,dvdq_sg_window_used,dvdq_sg_poly_used,transition_soc,transition_reason,transition_n_candidates,transition_n_valid
0,GMFEB23S_CELL020_Cby100Cby20Cby10Cby5Cby3_20251222_R0_36_2_1_2818579680.xlsx,0,C/100,0.0250000965710072,0.0,1.7221404562516869,0.4443812457625542,1.3178496284586605,0.9806026383938562,2.716279317035563,0.0235142011768507,1.7622308742212147,1.7919193830337277,0.0033524486235999,0.6575213319792754,0.252169708443532,,0.7521236678136716,0.0523129998166427,0.0005889872857378,0.0042842927167474,0.9867940994615596,0.978514866676248,1.7919193830337277,0.6181767171347858,0.0799999999999999,True,0.2377297063155596,18,DE -> LSQ polish | `ftol` termination condition is satisfied.,1.7221404562516869,0.0052809493260417,0.0052809493260417,0.1215553942953669,0.1215553942953669,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.38361874579777056,success,2,1
1,GMFEB23S_CELL020_Cby100Cby20Cby10Cby5Cby3_20251222_R0_36_2_1_2818579680.xlsx,1,C/20,0.1248099144319505,0.0,1.6800715125000938,0.4638496524624571,1.2433626742533153,0.987777133443198,2.751554054760207,0.0257056105091031,1.7072123267157724,1.7570756750886076,0.0036748714052302,0.6362956549218446,0.2717000370743467,,0.729753575328635,0.0477266192362049,0.0005225893112387,0.0048508637235131,0.9906229232641716,0.9867154813228846,1.7570756750886076,0.4985859135430017,0.0799999999765612,True,0.2756022919613572,16,DE -> LSQ polish | `ftol` termination condition is satisfied.,1.6800715125000938,0.0055477964212101,0.0055477964212101,0.1278838964279424,0.1278838964279424,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.3843480031004767,success,2,1
2,GMFEB23S_CELL020_Cby100Cby20Cby10Cby5Cby3_20251222_R0_36_2_1_2818579680.xlsx,2,C/10,0.2498669844907602,0.18,1.6515754125000566,0.5017204818938472,1.1687617692522594,0.9915702708093388,2.647176998802703,0.0587821479714513,1.6704822511461066,1.8120072882013816,0.0028884626866113,0.6826827837230657,0.3003446948027254,,0.7672986088221421,0.0448386783342321,0.0004780281318433,0.0039232025439609,0.9934282832660232,0.9907726720773672,1.8120072882013816,0.5362698960440342,0.0799999999999999,True,0.4984978098152974,20,DE -> LSQ polish | `ftol` termination condition is satisfied.,1.6515754125000566,0.0073309377999579,0.0073309377999579,0.162672592177754,0.162672592177754,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.4018613199455298,success,3,1
3,GMFEB23S_CELL020_Cby100Cby20Cby10Cby5Cby3_20251222_R0_36_2_1_2818579680.xlsx,3,C/5,0.499867676426484,0.096,1.593877230555575,0.4707751243832303,1.1389303619240596,0.9933557175379985,2.7294591285308445,0.0625843384293406,1.60970548630729,1.7698315422046582,0.0031887310217415,0.6465378455161068,0.2924604086820886,,0.750473072997652,0.0435428623919237,0.0004371384573099,0.004326097602771,0.9944256903296512,0.9929134459198936,1.7698315422046582,0.4318819947598218,0.0799999999999999,True,0.4739754793761572,15,DE -> LSQ polish | `ftol` termination condition is satisfied.,1.593877230555575,0.0067516701159069,0.0067516701159069,0.1915832495228515,0.1915832495228515,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.3825021026248877,success,2,1
4,GMFEB23S_CELL020_Cby100Cby20Cby10Cby5Cby3_20251222_R0_36_2_1_2818579680.xlsx,4,C/3,0.8332740989870898,0.0876,1.5214809222222188,0.4637829663154007,1.0742812749063324,0.9922281003332136,2.783839810052499,0.0821748138033467,1.5380642412217331,1.754872078307294,0.0030100420460913,0.6287152134082816,0.3015367979343978,,0.7579447008438507,0.0442565408702239,0.0003999374161133,0.0041368624570589,0.9935911783190204,0.991639639595469,1.754872078307294,0.390526345562086,0.0788526976456342,True,0.4471349601042573,17,DE -> LSQ polish | `ftol` termination condition is satisfied.,1.5214809222222188,0.0061904656263115,0.0061904656263115,0.207189576419201,0.207189576419201,False,False,False,"dV/dQ valleys | R1=first_valley, R2=last_valley",31,3,0.37291267997925204,success,2,1
