sto_full,U_full
-0.08,5409.9395950881635
-0.07939969984992497,5369.350370956874
-0.07879939969984992,5328.76114105982
-0.07819909954977489,5288.171905397003
-0.07759879939969985,5247.582663968421
-0.07699849924962482,5206.993416774074
-0.07639819909954977,5166.404163813963
-0.07579789894947474,5125.814905088088
-0.0751975987993997,5085.225640596449
-0.07459729864932467,5044.636370339046
-0.07399699849924962,5004.047094315877
-0.07339669834917459,4963.457812526945
-0.07279639819909955,4922.868524972249
-0.0721960980490245,4882.279231651787
-0.07159579789894947,4841.689932565562
-0.07099549774887444,4801.100627713573
-0.0703951975987994,4760.511317095819
-0.06979489744872436,4719.9220007123
-0.06919459729864932,4679.332678563018
-0.06859429714857429,4638.743350647971
-0.06799399699849926,4598.154016967161
-0.06739369684842421,4557.564677520584
-0.06679339669834918,4516.975332308245
-0.06619309654827414,4476.385981330141
-0.0655927963981991,4435.796624586271
-0.06499249624812406,4395.207262076639
-0.06439219609804903,4354.617893801242
-0.06379189594797399,4314.028519760081
-0.06319159579789894,4273.439139953154
-0.06259129564782391,4232.849754380464
-0.06199099549774888,4192.26036304201
-0.061390695347673836,4151.670965937791
-0.060790395197598796,4111.081563067808
-0.06019009504752376,4070.492154432061
-0.05958979489744873,4029.9027400305495
-0.05898949474737369,3989.313319863273
-0.058389194597298646,3948.7238939302324
-0.05778889444722361,3908.134462231428
-0.05718859429714857,3867.5450247668587
-0.05658829414707353,3826.9555815365256
-0.0559879939969985,3786.3661325404278
-0.055387693846923464,3745.776677778566
-0.05478739369684842,3705.1872172509397
-0.05418709354677338,3664.5977509575487
-0.05358679339669835,3624.0082788983937
-0.052986493246623315,3583.418801073475
-0.052386193096548274,3542.8293174827913
-0.05178589294647323,3502.2398281263427
-0.0511855927963982,3461.650333004131
-0.05058529264632316,3421.0608321161544
-0.04998499249624812,3380.4713254624135
-0.049384692346173084,3339.881813042908
-0.04878439219609805,3299.292294857639
-0.04818409204602301,3258.7027709066047
-0.04758379189594797,3218.1132411898066
-0.046983491745872935,3177.523705707244
-0.046383191595797894,3136.934164458917
-0.04578289144572286,3096.3446174448263
-0.04518259129564782,3055.75506466497
-0.044582291145572786,3015.165506119351
-0.043981990995497745,2974.5759418079665
-0.04338169084542271,2933.9863717308185
-0.04278139069534767,2893.3967958879052
-0.04218109054527264,2852.8072142792284
-0.041580790395197596,2812.217626904787
-0.040980490245122556,2771.6280337645812
-0.04038019009504752,2731.038434858611
-0.03977988994497248,2690.4488301868764
-0.03917958979489745,2649.859219749378
-0.038579289644822407,2609.2696035461145
-0.03797898949474737,2568.6799815770873
-0.03737868934467233,2528.090353842296
-0.0367783891945973,2487.5007203417404
-0.03617808904452226,2446.911081075419
-0.035577788894447224,2406.321436043335
-0.03497748874437218,2365.7317852454858
-0.03437718859429714,2325.1421286818727
-0.03377688844422211,2284.552466352495
-0.03317658829414707,2243.962798257353
-0.032576288144072034,2203.373124396447
-0.03197598799399699,2162.7834447697765
-0.03137568784392196,2122.1937593773414
-0.03077538769384692,2081.604068219142
-0.030175087543771885,2041.014371295179
-0.029574787393696844,2000.4246686054507
-0.02897448724362181,1959.8349601499588
-0.02837418709354677,1919.2452459287022
-0.02777388694347173,1878.655525941681
-0.027173586793396695,1838.0658001888962
-0.026573286643321654,1797.4760686703464
-0.02597298649324662,1756.886331386033
-0.02537268634317158,1716.2965883359545
-0.024772386193096546,1675.7068395201125
-0.024172086043021505,1635.1170849385053
-0.02357178589294647,1594.5273245911346
-0.02297148574287143,1553.937558477999
-0.022371185592796397,1513.3477865990994
-0.021770885442721356,1472.7580089544351
-0.021170585292646316,1432.1682255440064
-0.020570285142571282,1391.578436367814
-0.01996998499249624,1350.9886414258567
-0.019369684842421207,1310.3988407181357
-0.018769384692346167,1269.8090342446496
-0.018169084542271133,1229.2192220054
-0.017568784392196092,1188.6294040003854
-0.01696848424212105,1148.0395802296066
-0.016368184092046018,1107.4497506930638
-0.015767883941970984,1066.859915390757
-0.015167583791895936,1026.2700743226844
-0.014567283641820902,985.6802274888486
-0.013966983491745869,945.0903748892486
-0.013366683341670835,904.5005165238842
-0.012766383191595787,863.9106523927546
-0.012166083041520753,823.3207824958616
-0.01156578289144572,782.7309068332044
-0.010965482741370686,742.1410254047827
-0.010365182591295638,701.5511382105957
-0.009764882441220604,660.9612452506454
-0.00916458229114557,620.3713465249309
-0.008564282141070523,579.7814420334511
-0.007963981990995489,539.1915317762077
-0.007363681840920455,498.6016157532003
-0.006763381690845421,458.0116939644284
-0.006163081540770374,417.42176640989123
-0.00556278139069534,376.8318330895907
-0.004962481240620306,336.2418940035259
-0.004362181090545272,295.65194915169667
-0.0037618809404702247,255.0619985341022
-0.003161580790395191,214.4720421507444
-0.002561280640320157,173.88208000162223
-0.0019609804902451095,133.29211208673482
-0.0013606803401700757,92.702138406084
-0.0007603801900950419,52.11215895966888
-0.00016008004002000809,11.522173747489438
0.0004402201100550396,0.6011627083426497
0.0010405202601300734,0.5874189461271856
0.0016408204102051072,0.5761758216430021
0.002241120560280141,0.5666305933802142
0.0028414207103551886,0.5583138850727262
0.0034417208604302224,0.5509266167719457
0.004042021010505256,0.5442667665321687
0.004642321160580304,0.5381915761580076
0.005242621310655338,0.5325956734862103
0.0058429214607303714,0.527400217084925
0.006443221610805405,0.5225429067898122
0.007043521760880453,0.5179766197320536
0.007643821910955487,0.5136610289489827
0.00824412206103052,0.5095649795611485
0.008844422211105554,0.505662184920203
0.009444722361180602,0.5019298707541934
0.010045022511255636,0.4983506219537311
0.01064532266133067,0.4949069286138921
0.011245622811405717,0.491586782971585
0.011845922961480751,0.4883766866928334
0.012446223111555785,0.4852676625444972
0.013046523261630819,0.4822495505040084
0.013646823411705866,0.4793147536544823
0.0142471235617809,0.4764560434156436
0.014847423711855934,0.4736668770999976
0.015447723861930968,0.47094196571149793
0.016048024012006015,0.46827533066277616
0.01664832416208105,0.46566298414670665
0.017248624312156083,0.4631004233254653
0.01784892446223113,0.46058339162721285
0.018449224612306164,0.4581088620580422
0.019049524762381198,0.4556733229146852
0.019649824912456232,0.4532735007189128
0.02025012506253128,0.4509070897050854
0.020850425212606313,0.44857122508098085
0.021450725362681347,0.4462633642639221
0.02205102551275638,0.4439817043648418
0.02265132566283143,0.4417237810665544
0.023251625812906462,0.43948769655398123
0.023851925962981496,0.437271950367118
0.024452226113056544,0.4350745330888329
0.025052526263131578,0.43289403980935404
0.02565282641320661,0.43072894825693164
0.026253126563281645,0.42857800078327113
