Q_meas_native,dVdQ_meas_native
0.0,17.14803726366692
0.002155369782542787,16.473320070528416
0.004310739565085574,15.156534567820131
0.006466109347628361,13.905046832248559
0.008621479130171148,12.71885686381438
0.010776848912713934,11.597964662516915
0.012932218695256723,10.542370228356504
0.015087588477799509,9.552073561332918
0.017242958260342296,8.627074661446386
0.019398328042885084,7.767373528696908
0.02155369782542787,6.9729701630842555
0.023709067607970657,6.243864564608771
0.025864437390513445,5.580056733269998
0.02801980717305623,4.98154666906828
0.030175176955599018,4.448334371975761
0.032330546738141806,3.640747793189348
0.03448591652068459,3.3775207562691776
0.036641286303227376,3.646974057197326
0.03879665608577017,3.55745073109847
0.04095202586831295,3.4174204031462523
0.04310739565085574,3.2656217267528973
0.04526276543339853,3.1111669420837416
0.047418135215941314,2.957275950313033
0.0495735049984841,2.809608583924728
0.05172887478102689,2.6661457954452317
0.053884244563569675,2.528548503302545
0.05603961434611246,2.39970069656988
0.058194984128655244,2.2745576103084204
0.060350353911198036,2.158113485873173
0.06250572369374083,2.0491640219632927
0.06466109347628361,1.9434329898666647
0.0668164632588264,1.8483246487293172
0.06897183304136918,1.7614805748695517
0.07112720282391197,1.678826177474889
0.07328257260645475,1.602343538012292
0.07543794238899754,1.5329403546113554
0.07759331217154034,1.4689451003101794
0.07974868195408312,1.4094554832078074
0.0819040517366259,1.3547471256161998
0.08405942151916869,1.3033771062268897
0.08621479130171147,1.2545416851445452
0.08837016108425426,1.2106671498775086
0.09052553086679706,1.1720041420970801
0.09268090064933984,1.1339067738172162
0.09483627043188263,1.0956255222630489
0.09699164021442541,1.057528657337457
0.0991470099969682,1.0246211039626587
0.10130237977951098,0.9919414823298212
0.10345774956205378,0.9586795675373878
0.10561311934459656,0.9279888488679262
0.10776848912713935,0.8998593341924561
0.10992385890968213,0.8739608801060967
0.11207922869222492,0.8492277575819571
0.1142345984747677,0.8266970717852473
0.11638996825731049,0.8032488978935817
0.11854533803985329,0.78172447620193
0.12070070782239607,0.7609419123891712
