crate_c,crate_label,case_name,q_fit_min,dataset,kinetic_compensation,Cn_Si,Cn_Gr,Cn,Cp,LLI,transition_soc,rmse_v_global,rmse_dvdq_global,si_scale_a,si_shift_b,mean_absolute_error_6metrics_vs_C100_standard,transition_reason,transition_n_candidates,transition_n_valid
0.1,C/10,deformation_disabled,0.03,BOL,True,1.3939859035411513,1.146098257702867,2.5400841612440184,2.689881063539847,2.4843069828904945,0.5219252493692564,0.0123972400461197,0.5966319051894078,1.0,0.0,5.509469470251063,success,3,2
0.2,C/5,deformation_disabled,0.03,BOL,True,1.302172336127804,1.3469325084264945,2.649104844554298,2.751205001901288,2.4530451596417056,0.5114049623606725,0.0126375419152019,0.7401468454244136,1.0,0.0,3.976067847775703,success,3,2
0.3333333333333333,C/3,deformation_disabled,0.03,BOL,True,1.1981747459706722,1.5999999999999992,2.7981747459706714,2.7999999999999994,2.4473683254497485,0.49756981896500824,0.0186532086334882,0.9408823387670188,1.0,0.0,8.311169967832432,success,3,2
0.05,C/20,deformation_disabled,0.03,BOL,True,1.3464671226295986,1.1641747587664044,2.510641881396003,2.658940723530655,2.4063291374298315,0.5232250150934539,0.0073561870637201,0.5146017686678311,1.0,0.0,4.112027901262791,success,3,2
0.01,C/100,deformation_disabled,0.03,BOL,True,1.3612631094723933,1.1315639968746447,2.492827106347038,2.6192578225959227,2.3930985445327706,0.530115686377778,0.0072916402375274,0.4439791800863966,1.0,0.0,4.958197061688551,success,3,2
