x_plot,minus_dVdx_meas,minus_dVdx_model
0.0,35.68014369894303,28.862428417443425
0.0012515644555694619,32.41788785706935,26.18839451589283
0.0025031289111389237,29.405698608937005,23.73595060297746
0.003754693366708386,26.633446004722085,21.495407974960298
0.0050062578222778474,24.091000094600673,19.45707792810435
0.006257822277847309,21.768230928748874,17.6112717586726
0.007509386733416772,19.655008557342793,15.94830076292805
0.008760951188986232,17.74120303055852,14.45847623713369
0.010012515644555695,16.01668439857215,13.132109477552518
0.011264080100125157,14.471322711559779,11.959511780447528
0.012515644555694618,13.09498801969751,10.930994442081717
0.01376720901126408,11.877550373161437,10.036868758718075
0.015018773466833543,10.808879822127654,9.267446026619595
0.016270337922403004,9.878846416772266,8.61303754204928
0.017521902377972465,9.077320207271367,8.063954601270117
0.01877346683354193,8.394171243801043,7.610508500545106
0.02002503128911139,7.819269576537406,7.243010536137236
0.02127659574468085,7.342485255656542,6.951772004309505
0.022528160200250315,6.953688331334555,6.727104201324909
0.023779724655819776,6.642748853747537,6.559318423446437
0.025031289111389236,6.399536873071637,6.438725966937138
0.0262828535669587,6.038114583712375,6.681313174573097
0.02753441802252816,6.036957273327111,6.489278193333646
0.028785982478097622,5.942087767648205,6.265141344852483
0.030037546933667086,5.802052826634116,6.029847613768972
0.03128911138923655,5.6268823383494855,5.795462690221413
0.03254067584480601,5.442071397702575,5.564024359159279
0.03379224030037547,5.259069426928599,5.340461130119001
0.03504380475594493,5.078303719454256,5.124493911511673
0.0362953692115144,4.897213663902069,4.919754604035424
0.03754693366708386,4.7202310390158075,4.726689632701672
0.03879849812265332,4.550226487130836,4.546350516956522
0.04005006257822278,4.384667160872807,4.378200064153016
0.04130162703379224,4.228138058763668,4.222251106399723
0.0425531914893617,4.074813325430884,4.077847601681111
0.04380475594493116,3.9251494118546884,3.944443450083314
0.04505632040050063,3.784519214321721,3.8221046515457724
0.04630788485607009,3.6470489697036226,3.706248375642849
0.04755944931163955,3.514632513142823,3.5971950131602415
0.04881101376720901,3.387500188504682,3.4911895734667464
0.05006257822277847,3.260658691952334,3.386724287053134
0.05131414267834793,3.1422685099349463,3.2819282014337263
0.0525657071339174,3.0274678905851347,3.1765069797287975
0.05381727158948686,2.916829545339826,3.0653405819350454
0.05506883604505632,2.809582052718064,2.949302295620769
0.056320400500625784,2.704356413202226,2.8300813713065334
0.057571964956195244,2.604818586064254,2.708005648317406
0.058823529411764705,2.508831420036458,2.583235496424205
0.06007509386733417,2.417213185129488,2.4584541082947746
0.061326658322903634,2.32914686364642,2.3341361610308278
0.0625782227784731,2.242512820020856,2.212827022805744
0.06382978723404255,2.1586033778454907,2.0957317351576936
0.06508135168961202,2.0784585568763103,1.9844158389438427
0.06633291614518148,2.0000890208632063,1.8809712442458322
0.06758448060075094,1.9250564123683884,1.7837817810558947
0.0688360450563204,1.8491542058841284,1.6933745281355155
0.07008760951188986,1.7777123996904536,1.6110912752570559
0.07133917396745933,1.7087645036096641,1.536371407335635
0.0725907384230288,1.6425972439898675,1.4687844121293554
0.07384230287859825,1.5786396485358734,1.406182694391348
0.07509386733416772,1.5164804729642392,1.3516768010900104
0.07634543178973717,1.4578557074991725,1.3017610003078988
0.07759699624530664,1.4018434504634483,1.2554441495265325
0.07884856070087609,1.34797728117512,1.213817740070575
0.08010012515644556,1.2952738856334605,1.175184542221023
0.08135168961201503,1.2452244919008286,1.1389931193379894
0.08260325406758448,1.1958533446412138,1.1058992168536488
0.08385481852315395,1.1493819886133179,1.0747034687754817
0.0851063829787234,1.1057973921813935,1.045979288644014
0.08635794743429287,1.0643177092407596,1.018394541067651
0.08760951188986232,1.0233555974688129,0.9930045404225426
0.08886107634543179,0.9854105439249867,0.9691686606075962
0.09011264080100126,0.9488625934775965,0.9460856691207893
0.09136420525657071,0.9152562572479923,0.92497106979334
