x_plot,U_an_meas,U_an_model
0.0,0.8633,0.8633
0.0012515644555694619,0.8633,0.7591683564152222
0.0025031289111389237,0.8008543566726817,0.7288684856899982
0.003754693366708386,0.7557174847896796,0.7049816099216561
0.0050062578222778474,0.7194889918115234,0.684786735529912
0.006257822277847309,0.6916207898804991,0.6664966769320146
0.007509386733416772,0.6685013737948791,0.6499101258004396
0.008760951188986232,0.6478328384227978,0.634321829987644
0.010012515644555695,0.6287604305089625,0.6198050132544943
0.011264080100125157,0.611475536041569,0.6060517348586946
0.012515644555694618,0.5961704153233752,0.5930129671430467
0.01376720901126408,0.5816965256570699,0.580218988806812
0.015018773466833543,0.5685941188986217,0.5680649244858623
0.016270337922403004,0.5554917121401736,0.5562287971483797
0.017521902377972465,0.543244446152474,0.5448439810071369
0.01877346683354193,0.5322868986232773,0.5338001049812354
0.02002503128911139,0.5210218044908781,0.5228011422880477
0.02127659574468085,0.5107401781999055,0.5122487279972292
0.022528160200250315,0.5008705735090252,0.5018400861281053
0.023779724655819776,0.490944500411188,0.49190272705825877
0.025031289111389236,0.48251636618987914,0.48230074196929024
0.0262828535669587,0.47368218547758406,0.4732111736515785
0.02753441802252816,0.46538003420942664,0.4640932863941555
0.028785982478097622,0.45731176303712784,0.4557614238359269
0.030037546933667086,0.44967559726471795,0.4480390969615994
0.03128911138923655,0.4423351579869855,0.4407368617831616
0.03254067584480601,0.4351141925793257,0.4337763672002487
0.03379224030037547,0.42847572332110334,0.42742101242508856
0.03504380475594493,0.4219145356285032,0.42128929790867653
0.0362953692115144,0.41542660200250126,0.41550299453904177
0.03754693366708386,0.40937539862327715,0.4098701383174684
0.03879849812265332,0.40365840003101766,0.40445561277136916
0.04005006257822278,0.39790857815157293,0.3992895517194479
0.04130162703379224,0.3925745711926555,0.3938985578909242
0.0425531914893617,0.386946942862901,0.3886563169526846
0.04380475594493116,0.3822955053817254,0.38367023686086893
0.04505632040050063,0.3774545426783461,0.3786615146009757
0.04630788485607009,0.37280214411903817,0.37373277939856503
0.04755944931163955,0.3683105143929897,0.3687268019890924
0.04881101376720901,0.3639430454735069,0.3642815474170081
0.05006257822277847,0.3599089098873575,0.35955592535531433
0.05131414267834793,0.35585009768499054,0.3550029941891784
0.0525657071339174,0.3519713720783715,0.35087682000965514
0.05381727158948686,0.34815617149632605,0.34677534583601627
0.05506883604505632,0.3447520768257326,0.3428851668609515
0.056320400500625784,0.34120419881995195,0.3393361817821472
0.057571964956195244,0.3378867025646562,0.33585360073562254
0.058823529411764705,0.3346688627450968,0.3326719728175343
0.06007509386733417,0.3314287128078321,0.32951720491147174
0.061326658322903634,0.3282295590858704,0.32670212026886436
0.0625782227784731,0.32567955547357447,0.32395663108928696
0.06382978723404255,0.3230221856968363,0.3212755926341121
0.06508135168961202,0.3203000258729698,0.3189067628892595
0.06633291614518148,0.31775454262272135,0.3165243725025754
0.06758448060075094,0.31525860700875963,0.3143017939957846
0.0688360450563204,0.31286510471422496,0.3121087593772478
0.07008760951188986,0.3106037607955882,0.3101335420784609
0.07133917396745933,0.3084976357947422,0.3080772720001603
0.0725907384230288,0.30635488522740517,0.30626704892036927
0.07384230287859825,0.304386561519718,0.3044879057391709
0.07509386733416772,0.3024065401824727,0.30272897848194297
0.07634543178973717,0.30053626606075523,0.30105229358565944
0.07759699624530664,0.29878196871088747,0.2994813274596668
0.07884856070087609,0.2970490141166148,0.29792019664122815
0.08010012515644556,0.29540636313606977,0.29635192442188457
0.08135168961201503,0.2934916823051887,0.29491707087080254
0.08260325406758448,0.29213844679139417,0.29352956738609975
0.08385481852315395,0.2908190290804672,0.29218186586035283
0.0851063829787234,0.28939521652064976,0.2908478821466607
0.08635794743429287,0.2880767305523773,0.28948725617479965
0.08760951188986232,0.2867355679576958,0.2882114293407387
0.08886107634543179,0.2854578464150245,0.28699630864634373
0.09011264080100126,0.28424497133917304,0.28580878398652165
0.09136420525657071,0.2830547582795106,0.28464638747452875
0.09261576971214018,0.2819313545340758,0.28350859679854906
0.09386733416770963,0.2808311357378533,0.28239165830811863
0.0951188986232791,0.2797435636703638,0.28128037204824125
0.09637046307884857,0.27872597535380694,0.2802042181631788
0.09762202753441802,0.2777860747355214,0.27913390688716694
0.09887359198998749,0.2768186292866075,0.27805244646043864
0.10012515644555695,0.27587061942255087,0.2770413664528503
0.10137672090112641,0.2750063117422735,0.27604912692337213
0.10262828535669587,0.2742236966313078,0.27507315274520633
0.10387984981226533,0.27339637084778384,0.2741127193936248
0.1051314142678348,0.2725498085993534,0.2731671291860273
0.10638297872340426,0.27160787754325494,0.27223571251333883
0.10763454317897372,0.2706010679182304,0.2713178260623721
0.10888610763454318,0.26979424080100056,0.27041285222118594
0.11013767209011265,0.2690302644597114,0.2695201993797491
0.1113892365456821,0.26837518868606924,0.2686393010073656
0.11264080100125157,0.2677070671896937,0.2677696150052603
0.11389236545682103,0.26685039849812153,0.2669106229599105
0.11514392991239049,0.26585036911758847,0.266061829549162
0.11639549436795996,0.26521739324331006,0.26522352063975335
0.11764705882352941,0.2642895081010282,0.2643947945764833
0.11889862327909888,0.2636113026708863,0.2635749627656309
0.12015018773466835,0.26286613007926496,0.2627636021757422
0.1214017521902378,0.26205930296203506,0.26196031041013423
0.12265331664580727,0.26128422999545564,0.2611647046919546
0.12390488110137672,0.2605867044061958,0.26037642149027507
0.1251564455569462,0.25991698253463724,0.25959511619665515
0.12640801001251564,0.2589644354527082,0.2588213770356414
0.1276595744680851,0.25814106961714667,0.25805450961611665
0.12891113892365458,0.2575027383651137,0.25729363992463306
0.13016270337922403,0.25694675460635524,0.2565384800808539
0.13141426783479349,0.25624031383439244,0.2557887580189546
0.13266583229036297,0.2554645255736328,0.2550442167829254
0.13391739674593242,0.25475254078336224,0.2543060175676325
0.13516896120150187,0.2541381789862029,0.2535751840924219
0.13642052565707136,0.25336984338570767,0.2528661429913366
0.1376720901126408,0.25257055043804666,0.2521705185357016
0.13892365456821026,0.2518619828280472,0.251449697160628
0.14017521902377972,0.25121767215269014,0.2507335374696925
0.1414267834793492,0.25061255181476777,0.2500287208831983
0.14267834793491865,0.249856974361305,0.24932932947694528
0.1439299123904881,0.24901901823344338,0.24862710847754801
0.1451814768460576,0.24829719080100052,0.2479250776816522
0.14643304130162704,0.2476881789859786,0.2472257516242954
0.1476846057571965,0.2468994313149609,0.24652900936119587
0.14893617021276595,0.24622567326406547,0.24583471861025843
0.15018773466833543,0.2455089743182144,0.24514361756046035
0.15143929912390489,0.24477158911138847,0.24445470972650316
0.15269086357947434,0.24416646877346607,0.24376772248766662
0.15394242803504382,0.24354031901300843,0.24308271051165406
0.15519399249061328,0.24287503176722358,0.24240384059017978
0.15644555694618273,0.24213481034626508,0.24174535643892345
0.15769712140175218,0.24132798322903523,0.24109188441974305
0.15894868585732166,0.24033844342480587,0.24042714812382707
0.16020025031289112,0.23988517229683295,0.23975218600135842
0.16145181476846057,0.2394306264080092,0.23907624285559184
0.16270337922403005,0.23882550607008676,0.23840072584897246
0.1639549436795995,0.23818397924220044,0.2377261003074166
0.16520650813516896,0.23748702052565596,0.23705212426701383
0.16645807259073842,0.23668019340842608,0.23638687896696625
0.1677096370463079,0.23593779274006815,0.23573243854998932
0.16896120150187735,0.23529990438047474,0.23508198514397183
0.1702127659574468,0.23469478404255234,0.2344224229965222
0.17146433041301629,0.23408966370462994,0.2337554239914136
0.17271589486858574,0.23348454336670751,0.2330820788622699
0.1739674593241552,0.23287942302878512,0.23240824168840635
0.17521902377972465,0.23227430269086272,0.2317363785873517
0.17647058823529413,0.23166918235294032,0.2310700703344564
0.17772215269086358,0.23099304508166899,0.2304247021446112
0.17897371714643304,0.23005710553323977,0.22976632827665944
0.18022528160200252,0.2293577010707422,0.22909790812668054
0.18147684605757197,0.22874870100125066,0.22841955009938208
0.18272841051314143,0.22814358066332827,0.2277667025420183
0.18397997496871088,0.22753846032540584,0.22710067186474922
0.18523153942428036,0.2269333399874834,0.22642490665989923
0.18648310387984982,0.226328219649561,0.22574969476844733
0.18773466833541927,0.22572309931163861,0.22506833833315343
0.18898623279098875,0.2251179789737162,0.2243906371221918
0.1902377972465582,0.224501163342873,0.22371802097891735
0.19148936170212766,0.22386417427208075,0.22304901329462776
0.19274092615769714,0.22307015727993193,0.2223653557552227
0.1939924906132666,0.222268229936035,0.22167723966191377
0.19524405506883605,0.22159237728410414,0.2209912795020676
0.1964956195244055,0.22098725694618174,0.22032594513181353
0.19774718397997498,0.2203821366082593,0.21963086903452517
0.19899874843554444,0.21977701627033694,0.21893589144660613
0.2002503128911139,0.21917189593241454,0.21825512239812397
0.20150187734668337,0.21856677559449209,0.21755193806254286
0.20275344180225283,0.21735938579555802,0.21685896094533452
0.20400500625782228,0.21696245165025124,0.21616075209648555
0.20525657071339173,0.2165655175049445,0.21545220887765837
0.20650813516896122,0.21586172565706999,0.21474900287882842
0.20775969962453067,0.21511338796475124,0.21403491604770894
0.20901126408010012,0.21434716954542687,0.2133225458862921
0.2102628285356696,0.21358090708062413,0.21261607874538027
0.21151439299123906,0.2131212092979295,0.21191739774947904
0.2127659574468085,0.21262069255319044,0.21121345330336355
0.21401752190237797,0.212015572215268,0.21050546561665387
0.21526908635794745,0.21139832989333093,0.2097932925219258
0.2165206508135169,0.21061066307884638,0.2090773268363064
0.21777221526908636,0.209711285787903,0.2083650802899926
0.21902377972465584,0.20908987378051475,0.2077034421728393
0.2202753441802253,0.20832892733360753,0.20706000412489375
0.22152690863579474,0.20778166038046292,0.20642142414495437
0.2227784730913642,0.20727939384975802,0.20587700842075873
0.22403003754693368,0.2066746095118887,0.2053907656700591
0.22528160200250313,0.2060694891739663,0.20511974607026429
0.2265331664580726,0.2054643688360439,0.2048487264704695
0.22778473091364207,0.20492618591109565,0.20457770687067472
0.22903629536921152,0.2044127025873135,0.2043659958353921
0.23028785982478098,0.20396715234630097,0.2041698530183506
0.23153942428035043,0.20353323504397086,0.20397371020130908
0.2327909887359199,0.20315170772750127,0.20377756738426756
0.23404255319148937,0.20277018041103168,0.20358166451581977
0.23529411764705882,0.20243451766785947,0.20338774865862932
0.2365456821026283,0.20211228616276716,0.20319383280143885
0.23779724655819776,0.20179005465767488,0.20299991694424838
0.2390488110137672,0.20152585880485316,0.20280600108705793
0.2403003754693367,0.20126656412006916,0.20260495524702637
0.24155193992490614,0.20100726943528513,0.20239174917262834
0.2428035043804756,0.20076283797929184,0.20217854309823027
0.24405506883604505,0.20054279422004734,0.20196533702383224
0.24530663329161453,0.2003227504608028,0.20175036765674262
0.246558197747184,0.2001027067015583,0.20150785984868147
0.24780976220275344,0.1998826629423138,0.2012653520406203
0.24906132665832292,0.19966261918306927,0.20102284423255914
0.2503128911138924,0.19944257542382476,0.20076798064137197
0.25156445556946183,0.19922253166458026,0.20047995320768588
0.2528160200250313,0.19900115277882113,0.20019192577399983
0.25406758448060074,0.19873276638575652,0.1999000187221238
0.2553191489361702,0.1984643799926919,0.1995643706808374
0.2565707133917397,0.19819599359962725,0.199228722639551
0.25782227784730916,0.19790916498253355,0.1988875036027245
0.2590738423028786,0.1976102552397591,0.1985356646698808
0.26032540675844806,0.19731134549698462,0.19818382573703708
0.2615769712140175,0.1969923244637546,0.19780772999416674
0.26282853566958697,0.19665549517715056,0.19742278335979385
0.2640801001251564,0.19631866589054653,0.1970190986460466
0.26533166458072593,0.19531623122951602,0.19657997109441927
0.2665832290362954,0.1950824421328936,0.19613359746999992
0.26783479349186484,0.19484865303627116,0.19566588752499986
0.2690863579474343,0.19461486393964875,0.19520348557958056
0.27033792240300375,0.19435095240284841,0.19475413906526826
0.2715894868585732,0.19390692601945722,0.1942946316811167
0.2728410513141427,0.19345629812016152,0.19380369485065382
0.27409261576971217,0.19292310410557487,0.19330145815049266
0.2753441802252816,0.19226284124166598,0.19278020948567193
0.2765957446808511,0.19150980207736967,0.19225333063471783
0.27784730913642053,0.191052823271093,0.19172285366315395
0.27909887359199,0.19054931464330271,0.19117332100585926
0.28035043804755944,0.18994419430538032,0.19061770720630972
0.28160200250312895,0.18931188406965094,0.19004948560172724
0.2828535669586984,0.1884757977252448,0.18947655507033356
0.28410513141426785,0.18762883329161306,0.1889004060053155
0.2853566958698373,0.18702371295369064,0.18830621328114322
0.28660826032540676,0.1864185926157683,0.187703818537901
0.2878598247809762,0.18572500750483398,0.18709163950406735
0.28911138923654567,0.18478700577369608,0.1864804497525311
0.2903629536921152,0.18399176915599516,0.18585907632966356
0.29161451814768463,0.18348108182459152,0.18522530262635156
0.2928660826032541,0.1828929909261562,0.1845991726011494
0.29411764705882354,0.1822878705882338,0.18395530774706467
0.295369211514393,0.1816827502503114,0.18329368116743186
0.29662077596996245,0.181077629912389,0.18261790003185674
0.2978723404255319,0.1804725095744666,0.18196692515271393
0.2991239048811014,0.1798673892365442,0.1813131516222721
0.30037546933667086,0.1792861246194455,0.18064167038927703
0.3016270337922403,0.17872571884855948,0.17995402395837992
0.30287859824780977,0.17824162257822157,0.17926403516278397
0.3041301627033792,0.1777517562932625,0.1785719170868924
0.3053817271589487,0.17724412201714326,0.17787770579651385
0.30663329161451813,0.17669412470759363,0.17716144776061046
0.30788485607008764,0.17608914314324486,0.17642969536664618
