x_plot,U_si
0.0,0.8633
0.0012515644555694619,0.8633
0.0025031289111389237,0.8293878785632036
0.003754693366708386,0.7939411967505892
0.0050062578222778474,0.7670764979311365
0.006257822277847309,0.7452588992733237
0.007509386733416772,0.7267600943240948
0.008760951188986232,0.7106050180860335
0.010012515644555695,0.6961890179559729
0.011264080100125157,0.6831104191173548
0.012515644555694618,0.6710886253729328
0.01376720901126408,0.6599194365048389
0.015018773466833543,0.6494493207824861
0.016270337922403004,0.6395606063961744
0.017521902377972465,0.630159517486061
0.01877346683354193,0.6211715437878382
0.02002503128911139,0.6125346205748164
0.02127659574468085,0.6041984830403475
0.022528160200250315,0.596120436966336
0.023779724655819776,0.5882635861046265
0.025031289111389236,0.5805969108410344
0.0262828535669587,0.5730936942643289
0.02753441802252816,0.5657311313263075
0.028785982478097622,0.5584895517569303
0.030037546933667086,0.5513523376276251
0.03128911138923655,0.5443059360987951
0.03254067584480601,0.5373402738729179
0.03379224030037547,0.5304483955794491
0.03504380475594493,0.5236272726522095
0.0362953692115144,0.5168780314967283
0.03754693366708386,0.5102071192646629
0.03879849812265332,0.5036254084678858
0.04005006257822278,0.49714937114203894
0.04130162703379224,0.4908001406524633
0.0425531914893617,0.48460208540931754
0.04380475594493116,0.47858169260847216
0.04505632040050063,0.4727628537391767
0.04630788485607009,0.4671675778058483
0.04755944931163955,0.4618093378378516
0.04881101376720901,0.4566971807027061
0.05006257822277847,0.45182813838485114
0.05131414267834793,0.4471968163548632
0.0525657071339174,0.4427912100652882
0.05381727158948686,0.43859397792965904
0.05506883604505632,0.4345882242147297
0.056320400500625784,0.43075403166414516
0.057571964956195244,0.42707343169751605
0.058823529411764705,0.4235282214743333
0.06007509386733417,0.4201007562234384
0.061326658322903634,0.41677462764915474
0.0625782227784731,0.4135375721902861
0.06382978723404255,0.41037338002082413
0.06508135168961202,0.4072724897433994
0.06633291614518148,0.4042227076995157
0.06758448060075094,0.40121477188244004
0.0688360450563204,0.3982411275927058
0.07008760951188986,0.39529446841859694
0.07133917396745933,0.3923690605836862
0.0725907384230288,0.3894607329524225
0.07384230287859825,0.38656673577632944
0.07509386733416772,0.38368583722815486
0.07634543178973717,0.3808185779128911
0.07759699624530664,0.3779667968962717
0.07884856070087609,0.375134065940487
0.08010012515644556,0.37232537677046046
0.08135168961201503,0.3695468998079586
0.08260325406758448,0.36680563649271153
0.08385481852315395,0.36410897935924375
0.0851063829787234,0.36146421100289855
0.08635794743429287,0.35887798719332015
0.08760951188986232,0.3563583270520063
0.08886107634543179,0.3539082986809975
0.09011264080100126,0.35153049328208813
0.09136420525657071,0.34923198555191604
0.09261576971214018,0.3470084574229693
0.09386733416770963,0.3448647819292311
0.0951188986232791,0.3427978296539371
0.09637046307884857,0.3408057412907736
0.09762202753441802,0.33888700009355843
0.09887359198998749,0.33703942113071705
0.10012515644555695,0.335260246622358
0.10137672090112641,0.33354624698872537
0.10262828535669587,0.33189382298807657
0.10387984981226533,0.33029910507900145
0.1051314142678348,0.3287623414340837
0.10638297872340426,0.32727848332749004
0.10763454317897372,0.32584207494612094
0.10888610763454318,0.32445715785791324
0.11013767209011265,0.3231130939946649
0.1113892365456821,0.3218148923499343
0.11264080100125157,0.3205549225254099
0.11389236545682103,0.31933137318205634
0.11514392991239049,0.31814728496790096
0.11639549436795996,0.31699548586423354
0.11764705882352941,0.31587474907968505
0.11889862327909888,0.3147838617802934
0.12015018773466835,0.31372474542808565
0.1214017521902378,0.31269263639604844
0.12265331664580727,0.3116862500946872
0.12390488110137672,0.3107044785433285
0.1251564455569462,0.30974624021968894
0.12640801001251564,0.3088104814047261
0.1276595744680851,0.30789617730859026
0.12891113892365458,0.30700233299439195
0.13016270337922403,0.306127984116014
0.13141426783479349,0.30527219748562173
0.13266583229036297,0.3044340714858774
0.13391739674593242,0.30361273634116354
0.13516896120150187,0.3028073542613849
0.13642052565707136,0.30201947808829344
0.1376720901126408,0.30124686376001053
0.13892365456821026,0.3004881604525806
0.14017521902377972,0.2997426338759583
0.1414267834793492,0.29900958140834377
0.14267834793491865,0.29828944368124766
0.1439299123904881,0.2975840118695767
0.1451814768460576,0.2968893118285966
0.14643304130162704,0.2962047417869006
0.1476846057571965,0.2955307737744083
0.14893617021276595,0.29487031230910493
0.15018773466833543,0.2942184605926862
0.15143929912390489,0.29357471331901147
0.15269086357947434,0.2929431861709334
0.15394242803504382,0.2923204227553487
0.15519399249061328,0.2917044555142901
0.15644555694618273,0.2910992597318283
0.15769712140175218,0.2905022754009608
0.15894868585732166,0.2899109187656082
0.16020025031289112,0.28933055996001167
0.16145181476846057,0.28875635413103135
0.16270337922403005,0.28818787337242985
0.1639549436795995,0.28762978850736126
0.16520650813516896,0.28707565586835004
0.16645807259073842,0.28652988948361124
0.1677096370463079,0.28599029321857244
0.16896120150187735,0.2854553785236397
0.1702127659574468,0.28492941966748264
0.17146433041301629,0.2844060380216221
0.17271589486858574,0.2838918532683809
0.1739674593241552,0.28338075410354435
0.17521902377972465,0.28287646225654495
0.17647058823529413,0.28237686783960086
0.17772215269086358,0.2818821637412196
0.17897371714643304,0.2813933369007025
0.18022528160200252,0.280907922387455
0.18147684605757197,0.2804291653310576
0.18272841051314143,0.2799527490930752
0.18397997496871088,0.27948340222808715
0.18523153942428036,0.2790156996654756
0.18648310387984982,0.27855514042579543
0.18773466833541927,0.27809587350241005
0.18898623279098875,0.2776435151853091
0.1902377972465582,0.2771924122804343
0.19148936170212766,0.27674770289584283
0.19274092615769714,0.27630449865422096
0.1939924906132666,0.27586691978892963
0.19524405506883605,0.2754313549695447
0.1964956195244055,0.27500042066837593
0.19774718397997498,0.2745722419923593
0.19899874843554444,0.27414749765805
0.2002503128911139,0.2737264576560422
0.20150187734668337,0.2733074789692974
0.20275344180225283,0.2728933358285671
0.20400500625782228,0.27247972768948686
0.20525657071339173,0.27207224510107914
0.20650813516896122,0.27166476251267135
0.20775969962453067,0.2712625875990868
0.20901126408010012,0.270861534605245
0.2102628285356696,0.2704637978172496
0.21151439299123906,0.27006894865933045
0.2127659574468085,0.26967534147852573
0.21401752190237797,0.2692864754456032
0.21526908635794745,0.26889760941268065
0.2165206508135169,0.2685136156965841
0.21777221526908636,0.2681305169749172
0.21902377972465584,0.26774989901706686
0.2202753441802253,0.26737235654058616
0.22152690863579474,0.2669948828202495
0.2227784730913642,0.26662269012220013
0.22403003754693368,0.26625049742415074
0.22528160200250313,0.26588110635551376
0.2265331664580726,0.26551406142137507
0.22778473091364207,0.265147219488565
0.22903629536921152,0.2647851246103532
0.23028785982478098,0.2644230297321413
0.23153942428035043,0.26406333002843607
0.2327909887359199,0.2637059916604824
0.23404255319148937,0.2633486532925288
0.23529411764705882,0.26299557285370534
0.2365456821026283,0.2626428014699904
0.23779724655819776,0.26229146634343403
0.2390488110137672,0.26194307629654673
0.2403003754693367,0.2615946862496595
0.24155193992490614,0.26124919608635877
0.2428035043804756,0.2609050054681404
0.24405506883604505,0.26056089967652857
0.24530663329161453,0.26022073018045255
0.246558197747184,0.2598805606843766
0.24780976220275344,0.25954162235505557
0.24906132665832292,0.2592052991403866
0.2503128911138924,0.2588689759257176
0.25156445556946183,0.25853481421529184
0.2528160200250313,0.2582021657730601
0.25406758448060074,0.2578695173308284
0.2553191489361702,0.2575397656818436
0.2565707133917397,0.2572106237026667
0.25782227784730916,0.2568815974408887
0.2590738423028786,0.25655579668466555
0.26032540675844806,0.2562299959284425
0.2615769712140175,0.25590487707945186
0.26282853566958697,0.2555822552469531
0.2640801001251564,0.25525963341445435
0.26533166458072593,0.2549381184979764
0.2665832290362954,0.25461851610434844
0.26783479349186484,0.25429891371072044
0.2690863579474343,0.2539807191045019
0.27033792240300375,0.25366397935470336
0.2715894868585732,0.25334723960490485
0.2728410513141427,0.25303210047141284
0.27409261576971217,0.25271806913759837
0.2753441802252816,0.25240403780378384
0.2765957446808511,0.2520917070419156
0.27784730913642053,0.2517802323427817
0.27909887359199,0.2514687576436478
0.28035043804755944,0.2511590048645594
0.28160200250312895,0.25084993734666833
0.2828535669586984,0.25054086982877727
0.28410513141426785,0.25023348035492166
0.2853566958698373,0.2499266727760188
0.28660826032540676,0.2496198651971159
0.2878598247809762,0.2493146390835666
0.28911138923654567,0.2490099462979088
0.2903629536921152,0.24870525351225095
0.29161451814768463,0.24840200458938247
0.2928660826032541,0.2480992834350984
0.29411764705882354,0.24779656228081434
0.295369211514393,0.24749511721740866
0.29662077596996245,0.24719422640591385
0.2978723404255319,0.246893335594419
0.2991239048811014,0.24659353298027273
0.30037546933667086,0.24629433298776668
0.3016270337922403,0.24599513299526066
0.30287859824780977,0.24569682244237773
0.3041301627033792,0.24539917540345602
0.3053817271589487,0.24510152836453433
0.30663329161451813,0.2448045696260048
0.30788485607008764,0.24450833922942322
0.3091364205256571,0.24421210883284164
0.31038798498122655,0.24391637093852897
0.311639549436796,0.2436214223251647
0.31289111389236546,0.24332647371180044
0.3141426783479349,0.2430318341199867
0.31539424280350437,0.24273803378304826
0.3166458072590739,0.24244423344610982
0.31789737171464333,0.2421505772102813
0.3191489361702128,0.2418577928978274
0.32040050062578224,0.24156500858537353
0.3216520650813517,0.241272227535369
0.32290362953692114,0.240980328155206
0.3241551939924906,0.24068842877504304
0.3254067584480601,0.24039652939488002
0.32665832290362956,0.2401052762388704
0.327909887359199,0.2398141317659079
0.32916145181476847,0.2395229872929454
0.3304130162703379,0.23923228105548142
0.3316645807259074,0.2389417624416378
0.33291614518147683,0.23865124382779423
0.33416770963704634,0.23836099277720385
0.3354192740926158,0.2380709718639652
0.33667083854818525,0.23778095095072654
0.3379224030037547,0.2374910669014446
0.33917396745932415,0.2372014163351945
0.3404255319148936,0.2369117657689444
0.34167709637046306,0.23662216332757874
0.34292866082603257,0.23633275647783164
0.344180225281602,0.23604334962808457
0.3454317897371715,0.23575394545056036
0.34668335419274093,0.23546465633124702
0.3479349186483104,0.23517536721193372
0.34918648310387984,0.23488607809262038
0.3504380475594493,0.23459678246541832
0.3516896120150188,0.23430748565938955
0.35294117647058826,0.23401818885336081
0.3541927409261577,0.23372880311194785
0.35544430538172717,0.23343937369888196
0.3566958698372966,0.2331499442858161
0.3579474342928661,0.23286038731271172
0.3591989987484355,0.2325707008006314
0.36045056320400504,0.23228101428855108
0.3617021276595745,0.2319912040866786
0.36295369211514394,0.23170113634730513
0.3642052565707134,0.23141106860793167
0.36545682102628285,0.23112092161563427
0.3667083854818523,0.23083034882383086
0.36795994993742176,0.23053977603202744
0.36921151439299127,0.23024920324022402
0.3704630788485607,0.22995800502734826
0.3717146433041302,0.229666803604929
0.37296620775969963,0.22937560218250974
0.3742177722152691,0.22908376929852006
0.37546933667083854,0.22879181586272956
0.37672090112640805,0.22849986242693904
0.3779724655819775,0.22820730277568968
0.37922403003754696,0.22791447409268556
0.3804755944931164,0.22762164540968144
0.38172715894868586,0.22732826267366102
0.3829787234042553,0.22703443561736394
0.38423028785982477,0.2267406085610669
0.3854818523153943,0.22644630158919296
0.38673341677096373,0.22615135310590057
0.3879849812265332,0.2258564046226082
0.38923654568210264,0.22556106683564547
0.3904881101376721,0.22526487391484132
0.39173967459324155,0.2249686809940372
0.392991239048811,0.22467219980958747
0.3942428035043805,0.22437463946141298
0.39549436795994997,0.2240770791132385
0.3967459324155194,0.22377933539258393
0.3979974968710889,0.22348028463247882
0.3992490613266583,0.22318123387237374
0.4005006257822278,0.2228821013918166
0.40175219023779724,0.2225814372328744
0.40300375469336674,0.22228077307393218
0.4042553191489362,0.22198010891498998
0.40550688360450565,0.22167771747729373
