case,alpha_silicon,graphite_fraction,delta,RMSE_anode_OCP_V,RMSE_dVdx_V
literature_Si,0.3391909367960909,0.6608090632039091,0.0,0.012885936410458,0.26441853930968884
MSMR_Si,0.39999999999999997,0.6000000000000001,-0.0019999999999999996,0.005393723417452454,0.17546453089249645
