x_plot,U_si_est,U_si_lit,U_gr_est,U_gr_lit
0.0,0.8633,0.8633,0.8633,0.8633
0.0012515644555694619,0.8633,0.8519936842968421,0.7865250851761476,0.7875514803661198
0.0025031289111389237,0.8293878785632033,0.8408683806728035,0.7322922141066923,0.7338851229295968
0.003754693366708386,0.7939411967505872,0.8299217569057625,0.6966251377823246,0.6983917956613713
0.0050062578222778474,0.7670764979311357,0.8191517679424861,0.6686446136111667,0.6700962185006237
0.006257822277847309,0.7452588992733229,0.8085724667090518,0.6421116999705128,0.6443572683852947
0.007509386733416772,0.7267600943240939,0.7981746943360992,0.6175085213082229,0.6197056790504569
0.008760951188986232,0.7106050180860325,0.7879459625150309,0.5944712160477483,0.5971114663142928
0.010012515644555695,0.6961890179559722,0.7778840650956501,0.5725487463692551,0.5753873190242246
0.011264080100125157,0.6831104191173548,0.7679935508178927,0.5526277374428847,0.5555074155826059
0.012515644555694618,0.6710886253729326,0.758283918513849,0.5335753124737795,0.5362676903087382
0.01376720901126408,0.6599194365048385,0.7487340727438793,0.515508667211452,0.5185132553827794
0.015018773466833543,0.6494493207824853,0.739341899143267,0.4984619430138623,0.5020401879568894
0.016270337922403004,0.6395606063961742,0.730107033070703,0.4835311632900643,0.4869284960571077
0.017521902377972465,0.6301595174860605,0.7210435522382523,0.4678604054961606,0.47261461064245536
0.01877346683354193,0.6211715437878381,0.7121352150755734,0.4541730754665371,0.45840645371450617
0.02002503128911139,0.6125346205748163,0.7033757731372191,0.4412467175613405,0.4446093026162909
0.02127659574468085,0.6041984830403472,0.6947632340293146,0.42831307301616245,0.4322068364068889
0.022528160200250315,0.5961204369663355,0.6863074814626203,0.4163414332860719,0.42051492059386336
0.023779724655819776,0.5882635861046263,0.6780048335047258,0.4049293759377003,0.4085786505309195
0.025031289111389236,0.580596910841034,0.6698427016775995,0.3940378946815712,0.39797883998627537
0.0262828535669587,0.5730936942643288,0.661819150742619,0.38357032000565094,0.3873553222330462
0.02753441802252816,0.5657311313263071,0.6539369062733943,0.3737060268041868,0.3773506525631831
0.028785982478097622,0.5584895517569303,0.6462044974414777,0.36461271441986937,0.3679155931591729
0.030037546933667086,0.5513523376276248,0.6386057633232839,0.3547907710044967,0.35909145724447245
0.03128911138923655,0.5443059360987947,0.6311376610973185,0.3459727329674421,0.34988621176132517
0.03254067584480601,0.5373402738729178,0.6237999805663895,0.3380396968488448,0.34152285393073606
0.03379224030037547,0.5304483955794487,0.6166017089295434,0.3294540966681842,0.33373613198979474
0.03504380475594493,0.5236272726522093,0.6095339389953803,0.3220314686208875,0.32535421890991467
0.0362953692115144,0.5168780314967277,0.602589196555061,0.3144914002138649,0.31829640023754435
0.03754693366708386,0.5102071192646626,0.5957657456450196,0.30687277976696914,0.31087653391206893
0.03879849812265332,0.5036254084678856,0.5890697304725303,0.3000516367447403,0.30385666851949156
0.04005006257822278,0.4971493711420385,0.5825019130012022,0.2932327990371448,0.29675600797840135
0.04130162703379224,0.4908001406524631,0.5760498512855415,0.28641280797252,0.2904670535692738
0.0425531914893617,0.48460208540931715,0.5697118966557099,0.2802928171805128,0.2839970737528553
0.04380475594493116,0.47858169260847194,0.5634895201220247,0.2737728282001176,0.27727720921591864
0.04505632040050063,0.47276285373917637,0.5573898937273598,0.26795283544099546,0.27155734345659865
0.04630788485607009,0.467167577805848,0.5514012133867023,0.26213284500137657,0.2658374753920381
0.04755944931163955,0.4618093378378514,0.5455197709396936,0.25631285498978723,0.26011761085510143
0.04881101376720901,0.4566971807027059,0.5397449504395215,0.25119286403227736,0.2543977463181648
0.05006257822277847,0.45182813838485103,0.5340834579871764,0.2456728743284728,0.24959067808083352
0.05131414267834793,0.44719681635486297,0.5285301781288919,0.24072529544802734,0.24395801411871973
0.0525657071339174,0.4427912100652881,0.5230775836096431,0.23552726874261098,0.23923814825114395
0.05381727158948686,0.4385939779296588,0.5177241856923704,0.23065366454330613,0.2344679102006893
