x_plot,U_an_meas,U_an_model_lit,U_an_model_msmr,minus_dVdx_meas,minus_dVdx_lit,minus_dVdx_msmr
0.0,0.8633,0.8633,0.8633,21.591936947481905,21.923475597704687,62.370939021904675
0.0012515644555694619,0.8633,0.8370545548071707,0.7591683564152222,22.088112489592074,20.50265337737291,50.02271995907488
0.0025031289111389237,0.8008543566726817,0.8116375070245584,0.7288684856899982,22.215035308194814,19.203135760605516,39.62578387609796
0.003754693366708386,0.7557174847896796,0.7874145777996593,0.7049816099216561,22.023079606411738,18.0162661660637,30.986567520641774
0.0050062578222778474,0.7194889918115234,0.7648674122698524,0.684786735529912,21.559879436069103,16.93371639597477,23.920602562075743
0.006257822277847309,0.6916207898804991,0.7436908900722496,0.6664966769320146,20.870328697697794,15.947486636132162,18.25251559147089
0.007509386733416772,0.6685013737948791,0.7240924592645214,0.6499101258004396,19.996581140533355,15.04990545589543,13.8160281215998
0.008760951188986232,0.6478328384227978,0.7064430451080607,0.634321829987644,18.978050362515962,14.233629808190258,10.453956586936677
0.010012515644555695,0.6287604305089625,0.6897098965611979,0.6198050132544943,17.85140981029044,13.491645029508447,8.01821234365724
0.011264080100125157,0.611475536041569,0.6740105946362369,0.6060517348586946,16.650592779206246,12.817264839907928,6.3698016696388535
0.012515644555694618,0.5961704153233752,0.658847162536548,0.5930129671430467,15.406792413317492,12.204131343012747,5.378825764460444
0.01376720901126408,0.5816965256570699,0.6442080302234874,0.580218988806812,14.148461705382925,11.646215026013081,4.92448074940247
0.015018773466833543,0.5685941188986217,0.6300406292206131,0.5680649244858623,12.901313496865928,11.137814759665229,4.8950576674470625
0.016270337922403004,0.5554917121401736,0.6164533455232978,0.5562287971483797,11.688320477934543,10.673557798291608,5.187942483277823
0.017521902377972465,0.543244446152474,0.6029550632466903,0.5448439810071369,10.529715187461434,10.248399779780765,5.709616083280068
0.01877346683354193,0.5322868986232773,0.5903747756909999,0.5338001049812354,9.442990013023925,9.857624725587367,6.375654275540583
0.02002503128911139,0.5210218044908781,0.5780845499781114,0.5228011422880477,8.442897190903974,9.496845040732204,7.110727789847758
0.02127659574468085,0.5107401781999055,0.56616857279582,0.5122487279972292,7.541448806088173,9.162001513802192,7.848602277691597
0.022528160200250315,0.5008705735090252,0.5548685741744961,0.5018400861281053,6.747916792267771,8.849363316950367,8.53213831226369
0.023779724655819776,0.490944500411188,0.5436221731375125,0.49190272705825877,6.068832931838664,8.55552800589589,9.113291388457135
0.025031289111389236,0.48251636618987914,0.5331415964439884,0.48230074196929024,5.5079888559883905,8.27742152005457,9.553111923017
0.0262828535669587,0.47368218547758406,0.5227933004042897,0.4732111736515785,6.597883672156231,8.067748611612593,8.151379992297297
0.02753441802252816,0.46538003420942664,0.512821936427019,0.4640932863941555,7.089635167923692,7.840467783276804,6.8575320679616585
0.028785982478097622,0.45731176303712784,0.5032838114846483,0.4557614238359269,6.606355957576813,7.594617420863877,6.466608079008784
0.030037546933667086,0.44967559726471795,0.4939020695411298,0.4480390969615994,6.211412346036335,7.335118580027847,6.129542376618642
0.03128911138923655,0.4423351579869855,0.48530405770816326,0.4407368617831616,5.878241949300203,7.069768826919041,5.82177052539849
0.03254067584480601,0.4351141925793257,0.4765584215348591,0.4337763672002487,5.623141734664154,6.795396700732001,5.534744319907432
0.03379224030037547,0.42847572332110334,0.4680660982418061,0.42742101242508856,5.406014958976369,6.535918298871797,5.268572256446914
0.03504380475594493,0.4219145356285032,0.46029078360568126,0.42128929790867653,5.192513725819694,6.300052406842452,5.022005850812304
0.0362953692115144,0.41542660200250126,0.45256854848982553,0.41550299453904177,4.968821394639269,6.075596572301929,4.799349282127635
0.03754693366708386,0.40937539862327715,0.4448670467189959,0.4098701383174684,4.762089821153195,5.865605326186833,4.605934171545498
0.03879849812265332,0.40365840003101766,0.4377840360324377,0.40445561277136916,4.581776194626356,5.665521425445684,4.430771268499801
0.04005006257822278,0.39790857815157293,0.43103286950289366,0.3992895517194479,4.418528443526245,5.474162310321484,4.27502368412552
0.04130162703379224,0.3925745711926555,0.42423640347633473,0.3938985578909242,4.2592358951406855,5.291271847005425,4.14291197005754
0.0425531914893617,0.386946942862901,0.4175735985167376,0.3886563169526846,4.093206897137591,5.106743802036051,4.029496901032999
0.04380475594493116,0.3822955053817254,0.4112356676208895,0.38367023686086893,3.9461335284748866,4.930880108695874,3.9335484606579447
0.04505632040050063,0.3774545426783461,0.40521951332905437,0.3786615146009757,3.8027038338826027,4.764776773174622,3.8462828058555902
0.04630788485607009,0.37280214411903817,0.3995669808060367,0.37373277939856503,3.6585688692891116,4.600594747557025,3.7628667230611814
0.04755944931163955,0.3683105143929897,0.39372456011862456,0.3687268019890924,3.5270607077925127,4.446218162824531,3.678250706664564
0.04881101376720901,0.3639430454735069,0.38808200324379477,0.3642815474170081,3.3881049707875994,4.291427372581836,3.5917860439277374
0.05006257822277847,0.3599089098873575,0.38291178755124256,0.35955592535531433,3.2632114322949652,4.142505346818445,3.5010380212548844
0.05131414267834793,0.35585009768499054,0.37786019497735235,0.3550029941891784,3.1504592991950804,3.999648700798817,3.4028931435554988
0.0525657071339174,0.3519713720783715,0.3730509773328656,0.35087682000965514,3.033636908777768,3.855308227958377,3.287973378975716
0.05381727158948686,0.34815617149632605,0.36821940996668734,0.34677534583601627,2.9220775578117086,3.718796749570277,3.1577095217700855
0.05506883604505632,0.3447520768257326,0.36370710567900455,0.3428851668609515,2.8182449628709376,3.581772206441956,3.0226427209919993
0.056320400500625784,0.34120419881995195,0.35931150467136036,0.3393361817821472,2.7153760085142467,3.453143533344614,2.8808737945597698
0.057571964956195244,0.3378867025646562,0.35495888262966835,0.33585360073562254,2.6061958792587068,3.3328152710575307,2.732554370857049
0.058823529411764705,0.3346688627450968,0.3509847026507324,0.3326719728175343,2.5095097682287664,3.2043309702855076,2.5852385090353125
0.06007509386733417,0.3314287128078321,0.3470069537338214,0.32951720491147174,2.4229385908807535,3.082373185060617,2.443115562997981
0.061326658322903634,0.3282295590858704,0.3431153659452653,0.32670212026886436,2.3336188311526938,2.9709000803283105,2.304661811494854
0.0625782227784731,0.32567955547357447,0.3395866616576291,0.32395663108928696,2.2463222396151514,2.8564744623002847,2.171616687822434
