U,x_an_meas,x_an_model,x_gr,x_si_raw,x_si_tilde
0.0373,0.9896585490758106,0.9954851535728373,0.9999999999989786,0.9755597407750891,0.9937128839336251
0.03821879866518354,0.9886244039833925,0.9939307551329766,0.998024162336031,0.9746548541711197,0.9927906443283949
0.03913759733036708,0.9865561137985567,0.9934441583978552,0.9978495423004436,0.9737182535670181,0.9918360825439724
0.04005639599555061,0.985521968706139,0.9920730591339788,0.9962229447086709,0.9727489893647983,0.9908482307719406
0.04097519466073415,0.9834536785213029,0.9913498927797678,0.9956990846019088,0.9717460961131666,0.9898261050465563
0.041893993325917686,0.981447506061707,0.9901605182927902,0.994421726474566,0.970708593268309,0.9887687060201265
0.042812791991101225,0.9802189554958534,0.9891991834658188,0.9935486258819065,0.9696354860560361,0.987675019841687
0.04373159065628476,0.9782829530592135,0.9881899127174023,0.9926205084324832,0.9685257664409745,0.9865440191447807
0.044650389321468295,0.9762146628743776,0.9866596368518892,0.9908496186530569,0.9673784142084999,0.9853746641501375
0.045569187986651834,0.973430868521039,0.9854714654836081,0.9896751732133238,0.9661923981650773,0.9841659038890345
0.04648798665183537,0.9711060551375279,0.9844727429065228,0.9888434531421755,0.964966677462612,0.9829166775530433
0.04740678531701891,0.9689756472274521,0.9828084214174575,0.9869300917119351,0.9637002030522792,0.9816259159757409
0.04832558398220245,0.9679415021350343,0.9814271517274482,0.985516890711221,0.9623919192731403,0.9802925432517892
0.04924438264738598,0.9658732119501984,0.9805537922748013,0.9849793347923019,0.96104076558061,0.9789154784985501
0.05016318131256952,0.9648390668577804,0.9788517912193915,0.9830905601889203,0.9596456784195487,0.977493637765098
0.05108197997775306,0.9627707766729446,0.9770792074735681,0.9811147217272056,0.9582055932463771,0.976025936093112
0.0520007786429366,0.9617366315805268,0.9752878461984096,0.9791388838415578,0.9567194467041753,0.9745112897336873
0.052919577308120136,0.9606467376508218,0.9734772751165901,0.9771630461786103,0.955186178954196,0.9729486185235596
0.05383837597330367,0.9586341963032731,0.9716470644788466,0.9751872085156627,0.9536047361666161,0.9713368484236222
0.054757174638487206,0.957600051210855,0.9697967882003857,0.9732113708527153,0.9519740731726436,0.9696749142218916
0.055675973303670745,0.9565659061184373,0.9674409160635773,0.9704270185044453,0.9502931562793057,0.967961762402275
0.05659477196885428,0.9545516813611248,0.9647440841881394,0.9671092375271853,0.9485609662473411,0.9661963541795706
0.05751357063403782,0.9534634708411834,0.9625555421978794,0.9646741245297226,0.9467765014316247,0.9643776687001147
0.058432369299221354,0.9513951806563475,0.9594353520848469,0.9607224492038275,0.9449387810824526,0.9625047064063759
0.05935116796440489,0.9503610355639298,0.9562930613204197,0.9567707738256662,0.9430468488047976,0.9605764925625495
0.06026996662958843,0.9482927453790939,0.9531282909115004,0.9528190975612482,0.941099776171344,0.9585920809368786
0.06118876529477196,0.946224455194258,0.9510874276789959,0.9507786743750081,0.9390966664836826,0.9565505576349776
0.06210756395995551,0.9441561650094222,0.9469781614962965,0.9453295724425692,0.9370366586745329,0.9544510450768874
0.06302636262513904,0.9416504599711886,0.9425583176706405,0.9394020587117708,0.9349189313422427,0.9522927061089447
0.06394516129032257,0.9389854395473326,0.9381146265619735,0.9334745454434167,0.9327427069071095,0.9500747482398089
0.06486395995550612,0.9358830042700789,0.9336467903223733,0.9275470318785073,0.9305072558772832,0.947796427988172
0.06578275862068965,0.9319247247784103,0.9285316420022344,0.9205813664518678,0.9282119012101531,0.9454570553277839
0.0667015572858732,0.9276098435307355,0.9223110893452433,0.9118144834330912,0.9258560227532042,0.9430559982134714
0.06762035595105673,0.9222286079997778,0.9153982513758356,0.9019352941798308,0.9234390617463809,0.9405926871698427
0.06853915461624027,0.9147951868794167,0.9081517357935012,0.891541813040936,0.9209605253660086,0.9380666199223486
0.0694579532814238,0.9055108876125592,0.8993916087640934,0.8786677705745881,0.9184199912883473,0.9354773660483512
0.07037675194660734,0.889190030469928,0.8874629048268747,0.8605551269622194,0.9158171122488921,0.9328245716238575
0.07129555061179088,0.8677444609950143,0.8733357320114961,0.8388209107927506,0.9131516205716104,0.9301079638396142
0.07221434927697441,0.8390397451288847,0.8379472473445163,0.7816938418685981,0.9104233326404767,0.9273273555583935
0.07313314794215794,0.7964534431640315,0.7443803420368303,0.6276454702057069,0.9076321532839156,0.9244826497835154
0.07405194660734149,0.7582819275878617,0.7117651178050444,0.5752259670037256,0.9047780800411597,0.9215738440070225
0.07497074527252504,0.736898074090386,0.6965752932721363,0.5518914658505862,0.9018612072781017,0.9186010344044613
0.07588954393770855,0.7183576585986783,0.6876448335258651,0.5390317759818075,0.8988817301189662,0.9155644198419515
0.0768083426028921,0.7036311564038678,0.6829745802672028,0.533314763338527,0.8958399481591387,0.9124643056602164
0.07772714126807564,0.693612372552462,0.6793382953860477,0.5293630875104198,0.8927362689237475,0.9093011071994895
0.07864593993325918,0.6861789514321012,0.6761233460378522,0.5261553413772327,0.8895712110361679,0.9060753530287815
0.07956473859844271,0.6808138204965759,0.6736227773657245,0.5241795037142851,0.8863454070605155,0.9027876878428835
0.08048353726362625,0.6754486895610506,0.6710977496271071,0.5222036660513376,0.8830596059824654,0.8994388749907615
0.08140233592880979,0.6721518488103614,0.6685486164728982,0.5202278283883901,0.8797146752933893,0.8960297985996603
0.08232113459399332,0.6680394253338384,0.6659757805264391,0.5182519907038543,0.8763116026438588,0.8925614652603163
0.08323993325917686,0.6645240222165646,0.663379693357518,0.5162761521023838,0.8728514970340774,0.8890350052402193
0.08415873192436041,0.6608004096869129,0.6607608579043744,0.5143003143780801,0.8693355895107227,0.885451673193816
0.08507753058954393,0.6566638293172413,0.6581198253654809,0.5123244767151326,0.8657652333420789,0.8818128483410033
0.08599632925472747,0.6525462293636151,0.6554571970665601,0.510348639052185,0.8621419036461648,0.878120034088123
0.08691512791991102,0.648390668577898,0.6527736236611528,0.5083728013892375,0.85846719644984,0.8743748570690258
0.08783392658509455,0.6439032380934461,0.6500698044707818,0.50639696372629,0.854742827160561,0.8705790655875196
0.08875272525027808,0.6390833627461366,0.6473464863392195,0.5044211256008984,0.8509706284365562,0.8667345274467012
0.08967152391546163,0.6339126372840471,0.6441250954109232,0.5016463409147331,0.8471525474456458,0.8628432271552083
0.09059032258064516,0.6277077667295397,0.6405543002125929,0.49831899201744506,0.8432906425077236,0.8589072625053146
0.09150912124582869,0.62253704126745,0.6375076049860615,0.495893447961478,0.8393870791209694,0.8549288405229367
0.09242791991101224,0.6181117285082378,0.6336942244354198,0.492216858862349,0.8354441253771616,0.8509102727950258
0.09334671857619578,0.6142638805281067,0.6307656406730857,0.4900400876649104,0.8314641467768855,0.8468539701853485
0.0942655172413793,0.6115180470068592,0.6255725195877637,0.484112574676068,0.8274496004609788,0.8427624369553071
0.09518431590656284,0.6090931550660171,0.6215073531067012,0.4800867456364303,0.8234030288800971,0.8386382643121078
0.09610311457174639,0.6059907197887634,0.6174746910589803,0.4761350694901798,0.8193270529297834,0.834484123412181
0.09702191323692992,0.6036958149396269,0.6124996731923658,0.47063095008514255,0.8152243645837585,0.8303027578532005
0.09794071190211345,0.6008199943266738,0.6074857096415909,0.4650781989404531,0.8110977190633029,0.8260969756932973
0.098859510567297,0.59771755904942,0.6021679997986655,0.4590335723037908,0.8069499265854196,0.8218696410409776
0.09977830923248053,0.5948394377799767,0.5961413616079048,0.451819825837302,0.8027838437369392,0.8176236652638086
0.10069710789766406,0.5923429954222845,0.590207062180194,0.4447704383883025,0.7986023645257428,0.8133619978680313
0.10161590656284761,0.5898004824183725,0.5841255894478856,0.43748423767658495,0.7944084111637919,0.8090876171048365
0.10253470522803114,0.5859219206740952,0.5767872713975117,0.4281097720878304,0.7902049246395891,0.8048035203620337
0.10345350389321468,0.5775517297472708,0.5701308759761272,0.41987631702539796,0.7859948551400285,0.8005127144022212
0.10437230255839822,0.5708297866465546,0.5625788495421844,0.41015261223013694,0.7817811523832517,0.7962182055102555
0.10529110122358175,0.5685719798833251,0.5561187522294274,0.40224926063982397,0.7775667559251216,0.7919229896138327
0.1062098998887653,0.5606859621148973,0.5473115209413864,0.39043250660812817,0.7733545855022006,0.7876300424412737
0.10712869855394883,0.5500344402122298,0.5395526604382883,0.3803595608770241,0.7691475314737053,0.7833423097801846
0.10804749721913237,0.5380590630485943,0.531913302134063,0.37048037162376335,0.7649484454237825,0.7790626978995125
0.1089662958843159,0.5242815816560595,0.522558925763864,0.35773550014264427,0.7607601309836602,0.7747940641956934
0.10988509454949943,0.5114194164482136,0.513313397233531,0.34516285664183066,0.7565853349307698,0.7705392081210815
0.11080389321468298,0.49277271062665184,0.50385488218962,0.332224228682868,0.7524267386188886,0.7663008624497483
0.11172269187986651,0.4782738008751507,0.4933233038307485,0.3174843830965453,0.7482869497897393,0.7620816849320533
0.11264149054505006,0.4706447664366969,0.4826009252496938,0.3024120418260218,0.7441684948123732,0.7578842503852017
0.11356028921023359,0.46116634927846484,0.47253237026864425,0.2884132549394809,0.7400738113921356,0.7537110432623894
0.11447908787541712,0.4538534250417862,0.4623582072219058,0.27422071154441835,0.7360052417861067,0.7495644507381369
0.11539788654060067,0.4476773126934081,0.4529829724277787,0.26134044981819043,0.7319650265567592,0.7454467563421611
0.1163166852057842,0.4419924480221349,0.44546386700148694,0.25153302222339047,0.727955298890175,0.7413601341686316
0.11723548387096774,0.4373633546142889,0.4402859624504488,0.24560550829602493,0.7239780794996913,0.7373066436820848
0.11815428253615128,0.43324713505455714,0.43512208719900974,0.23967799524128128,0.7200352721302913,0.7332882251356024
0.11907308120133481,0.4298837478148838,0.43097045464856854,0.23541296067344178,0.7161286596735558,0.7293066956112588
0.11999187986651835,0.42608306329280526,0.4270222690594264,0.23146128464081392,0.7122599008975963,0.7253637456873451
0.12091067853170188,0.42228237877072666,0.4223021970828267,0.22619637065035592,0.708430527791152,0.7214609367315329
0.12182947719688543,0.4189105941348636,0.4178843651110814,0.22140747597575425,0.7046419435160527,0.7175996988140722
0.12274827586206896,0.41558499517804465,0.4145644107744929,0.21841979847061357,0.70089542095754,0.713781329230312
0.1236670745272525,0.41105436986798605,0.4118691727934117,0.2164439602440978,0.69719210185757,0.7100069916173826
0.12458587319243604,0.40953967515114365,0.4091919598070155,0.21446812258115025,0.6935329965122345,0.7062777156458134
0.12550467185761957,0.4071642473248445,0.4067972127593368,0.2129324230900942,0.6899189840108427,0.7025943972632007
0.12642347052280312,0.40457660866078266,0.40518326275779976,0.2126669049537901,0.6863508129910479,0.6989577994638143
0.12734226918798663,0.4025903696727673,0.4025620617966147,0.21069106729084258,0.6828291028816882,0.6953685535552728
0.12826106785317018,0.4006900274117278,0.3999600021331744,0.20871522962789504,0.6793543456027361,0.6918271608910934
0.12917986651835373,0.3987896851506884,0.39839897530908175,0.20844229549108817,0.6759269076899356,0.6883339950360721
0.13009866518353724,0.3968507539714957,0.39649034999389865,0.2075577137698042,0.672547032810318,0.6848893043300404
0.13101746384872082,0.39496883893003176,0.39444659032316576,0.20641550732889546,0.6692148446338386,0.6814932148145711
0.13193626251390433,0.39295683075067256,0.39247839134100787,0.20536682991057742,0.6659303500258302,0.6781457334866535
0.13285506117908785,0.3911883161065311,0.3905660474433653,0.20437891117681917,0.6626934425248009,0.6748467518431847
0.13377385984427143,0.3892879738454915,0.38859353211274855,0.20325852040102238,0.6595039060703127,0.6715960496803378
0.13469265850945494,0.38774578628358936,0.38659596336587687,0.20206440620153585,0.656361418946189,0.6683932991123884
0.1356114571746385,0.3863205295878099,0.38464607872006473,0.20091808534982394,0.6532655579051285,0.6652380687754259
0.13653025583982203,0.38462109215479134,0.38268256799809675,0.19971772787517764,0.6502158024418802,0.6621298281824755
0.13744905450500555,0.3822127736615745,0.3807032579908213,0.19846012851943926,0.647211539183449,0.6590679521978943
0.1383678531701891,0.3808204076327127,0.3786998542483143,0.19713194001356402,0.6442520663663045,0.6560517256004398
0.13928665183537264,0.37892006537167333,0.37668145132845354,0.19574885374335302,0.6413365983722317,0.6530803477061042
0.14020545050055616,0.37701972311063386,0.37468063529334183,0.1943657674731421,0.638464270296258,0.6501529370236414
0.1411242491657397,0.3751193808495944,0.3725906719573567,0.19280542931717293,0.6356341425219789,0.6472685359176323
0.14204304783092325,0.37321903858855493,0.3705053017319973,0.19122475938270034,0.6328452052815675,0.6444261152559427
0.14296184649610677,0.3713186963275157,0.3683508887273208,0.18950176186523315,0.6300963831797478,0.6416245790204522
0.14388064516129032,0.36941835406647633,0.36625413122168493,0.1878483727948118,0.6273865396630284,0.6388627688619946
0.14479944382647386,0.36751801180543703,0.3641970763754401,0.18623548157073863,0.6247144814175004,0.6361394685824923
0.14571824249165738,0.36524628607044085,0.3622088395099192,0.18471246016367693,0.6220789626804797,0.6334534085292826
0.14663704115684092,0.36287085824414156,0.36033197837718894,0.18335111736957332,0.619478689453214,0.6308032698886125
0.14755583982202447,0.36107024944195937,0.3585145661297854,0.18206581763819174,0.6169123236037407,0.6281876888671759
