sto,p
0.0016358680421269,1.0
0.0016358680421269,0.9378645218743958
0.0016358680421269,0.8756879495197329
0.0030348970999982358,0.8129072339874067
0.00538212929280275,0.7600937815788847
0.0078042826519829946,0.7227688167074464
0.010068185457605693,0.6955817169424524
0.012321066692690763,0.672897261239662
0.014800954857024328,0.6512266726744478
0.01739838380111051,0.6310678319539941
0.020251271181139053,0.6110071459758998
0.023055414693795823,0.5927855274559095
0.025878257103500342,0.5755028894304965
0.02869637595697883,0.5590043433276717
0.0314207022471641,0.5435698162146809
0.03412815478332077,0.5286107150632189
0.03672074268012921,0.5146016686890738
0.03924955331486911,0.5012780325690651
0.04181026669455712,0.4882614297534414
0.04423009977570769,0.4765802034913339
0.04689851930791378,0.4646086803771056
0.04957418315959807,0.4536993244411195
0.05270980806375728,0.4422973961203154
0.05570635165054542,0.4326147780971212
0.05926137588510166,0.4223158192799092
0.06273862559362457,0.4131276022998573
0.06620658735122535,0.4045284591167059
0.06997578019321331,0.3955566588545967
0.07358661772769179,0.3871568994031418
0.07731548614694826,0.3786068069626634
0.0808192671616507,0.3707244913361604
0.08413208526352105,0.3635178292708635
0.08800768377097618,0.355571222275835
0.09149230938602569,0.3490005215592714
0.09573557706887231,0.3418070185251949
0.0999749173804138,0.3354707437802302
0.1049351867955538,0.3290005882044369
0.1104385424452616,0.3227981870351485
0.11660448705780045,0.3168054712976906
0.12365041691258868,0.3109013785224355
0.13213061850594188,0.3047893584370286
0.14066733510450247,0.2994530830765876
0.15100364131867636,0.293797800767762
0.16282484630956187,0.2881327010633881
0.17376929905158292,0.2834605986608204
0.18795185808907977,0.2780163361220845
0.20201582626963027,0.2731374130808192
0.21665558445396804,0.2684723130653559
0.23243645130112964,0.2638072168333152
0.24929642869593902,0.2591421219922066
0.2670174705403449,0.254507627189687
0.28269468582783464,0.2505801047211851
0.30099248628092945,0.2461468284271531
0.31942908138432163,0.2417922572208312
0.33651684653662517,0.237816635012882
0.35294856014710385,0.2340164821302086
0.3694958605732829,0.2301830476420513
0.3853871786696779,0.2264686127439141
0.40080812064185106,0.2228082316978218
0.4141836238940374,0.219568464222613
0.42696372070924465,0.2164007288947382
0.4387740010334351,0.213393825394336
0.44832547718195237,0.2108979292466989
0.45696019212559075,0.2085823433457875
0.4620127999021597,0.2072005346185082
0.4657987784195377,0.2061493931535347
0.46808064039723707,0.2055103386773321
0.46922094838821804,0.2051882276835059
0.46980934890582515,0.2050216170772272
0.4703977494234321,0.2048550064709485
0.4709861499410392,0.2046883958646698
0.47157455045864627,0.2045217852583911
