U,x_si_comp_1,x_si_comp_2,x_si_comp_3,x_si_comp_4,x_si_total_raw
0.0373,0.3859885528950205,0.4991546146115233,0.02344408334744361,0.06697248992110172,0.9755597407750891
0.03821879866518354,0.38510880757731036,0.49913358152243326,0.02344408273152628,0.06696838233984978,0.9746548541711197
0.03913759733036708,0.38419803680432446,0.49911189815497425,0.023444082093224333,0.066964236514495,0.9737182535670181
0.04005639599555061,0.38325531137550944,0.49908954446376985,0.02344408143172424,0.06696005209379473,0.9727489893647983
0.04097519466073415,0.38227968685436065,0.4990664997892517,0.0234440807461829,0.06695582872337147,0.9717460961131666
0.041893993325917686,0.381270204347821,0.4990427428390749,0.02344408003572657,0.0669515660456865,0.970708593268309
0.042812791991101225,0.3802258913875866,0.49901825166898606,0.023444079299449756,0.06694726370001362,0.9696354860560361
0.04373159065628476,0.37914576291902014,0.49899300366312804,0.02344407853641405,0.06694292132241234,0.9685257664409745
0.044650389321468295,0.37802882240338503,0.4989669755137668,0.02344407774564694,0.06693853854570113,0.9673784142084999
0.045569187986651834,0.37687406303908283,0.4989401432004235,0.02344407692614057,0.06693411499943042,0.9661923981650773
0.04648798665183537,0.3756804691075092,0.4989124819683969,0.02344407607685046,0.06692965030985537,0.964966677462612
0.04740678531701891,0.37444701744901854,0.49888396630665793,0.02344407519669417,0.06692514409990852,0.9637002030522792
0.04832558398220245,0.37317267907431817,0.4988545699251001,0.02344407428454991,0.06692059598917215,0.9623919192731403
0.04924438264738598,0.37185642091637644,0.49882426573112787,0.023444073339255123,0.06691600559385054,0.96104076558061
0.05016318131256952,0.37049720772763456,0.49879302580556717,0.023444072359605016,0.066911372526742,0.9596456784195487
0.05108197997775306,0.3690940041269398,0.4987608213778756,0.023444071344350996,0.0669066963972107,0.9582055932463771
0.0520007786429366,0.36764577680017885,0.49872762280063904,0.023444070292199096,0.06690197681115836,0.9567194467041753
0.052919577308120136,0.3661514968580608,0.4986933995233312,0.023444069201808325,0.06689721337099569,0.955186178954196
0.05383837597330367,0.3646101423538937,0.49865812006531984,0.02344406807178894,0.06689240567561357,0.9536047361666161
0.054757174638487206,0.3630207009634912,0.49862175198809744,0.02344406690070072,0.06688755332035423,0.9519740731726436
0.055675973303670745,0.3613821728285538,0.4985842618667188,0.023444065687051065,0.06688265589698203,0.9502931562793057
0.05659477196885428,0.35969357356397075,0.4985456152604229,0.023444064429293164,0.06687771299365425,0.9485609662473411
0.05751357063403782,0.3579539374284906,0.49850577668241874,0.023444063125823974,0.06687272419489144,0.9467765014316247
0.058432369299221354,0.35616232065710773,0.498464709568815,0.02344406177498219,0.06686768908154778,0.9449387810824526
0.05935116796440489,0.354317804952301,0.49842237624666946,0.02344406037504613,0.06686260723078111,0.9430468488047976
0.06026996662958843,0.3524195011299505,0.49837873790113907,0.023444058924231546,0.06685747821602292,0.941099776171344
0.06118876529477196,0.3504665529143396,0.4983337545417058,0.02344405742068935,0.06685230160694788,0.9390966664836826
