x_gr,p_gr,dUdx_gr,x_nmc,p_nmc,dUdx_nmc,p_gr_1mV,x_gr_1mV,dxdU_gr_1mV,p_nmc_1mV,x_nmc_1mV,dxdU_nmc_1mV
0.0,0.9698394914941362,-235.80703872435552,0.0,4.298644599402112,-4.7415954922344605,0.03729999999999996,1.0,-1.0162729100476877,3.4197271313886355,1.0,-0.023745320210546823
8.84845500434485e-06,0.9677529635222759,-213.45186425119027,0.001001001001001,4.293898257568044,-4.114837391203309,0.03829999999999996,0.9989837270899523,-1.0571211062066936,3.4207271313886354,0.9999762546797895,-0.02374532021048026
1.932437800787677e-05,0.9657941233306727,-181.10940036391548,0.002002002002002,4.290406686707011,-2.9849291754153455,0.03929999999999996,0.9978857577875866,-1.1159961497252766,3.4217271313886353,0.999952509359579,-0.02374532021048026
2.9800301011406304e-05,0.9639583872554199,-169.57702423283627,0.003003003003003,4.287922423383028,-2.1022369321785845,0.04029999999999996,0.9967517347905018,-1.15298304105238,3.422727131388635,0.9999287640393685,-0.023745320210537102
4.027622401493584e-05,0.962241171632611,-158.48219082757714,0.004004004004004,4.2861980041601075,-1.46676066148666,0.04129999999999996,0.9955797917054818,-1.1922640305799632,3.423727131388635,0.9999050187191579,-0.02374532021048026
5.075214701846537e-05,0.9606378927983392,-147.8249001481381,0.005005005005005,4.284985965602274,-1.0271605681905385,0.04229999999999996,0.9943672067293419,-1.235874909464826,3.424727131388635,0.9998812733989475,-0.023745320210537102
6.122807002199729e-05,0.9591439670886979,-137.6051521945701,0.006006006006006,4.284141626646212,-1.1165464267205607,0.043299999999999964,0.9931080418865522,-1.2835196558258986,3.425727131388635,0.999857528078737,-0.023745320210593945
7.170399302552683e-05,0.9577548108397803,-127.8229469668513,0.007007007007007,4.282750637420651,-1.4172615906691135,0.044299999999999964,0.9918001674176901,-1.3349868898287696,3.4267271313886347,0.9998337827585264,-0.02374532021048026
8.217991602905636e-05,0.9564658403876799,-118.47828446494532,0.008008008008008,4.281304266104333,-1.4325234986918076,0.045299999999999965,0.9904380681068946,-1.3932616696210403,3.4277271313886346,0.999810037438316,-0.02374532021048026
9.265583903258839e-05,0.95527247206849,-109.57116468888853,0.009009009009009,4.279882722508355,-1.3974966570385732,0.046299999999999966,0.989013644078448,-1.4581216245423434,3.4287271313886345,0.9997862921181054,-0.023745320210537102
0.00010313176203611792,0.9541701222183038,-101.10158763869549,0.01001001001001,4.27850647499915,-1.3937254523452793,0.04729999999999997,0.9875218248578099,-1.5294263825942949,3.4297271313886344,0.9997625467978949,-0.02374532021048026
0.00011360768503964746,0.9531542071732148,-93.06955331432982,0.011011011011011,4.277092481362519,-1.414980011395528,0.04829999999999997,0.9859547913132594,-1.6109528707962113,3.4307271313886343,0.9997388014776845,-0.02374532021048026
0.000124083608043177,0.9522201432693161,-85.4750617157988,0.012012012012012,4.275673682183543,-1.4182415790041887,0.04929999999999997,0.9842999191162175,-1.7047152557277627,3.431727131388634,0.9997150561574739,-0.023745320210537102
0.0001345595310467089,0.9513633468427014,-78.31811284310243,0.013013013013013,4.27425315888203,-1.420284288730727,0.05029999999999997,0.9825453608018039,-1.811765476755454,3.432727131388634,0.9996913108372634,-0.02374532021048026
0.00014503545405023844,0.9505792342294638,-71.5987066962698,0.014014014014014,4.272830270194091,-1.409371592675143,0.05129999999999997,0.9806763881627066,-1.9416838407157684,3.433727131388634,0.9996675655170529,-0.02374532021048026
0.00015551137705376798,0.9498632217656966,-65.31684327526455,0.015015015015015,4.27143159413193,-1.379287849494176,0.05229999999999997,0.9786619931203724,-2.1030642338467374,3.434727131388634,0.9996438201968424,-0.023745320210537102
0.0001659873000572975,0.9492107257874932,-59.47252258008666,0.016016016016016,4.270068933158067,-1.3550684705523963,0.05329999999999997,0.9764702596950131,-2.280833109893422,3.4357271313886337,0.9996200748766318,-0.023745320210537102
0.00017646322306082954,0.9486171626309471,-54.06574461076525,0.017017017017017,4.268718744341033,-1.3906009835109217,0.05429999999999997,0.9741003269005855,-2.4933219491822456,3.4367271313886336,0.9995963295564214,-0.023745320210537102
0.00018693914606435907,0.9480779486321512,-49.096509367300314,0.018018018018018,4.267284947205092,-1.4122146195127243,0.055299999999999974,0.9714836157966487,-2.8431989891901708,3.4377271313886335,0.9995725842362109,-0.023745320210537102
0.0001974150690678886,0.9475885001271993,-44.56481684964092,0.019019019019019,4.265891487845512,-1.3737793036366384,0.056299999999999975,0.9684139289222051,-3.1907082065523014,3.4387271313886334,0.9995488389160003,-0.02374532021048026
0.00020789099207142053,0.9471442334521845,-40.47066705785255,0.02002002002002,4.264534638288903,-1.3618107710049117,0.057299999999999976,0.965102199383544,-3.3927140511124207,3.4397271313886333,0.9995250935957899,-0.02374532021048026
0.00021836691507495006,0.9467405649432001,-36.81405999189883,0.021021021021021,4.263165139955612,-1.3598358552617356,0.05829999999999998,0.9616285008199803,-3.647261187051356,3.440727131388633,0.9995013482755793,-0.023745320210537102
0.0002288428380784796,0.9463729109363396,-33.594995651779755,0.022022022022022,4.2618122441842745,-1.3725860202525837,0.05929999999999998,0.9578076770094414,-4.016351935449904,3.441727131388633,0.9994776029553688,-0.02374532021048026
0.00023931876108200913,0.9460366877676962,-30.8134740375026,0.023023023023023,4.260417219995147,-1.3864895132242054,0.06029999999999998,0.9535957969490805,-4.358564409744247,3.442727131388633,0.9994538576351584,-0.02374532021048026
0.00024979468408554105,0.9457273117733632,-28.46949515434244,0.024024024024024,4.259036489403045,-1.3771002392904848,0.06129999999999998,0.9490905481899529,-4.809708486721661,3.443727131388633,0.9994301123149478,-0.023745320210537102
0.0002602706070890706,0.9454401992893237,-13.703445698432915,0.025025025025025,4.25766026255913,-1.3622203996133067,0.06229999999999998,0.9439763799756371,-5.38782610936056,3.4447271313886327,0.9994063669947373,-0.02374532021048026
0.0002707465300926001,0.9454401992893237,0.0,0.026026026026026,4.256309321435851,-1.35885511979086,0.06329999999999998,0.9383148959712316,-6.234030656272921,3.4457271313886326,0.9993826216745268,-0.023745320210537102
0.00028122245309612965,0.9454401992893237,-16.301664524267835,0.027027027027027,4.254939831888879,-1.3710773162483747,0.06429999999999998,0.9315083186630913,-6.958927815074219,3.4467271313886325,0.9993588763543163,-0.023745320210593945
0.0002916983760996617,0.9450986493245523,-39.28726661562541,0.028028028028028,4.253564421903823,-1.3641357710039301,0.06529999999999998,0.9243970403410833,-7.744762849009305,3.4477271313886324,0.9993351310341058,-0.02374532021048026
0.0003021742991031912,0.9446170585291547,-45.97120418272243,0.029029029029029,4.252208829344327,-1.3483161975000257,0.06629999999999998,0.9160187929650727,-9.295283571775258,3.4487271313886323,0.9993113857138953,-0.02374532021048026
0.00031265022210672075,0.9441354677337569,-45.9712041827006,0.03003003003003,4.250865090177096,-1.3316914617362272,0.06729999999999998,0.9058064731975327,-10.712705355706191,3.449727131388632,0.9992876403936848,-0.023745320210537102
0.00032312614511025267,0.9436538769383596,-45.97120418270788,0.031031031031031,4.249542780371882,-1.319098356369068,0.06829999999999999,0.8945933822536603,-12.32645929745371,3.450727131388632,0.9992638950734742,-0.02374532021048026
0.0003336020681137822,0.9431722861429617,-45.97120418272971,0.032032032032032,4.248224252626808,-1.338429596707556,0.06929999999999999,0.8811535546026252,-16.164795961417326,3.451727131388632,0.9992401497532638,-0.02374532021048026
0.00034407799111731174,0.942690695347564,-45.97120418272243,0.033033033033033,4.246863241639734,-1.3535662953113388,0.07029999999999999,0.8622637903308256,-22.975978048977368,3.452727131388632,0.9992164044330533,-0.023745320210537102
0.00035455391412084127,0.9422091045521662,-45.97120418270788,0.034034034034034,4.245514410193753,-1.3495023983546162,0.07129999999999999,0.8352015985046705,-48.821936163225644,3.4537271313886317,0.9991926591128427,-0.02374532021048026
0.0003650298371243732,0.9417275137567686,-45.971204182715155,0.035035035035035,4.244161535136522,-1.3461167270297665,0.07229999999999999,0.7646199180043742,-111.37692329784596,3.4547271313886316,0.9991689137926323,-0.02374532021048026
