sto_common,p_si_original,p_si_reconstructed_deformed,si_scale_a,si_shift_b,dUdx_si_original,dUdx_si_reconstructed_deformed,x_anode_common,p_anode_reconstructed,dUdx_anode_reconstructed
0.0,1.0,1.0,0.9,0.034,-177.67052081056616,-238.6521619062755,5.5031882332158835e-05,0.9698394914941362,-79.49380121642702
0.001001001001001001,0.8221516308202541,0.7611089470407653,0.9,0.034,-103.3559775420618,-131.26189088473689,0.0010559777963638584,0.8902704959757054,-71.92462921670278
0.002002002002002002,0.7930811260419184,0.7372134316621884,0.9,0.034,-25.849677990515602,-21.495503387153178,0.002056923710395558,0.8258541640287289,-61.31110881065604
0.003003003003003003,0.7704005237321347,0.7180749062256437,0.9,0.034,-20.680644351403828,-17.534246655777167,0.0030578696244272572,0.7675322882781471,-44.878057456304134
0.004004004004004004,0.7516784346477164,0.7021098347537256,0.9,0.034,-17.360018854395946,-14.85445038194473,0.0040588155384589574,0.736013147547594,-27.758297192012378
0.005005005005005005,0.7356457312308416,0.688336266822351,0.9,0.034,-15.045854006761715,-12.996350348068177,0.005059761452490657,0.7119631799685024,-22.41918770785253
0.006006006006006006,0.7215566048043497,0.6760911153381737,0.9,0.034,-13.34220781636185,-11.640319057754994,0.006060707366522356,0.6911323588834246,-19.42295754938948
0.007007007007007007,0.7089346044713585,0.6650323247647835,0.9,0.034,-12.037599881106985,-10.5499163279232,0.007061653280554056,0.6730805199735573,-17.10425697092228
0.008008008008008008,0.6974573057430744,0.6549701617287178,0.9,0.034,-11.008472629544826,-9.676844913195794,0.008062599194585756,0.6568914866282388,-15.385386473899814
0.009009009009009009,0.6868956202280254,0.6456592618755026,0.9,0.034,-10.178196972223645,-8.996925276203797,0.009063545108617455,0.6422806405198601,-14.012763923448915
0.01001001001001001,0.677080535027912,0.6369582993138955,0.9,0.034,-9.496070479061075,-8.432744659711773,0.010064491022649155,0.6288394490413048,-12.919260878263799
0.011011011011011011,0.6678844681177931,0.628776890184388,0.9,0.034,-8.927552196822944,-7.9435299021272385,0.011065436936680854,0.6164176777430447,-12.016814953354299
0.012012012012012012,0.6592075576568951,0.621055336546874,0.9,0.034,-8.447749079156267,-7.53403974288176,0.012066382850712553,0.6047830853868349,-11.319793740662362
0.013013013013013013,0.6509720575489116,0.613693727535976,0.9,0.034,-8.03919098528604,-7.198702520984455,0.013067328764744254,0.5937566751582495,-10.721184790311156
0.014014014014014014,0.643113081209876,0.6066435196880462,0.9,0.034,-7.689034459625191,-6.902123237640637,0.014068274678775953,0.5833204331679535,-10.224185690263369
0.015015015015015015,0.6355785951672797,0.5998756629961549,0.9,0.034,-7.386462975835684,-6.641160143369973,0.015069220592807653,0.5732889613763085,-9.826635450661058
0.016016016016016016,0.6283253675445393,0.5933479037854036,0.9,0.034,-7.123856292648156,-6.421456304456854,0.016070166506839352,0.563648571961917,-9.476193112616727
0.017017017017017015,0.6213166206074235,0.587019894618864,0.9,0.034,-6.895661674795576,-6.233926941570644,0.017071112420871053,0.5543186478230104,-9.185882169494448
0.018018018018018018,0.61452023906647,0.5808675695680448,0.9,0.034,-6.696290372244391,-6.063893341987239,0.01807205833490275,0.5452594295132528,-8.940234221145829
0.01901901901901902,0.6079106338762036,0.5748799680082789,0.9,0.034,-6.522129266989566,-5.915635686007249,0.01907300424893445,0.536421265994726,-8.720679230342796
0.02002002002002002,0.6014629232166411,0.5690244550815439,0.9,0.034,-6.370086976115601,-5.792364500348128,0.02007395016296615,0.5278015730268674,-8.53054672103326
0.02102102102102102,0.5951577069970932,0.5632836426822566,0.9,0.034,-6.237137326262086,-5.683962347744796,0.02107489607699785,0.5193440342249764,-8.345828010734294
0.022022022022022022,0.588976161802703,0.5576451510820547,0.9,0.034,-6.121420285579973,-5.587212435570052,0.02207584199102955,0.5110941281337558,-8.177997847482118
0.023023023023023025,0.5829026113302664,0.5520980322006348,0.9,0.034,-6.020687185833083,-5.505017407675837,0.02307678790506125,0.5029725671641819,-7.988347518165227
0.024024024024024024,0.5769227340032375,0.546624095210832,0.9,0.034,-5.933489528848895,-5.436798996091625,0.024077733819092947,0.4951023205174102,-7.79236407169239
0.025025025025025023,0.5710237534146531,0.5412135497259769,0.9,0.034,-5.858207243163463,-5.376544952991935,0.025078679733124647,0.4873730972077661,-7.5748479927450205
0.026026026026026026,0.5651945913742814,0.5358602414510882,0.9,0.034,-5.793501068572027,-5.324392573099772,0.026079625647156348,0.4799382942219115,-7.305330346975268
0.02702702702702703,0.5594251526767712,0.5305541051351865,0.9,0.034,-5.7378969965983515,-5.281230910724105,0.02708057156118805,0.47274861608485275,-7.048272908853875
0.028028028028028028,0.5537073100998103,0.5252872065947838,0.9,0.034,-5.690228699169211,-5.244287104185901,0.028081517475219746,0.46582841428371624,-6.7182849522110075
0.029029029029029027,0.5480333034291852,0.5200550318535331,0.9,0.034,-5.649122550844083,-5.210211924187945,0.029082463389251446,0.4592993363404202,-6.361495446215201
0.03003003003003003,0.5423977554434658,0.5148563518917048,0.9,0.034,-5.612915127438782,-5.178778303619225,0.030083409303283147,0.4530933885356755,-5.9320623141071
0.031031031031031032,0.5367962361069855,0.5096871073217628,0.9,0.034,-5.580091601899937,-5.149260216896039,0.031084355217314844,0.44742398927024635,-5.529561225316968
0.03203203203203203,0.5312264008851076,0.5045475226286497,0.9,0.034,-5.548716446682192,-5.117384209204658,0.03208530113134654,0.44202380510593725,-5.273115630739795
0.03303303303303303,0.5256876946721863,0.49944209388992167,0.9,0.034,-5.51669316144671,-5.0801704079573256,0.03308624704537824,0.436867782180635,-5.041334855908133
0.03403403403403403,0.5201819701314606,0.49437701130140776,0.9,0.034,-5.481595559670893,-5.036435094948359,0.03408719295940994,0.4319315980553636,-4.8454733844371844
0.035035035035035036,0.5147135293875599,0.4893591407468819,0.9,0.034,-5.440926083743818,-4.984344950564065,0.03508813887344164,0.4271676686092315,-4.685679359520236
0.036036036036036036,0.5092892252190606,0.4843983427317099,0.9,0.034,-5.391714240910005,-4.917416026138653,0.03608908478747334,0.4225513748366147,-4.53427611676679
0.037037037037037035,0.5039193066830354,0.4795144640178756,0.9,0.034,-5.3313093492196515,-4.834262406705136,0.03709003070150504,0.418090538304893,-4.3934479473786325
0.03803803803803804,0.49861593322863085,0.4747201397152832,0.9,0.034,-5.257418992656341,-4.737750504984348,0.03809097661553674,0.4137561672937355,-4.266418101779351
0.03903903903903904,0.493393943334374,0.470029478021911,0.9,0.034,-5.167542988252535,-4.625418948342087,0.03909192252956844,0.4095496307718392,-4.14838700159072
0.04004004004004004,0.48827050182071785,0.4654600417206044,0.9,0.034,-5.060840598765395,-4.491684584485057,0.04009286844360014,0.4054515452556066,-4.049281878704477
0.04104104104104104,0.48326213032383264,0.4610371164914104,0.9,0.034,-4.937387302874384,-4.345186507488592,0.04109381435763184,0.40144340646933546,-3.9660488994359753
0.04204204204204204,0.4783858425557041,0.4567609696335401,0.9,0.034,-4.7974130376966855,-4.19428819591397,0.042094760271663534,0.3975119443741259,-3.901380728438511
0.043043043043043044,0.4736576998179334,0.45264014312621725,0.9,0.034,-4.644787221365533,-4.032143067692033,0.043095706185695234,0.3936332642709104,-3.8448219376484474
0.044044044044044044,0.4690869692396569,0.44868861113966213,0.9,0.034,-4.482217182416008,-3.86478266260238,0.044096652099726935,0.3898150267567886,-3.804787762640615
0.04504504504504504,0.46468429204532874,0.4449028404983847,0.9,0.034,-4.312923122679223,-3.7029287453038364,0.045097598013758636,0.3860164907413645,-3.770463934805605
0.04604604604604605,0.4604524885135724,0.4412753403782931,0.9,0.034,-4.143076977482849,-3.5484175109398564,0.046098543927790336,0.3822669658176935,-3.738463199232399
0.04704704704704705,0.4563898436419596,0.43779890153754414,0.9,0.034,-3.9735999770027206,-3.3959745494257163,0.04709948984182204,0.3785324918133054,-3.7078830972455137
