Q_model_native,dVdQ_model_native
0.0029853067643584,1.894641188540786
0.005966877224881558,1.8842055422329622
0.008948447685404716,1.8629795108752205
0.011930018145927873,1.8410440020335272
0.01491158860645103,1.8183990157074277
0.01789315906697419,1.7950445518973766
0.020874729527497346,1.7709806106031465
0.023856299988020503,1.7462071918248512
0.02683787044854366,1.7207242955621496
0.029819440909066817,1.6945319218153827
0.032801011369589975,1.6676300705846643
0.03578258183011314,1.6400187418695396
0.038764152290636296,1.611697935670577
0.04174572275115945,1.582667651987208
0.04472729321168261,1.5529278908002198
0.04770886367220577,1.5159409356398328
0.050690434132728925,1.4806228726708923
0.05367200459325208,1.4566860695042578
0.05665357505377524,1.430458988123064
0.059635145514298396,1.3977241106807696
0.06261671597482155,1.363871114831909
0.06559828643534471,1.3292178624685675
0.06857985689586787,1.2910243178570227
0.07156142735639102,1.249880359958638
0.07454299781691419,1.2090311440549613
0.07752456827743734,1.166961438256294
0.0805061387379605,1.1227087826555362
0.08348770919848365,1.0793177775170761
0.08646927965900682,1.0371796628072616
0.08945085011952997,0.9956440896370395
0.09243242058005313,0.9556440757673954
0.09541399104057628,0.917947011581532
0.09839556150109945,0.8820720257018593
0.10137713196162261,0.8486357753916991
0.10435870242214576,0.8195182621335562
0.10734027288266892,0.7917875954893816
0.11032184334319207,0.7646342834091229
0.11330341380371524,0.7416945968813025
0.11628498426423839,0.7203504330428814
0.11926655472476155,0.6985583848986607
0.1222481251852847,0.6789637429011464
0.12522969564580785,0.6618935337165794
0.12821126610633102,0.644842943998583
0.13119283656685418,0.6284300468621495
0.13417440702737735,0.6154104444802897
0.13715597748790048,0.6028055331800033
0.14013754794842365,0.5895941619647829
0.1431191184089468,0.5787476175180473
0.14610068886946997,0.568658831723269
0.14908225932999314,0.5577887799756809
0.15206382979051628,0.5475825677408466
0.15504540025103944,0.5387454889639685
0.1580269707115626,0.5298098281866714
0.16100854117208577,0.5208448554595861
0.1639901116326089,0.5135220759337926
0.16697168209313207,0.5064783754082782
0.16995325255365523,0.4990313786677234
0.1729348230141784,0.49256084041610393
0.17591639347470153,0.48645962444174984
0.1788979639352247,0.4798117030513822
0.18187953439574786,0.47319224193745413
0.18486110485627102,0.46719587449797473
0.18784267531679416,0.4613083594597356
0.19082424577731733,0.4555777429450245
0.1938058162378405,0.45090262456778873
0.19678738669836365,0.4465425940861678
0.19976895715888682,0.4418589740822654
0.20275052761940995,0.4375026327644491
0.20573209807993312,0.4333208836964104
0.20871366854045628,0.428886731463308
0.21169523900097945,0.42448326890337285
0.21467680946150258,0.420439016587693
0.21765837992202575,0.4164353619241865
0.2206399503825489,0.41255555553971135
0.22362152084307207,0.40935813060411874
0.2266030913035952,0.40639041639951756
0.22958466176411838,0.40322516849096246
0.23256623222464154,0.4002902440109892
0.2355478026851647,0.3977578045555674
0.23852937314568784,0.3952688322689255
0.241510943606211,0.3927313995005761
0.24449251406673417,0.39043473732374423
0.24747408452725733,0.3881228536558865
0.2504556549877805,0.38574688401592994
0.2534372254483036,0.38365341135147446
0.25641879590882677,0.38156128910850384
0.25940036636934993,0.3792393009641728
0.2623819368298731,0.37697755486112783
0.26536350729039626,0.3749680482893609
0.2683450777509194,0.3729588214565638
0.27132664821144253,0.3708416211587746
0.2743082186719657,0.36883216170235755
0.27728978913248886,0.3668852556509137
0.280271359593012,0.36501774778059826
0.2832529300535352,0.3634240328943861
0.28623450051405835,0.3618528535961332
0.2892160709745815,0.3599647764102656
0.2921976414351047,0.35791960051687965
0.29517921189562785,0.3558494487228927
0.29816078235615096,0.35374109259112174
0.3011423528166741,0.3516768504059655
0.3041239232771973,0.34991522634175
0.30710549373772045,0.3485243169579917
0.3100870641982436,0.34730963803451687
0.3130686346587668,0.34626120540622196
0.31605020511928994,0.3452978190525755
0.3190317755798131,0.34421982661513084
0.3220133460403362,0.34309104279577696
0.3249949165008594,0.3419543049499225
0.32797648696138254,0.34057677278951815
0.3309580574219057,0.3390129523510268
0.33393962788242887,0.3375893951665603
0.33692119834295203,0.3362919694949369
0.3399027688034752,0.3349790300148925
0.34288433926399836,0.33361679029758307
0.3458659097245215,0.3321034665283378
0.34884748018504463,0.33052500047540434
0.3518290506455678,0.3290962290528796
0.35481062110609096,0.32796648374551296
0.3577921915666141,0.32690985407271
0.3607737620271373,0.3257517927253275
0.36375533248766045,0.32474277342271307
0.3667369029481836,0.3239238052495921
0.3697184734087068,0.3231770093253772
0.3727000438692299,0.322498546996826
0.37568161432975306,0.32195955986503577
0.3786631847902762,0.3213714973455808
0.3816447552507994,0.32062306298917065
0.38462632571132255,0.31967385128814385
0.3876078961718457,0.3186252237486542
0.3905894666323689,0.31773234776710524
0.39357103709289204,0.3170040059146686
0.3965526075534152,0.3162200801948529
0.3995341780139383,0.3152973569240203
0.4025157484744615,0.3144626941751767
0.40549731893498464,0.31391792922079276
0.4084788893955078,0.31346554413801186
0.41146045985603097,0.31288096705713997
0.41444203031655413,0.3122608754771363
0.4174236007770773,0.3116534397822761
0.42040517123760046,0.31106599625900344
0.42338674169812357,0.3104782134944344
0.42636831215864673,0.30976308312142464
0.4293498826191699,0.30885797685687066
0.43233145307969306,0.30788214820984194
0.4353130235402162,0.3069800238113203
0.4382945940007394,0.30633992363527796
0.44127616446126255,0.30595831208063373
0.4442577349217857,0.3057171993687007
0.4472393053823089,0.3054649810793535
0.450220875842832,0.3051935993456709
0.45320244630335516,0.30510595411931263
0.4561840167638783,0.30518522257762015
0.4591655872244015,0.3052150463433918
0.46214715768492465,0.3051351222942458
0.4651287281454478,0.3049222963364855
0.468110298605971,0.3044141901193598
0.47109186906649414,0.30367056710974794
0.47407343952701725,0.30274626912489566
0.4770550099875404,0.3018407811468933
0.4800365804480636,0.30117079870933594
0.48301815090858674,0.3006745759887508
0.4859997213691099,0.30040857198537196
0.48898129182963307,0.3003858284907892
0.49196286229015623,0.3005397115658752
0.4949444327506794,0.30089420632214114
0.49792600321120256,0.30116591985472496
0.5009075736717257,0.30120818795342075
0.5038891441322488,0.30117162566909883
0.506870714592772,0.3010285483281905
0.5098522850532952,0.30082534558027874
0.5128338555138183,0.30062134858610534
0.5158154259743415,0.30047822649908085
0.5187969964348647,0.30040188502334786
0.5217785668953878,0.3003353288066819
0.524760137355911,0.30009379557714055
0.5277417078164341,0.2996971144383451
0.5307232782769573,0.2993826999502289
0.5337048487374805,0.29918946540192337
0.5366864191980036,0.2991380748579786
0.5396679896585267,0.29925865120196704
0.5426495601190499,0.2995430615137593
0.545631130579573,0.2999222874344696
0.5486127010400962,0.3002197791618073
0.5515942715006193,0.30041484905461857
0.5545758419611425,0.3005185483226569
0.5575574124216657,0.30059273557549204
0.5605389828821888,0.3007576121440252
0.563520553342712,0.30094951312787543
0.5665021238032352,0.3012301232462278
0.5694836942637583,0.30173600228715713
0.5724652647242815,0.3024741666542923
0.5754468351848047,0.3036201662016538
0.5784284056453278,0.30497645510399707
0.581409976105851,0.3061852958868485
0.5843915465663742,0.30711919001123533
0.5873731170268973,0.30765428217137014
0.5903546874874204,0.3080013057023052
0.5933362579479435,0.30821828937189366
0.5963178284084667,0.30818860869680975
0.5992993988689899,0.30814775931469285
0.602280969329513,0.3083044027715687
0.6052625397900362,0.3086939002065492
0.6082441102505594,0.3091929704410177
0.6112256807110825,0.30963085034545657
0.6142072511716057,0.3101083566316447
0.6171888216321288,0.310852664834556
0.620170392092652,0.31181256024694903
0.6231519625531752,0.31273458267173737
0.6261335330136983,0.3135556201191321
0.6291151034742215,0.31431942706967675
0.6320966739347447,0.3150695933023826
0.6350782443952678,0.3157291433770979
0.638059814855791,0.3162691259603889
0.641041385316314,0.31674470658094833
0.6440229557768372,0.3178973500388338
0.6470045262373604,0.32011983825714196
0.6499860966978835,0.32228785998267995
0.6529676671584067,0.32386900820063147
0.6559492376189299,0.3258369688988978
0.658930808079453,0.3276208757858967
0.6619123785399762,0.32795550166190424
0.6648939490004994,0.3271411527413193
0.6678755194610225,0.32488328442400416
0.6708570899215457,0.3208606724458605
0.6738386603820689,0.3155008487269697
0.676820230842592,0.3092340475841411
0.6798018013031152,0.30215936823753964
0.6827833717636383,0.2941041806066096
0.6857649422241615,0.28520997004716264
0.6887465126846847,0.2759653667778821
0.6917280831452077,0.26659432125904914
0.6947096536057309,0.25676111264351675
0.6976912240662541,0.24649681679909463
0.7006727945267772,0.23634071006688373
0.7036543649873004,0.22654475786032435
0.7066359354478235,0.21701668118032558
0.7096175059083467,0.20795907531964986
0.7125990763688699,0.19972804470876326
0.715580646829393,0.19235550869268536
0.7185622172899162,0.18608666871955393
0.7215437877504394,0.18123814566104102
0.7245253582109625,0.17760800953521994
0.7275069286714857,0.1753569866377802
0.7304884991320089,0.17500786166942817
0.733470069592532,0.17671641053755138
0.7364516400530552,0.17950686030656016
0.7394332105135784,0.1824692348809549
0.7424147809741014,0.1862447427790812
0.7453963514346246,0.1906608104507086
0.7483779218951477,0.1944028541897751
0.7513594923556709,0.19786479943445556
0.7543410628161941,0.201888502462225
0.7573226332767172,0.20604341383989322
0.7603042037372404,0.21024820784111853
0.7632857741977636,0.21462455134906122
0.7662673446582867,0.21873540956210036
0.7692489151188099,0.2225432286825253
0.772230485579333,0.22639987239006132
0.7752120560398562,0.2302543206201335
0.7781936265003794,0.23412414293011352
0.7811751969609025,0.2380092903501918
0.7841567674214257,0.24165905760594342
0.7871383378819489,0.24534460324582597
0.790119908342472,0.2493065367575582
0.7931014788029951,0.2531913787091753
0.7960830492635182,0.25672362193495246
0.7990646197240414,0.26020108409568365
0.8020461901845646,0.2638129762186736
0.8050277606450877,0.26737171706645313
0.8080093311056109,0.27098546762704245
0.8109909015661341,0.2745530973594441
0.8139724720266572,0.277777575053733
0.8169540424871804,0.2809015061645823
0.8199356129477036,0.2841616553445192
0.8229171834082267,0.2873117604666504
0.8258987538687499,0.2901886916544072
0.828880324329273,0.29283427834423037
0.8318618947897962,0.29519554198429887
0.8348434652503194,0.29691003949915284
0.8378250357108425,0.29846273478631247
0.8408066061713657,0.3002639239629161
0.8437881766318888,0.30188401934640297
0.8467697470924119,0.30331610192922653
0.8497513175529351,0.3047103457462299
0.8527328880134583,0.30603934796556587
0.8557144584739814,0.3073491334805567
0.8586960289345046,0.3090011098155401
0.8616775993950277,0.310912571559129
0.8646591698555509,0.31272337241330206
0.8676407403160741,0.31447700484750385
0.8706223107765972,0.316199532283008
0.8736038812371204,0.31778454056677674
0.8765854516976436,0.3192597110007682
0.8795670221581667,0.32070281645678733
0.8825485926186899,0.3220487524536111
0.8855301630792131,0.32349856330665716
0.8885117335397362,0.32530534109127984
0.8914933040002594,0.3271845186620794
0.8944748744607824,0.3289730001930593
