,Cn_Si,Cn_Gr,Cp,x_n100,x_p100,a,b,Cn,LI
High SoC,12.515740718219543,1.8255089574250452,0.39325430002382766,0.353488928965263,4.532874890076109,12.65867327765413,35.279253473039105,5.049357284038123,4.87302106486879
Low SoC,1.0471440403291619,1.484518455739568,1.3648849588176977,0.6163333618020145,31.26575887839817,0.7446302824160187,5.501585741948278,0.4380168542329892,0.5738150074699434
Middle SoC,2.8639462679791277,1.4102213827922616,0.7508945240423204,0.5170893073954067,10.102506027483427,1.890542898043956,9.506294261969497,0.9553766734573621,0.8049581634064106
Deep SoC,1.0531492541794822,1.0096763532770805,0.3087633682871812,0.29963523892677524,3.764912235507298,1.125053180174329,7.630479577653853,0.2827289185524503,0.2184165143587638
Full SoC,0.7802293057682239,0.8739466907702057,0.2982454980421329,0.2893106086531215,3.6520772730642266,0.5185895884617836,4.928996138628903,0.2120416638394117,0.14940500825005443
