Cn_Si,Cn_Gr,Cp,x_n100,x_p100,a,b,Cn,LI,point_number
19.300499261594176,21.77677970999549,3.722271576058673,5.830131193155854,52.383416324553664,15.578511700413765,149.79610587081228,4.714048994308482,2.5703160496311526,10
8.358234361915848,9.031529366937393,2.211167990145783,2.4117498567833335,27.444411129602727,5.175232870815897,49.01584936367733,1.9008154549127592,1.2356169769413305,16
5.50226350156338,6.322853661267794,1.6815910851062923,1.8473842570941439,21.024763034209396,3.235855417488551,32.050294675054374,1.4529022822426942,0.8721276586789835,27
3.4930378319791178,3.9960043393580253,1.2686838507746203,1.2788967136787723,15.437359983234122,2.010700211183483,20.631358151544738,0.9645347639196782,0.6377208238851759,46
2.5060556124047983,2.842622981260706,0.9657775178093927,0.9482409456488314,11.761220573993866,1.4926148519372822,15.347375950661535,0.7003003813239655,0.4851111999750853,77
1.897639467619676,2.150905109525111,0.7444874808926122,0.7269200752948884,9.117569852232563,1.1598836034150055,11.585800457565503,0.5335125404426548,0.3743633091392556,129
1.4862477564497154,1.6742866336588618,0.5770646131351473,0.56127357026727,7.0705876131086995,0.9690230194853245,9.177270000811841,0.4114972415764152,0.2886588174401486,215
1.1605180037383707,1.3019780089853923,0.4452352165530271,0.4321018086284552,5.44939130897297,0.7535289012102784,7.267549404607713,0.31692569805179316,0.22305250347295322,359
0.8994895149432103,1.0086176422151474,0.3447446369104305,0.3345389213296937,4.221598802952086,0.5944592907131494,5.666378286705146,0.2451728713636595,0.17282928473116077,599
0.697533858898606,0.7815191317411634,0.2668316976534906,0.2587696609012645,3.2679439338248537,0.4650642499376056,4.410513172386246,0.18964162592871492,0.13363003305495433,1000
